id,isResult,side,h,a,goals,xG,datetime,forecast,result
5155,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '2'}","{'h': '0.520545', 'a': '1.79022'}",2014-08-31 19:45:00,"{'w': 0.10119080983352888, 'd': 0.215513289828011, 'l': 0.6832958994456634}",l
5114,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '0'}","{'h': '2.09923', 'a': '0.230085'}",2014-09-14 14:00:00,"{'w': 0.8181000001728992, 'd': 0.15038114440423575, 'l': 0.03151884812433374}",d
5122,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '0'}","{'h': '1.18602', 'a': '1.97129'}",2014-09-21 14:00:00,"{'w': 0.22626214938403932, 'd': 0.2176598784504154, 'l': 0.5560779689615356}",w
5131,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '2'}","{'h': '1.82598', 'a': '1.6167'}",2014-09-24 19:45:00,"{'w': 0.43134888197685917, 'd': 0.22366413680478509, 'l': 0.3449869798291378}",d
5146,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '1'}","{'h': '0.203654', 'a': '0.252545'}",2014-09-28 19:45:00,"{'w': 0.14671957784107537, 'd': 0.6667008853938484, 'l': 0.18657953676507613}",l
5072,True,a,"{'id': '204', 'title': 'Parma', 'short_title': 'PAR'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '2'}","{'h': '1.20463', 'a': '1.77324'}",2014-10-05 14:00:00,"{'w': 0.25937391197104787, 'd': 0.2334834398429059, 'l': 0.5071426473958005}",w
5088,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '1', 'a': '1'}","{'h': '0.637598', 'a': '1.57434'}",2014-10-20 19:45:00,"{'w': 0.14901348095538483, 'd': 0.250249462037815, 'l': 0.6007370568479675}",d
5094,True,a,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '2'}","{'h': '1.20366', 'a': '2.38033'}",2014-10-26 14:00:00,"{'w': 0.17929679929280068, 'd': 0.1860833916735109, 'l': 0.6346197720044151}",w
5107,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '0'}","{'h': '1.05735', 'a': '1.1507'}",2014-10-29 19:45:00,"{'w': 0.33141749999453785, 'd': 0.2902634953019334, 'l': 0.37831900470073215}",w
5035,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '4'}","{'h': '1.13344', 'a': '1.90549'}",2014-11-02 14:00:00,"{'w': 0.22376145179081128, 'd': 0.22252587189466458, 'l': 0.5537126742678804}",w
5042,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '1'}","{'h': '2.57992', 'a': '0.345972'}",2014-11-09 11:30:00,"{'w': 0.8537923192321959, 'd': 0.11327365059038644, 'l': 0.032933927230904235}",d
5059,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'h': '1', 'a': '1'}","{'h': '1.51548', 'a': '1.58439'}",2014-11-24 19:45:00,"{'w': 0.365884940651939, 'd': 0.23836904632071335, 'l': 0.39574601275949634}",d
5066,True,a,"{'id': '203', 'title': 'Cesena', 'short_title': 'CES'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '3'}","{'h': '1.06464', 'a': '2.71452'}",2014-11-30 14:00:00,"{'w': 0.12367654398540487, 'd': 0.15497680089003252, 'l': 0.7213464602642917}",w
5005,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '0'}","{'h': '0.900312', 'a': '1.74981'}",2014-12-07 14:00:00,"{'w': 0.19139178763936016, 'd': 0.23423876213764527, 'l': 0.5743694495647297}",w
5013,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '1'}","{'h': '0.293159', 'a': '3.49576'}",2014-12-14 14:00:00,"{'w': 0.012142342022367112, 'd': 0.05246191933705498, 'l': 0.9353915349401264}",l
5028,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '1.82211', 'a': '0.584865'}",2014-12-21 14:00:00,"{'w': 0.6727041265235886, 'd': 0.214909622669, 'l': 0.11238624967791218}",l
4963,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '2'}","{'h': '2.62876', 'a': '0.952379'}",2015-01-06 14:00:00,"{'w': 0.7315459625055631, 'd': 0.15542440220330014, 'l': 0.11302950494001074}",d
4969,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '3', 'a': '1'}","{'h': '2.42963', 'a': '1.6443'}",2015-01-11 11:30:00,"{'w': 0.5513851011281984, 'd': 0.1918389572174908, 'l': 0.2567758932657833}",l
4981,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '3', 'a': '3'}","{'h': '3.14029', 'a': '2.78657'}",2015-01-18 14:00:00,"{'w': 0.4734646747272437, 'd': 0.1661293592981967, 'l': 0.36040452730395545}",d
4996,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '2.93897', 'a': '0.574542'}",2015-01-26 20:00:00,"{'w': 0.8480091742930087, 'd': 0.10576854936362803, 'l': 0.04622175518962015}",l
4997,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '1'}","{'h': '2.29008', 'a': '0.766738'}",2015-01-31 17:00:00,"{'w': 0.7173163931499874, 'd': 0.17379189337814277, 'l': 0.10889169092475884}",d
4935,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '1'}","{'h': '0.719656', 'a': '1.56121'}",2015-02-09 19:45:00,"{'w': 0.17123286309945826, 'd': 0.2535890959126092, 'l': 0.5751780408461242}",w
4941,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '5', 'a': '2'}","{'h': '1.44395', 'a': '1.07214'}",2015-02-15 14:00:00,"{'w': 0.45613200199577825, 'd': 0.2634038020485131, 'l': 0.28046419590587535}",w
4955,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '1'}","{'h': '1.52247', 'a': '2.43586'}",2015-02-24 17:30:00,"{'w': 0.23268660478411496, 'd': 0.18992059928725058, 'l': 0.5773927461293531}",d
4893,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '1'}","{'h': '1.17737', 'a': '0.915374'}",2015-03-08 14:00:00,"{'w': 0.4187717508639398, 'd': 0.29669312503735207, 'l': 0.2845351240956781}",d
4901,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '0', 'a': '2'}","{'h': '1.10083', 'a': '1.28332'}",2015-03-15 14:00:00,"{'w': 0.3175501933029825, 'd': 0.27625297021602063, 'l': 0.406196836470131}",l
4912,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '0'}","{'h': '1.63976', 'a': '0.256135'}",2015-03-22 14:00:00,"{'w': 0.7265164790674635, 'd': 0.22020150617620693, 'l': 0.053282014481096866}",l
4834,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '1'}","{'h': '1.26793', 'a': '1.64498'}",2015-04-04 14:00:00,"{'w': 0.29529925225193254, 'd': 0.24231417054274776, 'l': 0.4623865769098258}",d
4840,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '0'}","{'h': '2.5631', 'a': '1.61385'}",2015-04-11 17:00:00,"{'w': 0.5825882283560979, 'd': 0.18388095066636054, 'l': 0.2335307259626096}",w
4850,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '204', 'title': 'Parma', 'short_title': 'PAR'}","{'h': '2', 'a': '0'}","{'h': '2.78368', 'a': '0.595376'}",2015-04-15 17:30:00,"{'w': 0.8265905952343671, 'd': 0.11875000724445435, 'l': 0.054659130967549895}",w
4856,True,a,"{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '1.86031', 'a': '0.907374'}",2015-04-19 14:00:00,"{'w': 0.5978650579431993, 'd': 0.22290467359974953, 'l': 0.17923026696895436}",l
4866,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '203', 'title': 'Cesena', 'short_title': 'CES'}","{'h': '3', 'a': '1'}","{'h': '3.40707', 'a': '1.24615'}",2015-04-26 14:00:00,"{'w': 0.7814617054299292, 'd': 0.11961696871343683, 'l': 0.09891822282084912}",w
4878,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '3'}","{'h': '0.96641', 'a': '3.01431'}",2015-04-29 19:45:00,"{'w': 0.08862010904665248, 'd': 0.12812935912158008, 'l': 0.7832498213159972}",w
4781,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '0'}","{'h': '0.872024', 'a': '0.442319'}",2015-05-03 11:30:00,"{'w': 0.4394330001720327, 'd': 0.3827036056356671, 'l': 0.17786339419225722}",l
4798,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '5', 'a': '1'}","{'h': '1.55138', 'a': '0.535982'}",2015-05-11 19:45:00,"{'w': 0.623378771852639, 'd': 0.2506559102382836, 'l': 0.1259653177789031}",w
4803,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '4'}","{'h': '2.54956', 'a': '1.23801'}",2015-05-17 14:00:00,"{'w': 0.6577552362254279, 'd': 0.17478733600131724, 'l': 0.16745733910792424}",w
4810,True,h,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '3', 'a': '2'}","{'h': '2.08755', 'a': '2.04042'}",2015-05-23 19:45:00,"{'w': 0.4072412478250513, 'd': 0.20343301211136217, 'l': 0.3893257282442421}",w
4825,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '3', 'a': '1'}","{'h': '2.65496', 'a': '2.20223'}",2015-05-31 19:45:00,"{'w': 0.48783236414282205, 'd': 0.1829278530355181, 'l': 0.32923962158753456}",l
