id,isResult,side,h,a,goals,xG,datetime,forecast,result
5155,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '2'}","{'h': '0.520545', 'a': '1.79022'}",2014-08-31 19:45:00,"{'w': 0.10119080983352888, 'd': 0.215513289828011, 'l': 0.6832958994456634}",w
5113,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '0', 'a': '1'}","{'h': '2.2055', 'a': '0.667533'}",2014-09-14 14:00:00,"{'w': 0.7261509300415476, 'd': 0.17587981060164887, 'l': 0.09796924548749299}",l
5125,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '0.693168', 'a': '0.436016'}",2014-09-21 17:00:00,"{'w': 0.36866625208593734, 'd': 0.42864326199274333, 'l': 0.2026904859213176}",l
5135,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'h': '3', 'a': '3'}","{'h': '1.53135', 'a': '1.11014'}",2014-09-24 19:45:00,"{'w': 0.4699199643428605, 'd': 0.2547034972730341, 'l': 0.27537653827367015}",d
5141,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '1'}","{'h': '0.759409', 'a': '1.39971'}",2014-09-28 11:30:00,"{'w': 0.2032446446073508, 'd': 0.2748419477153733, 'l': 0.5219134076452282}",w
5078,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '1'}","{'h': '3.28365', 'a': '0.414036'}",2014-10-05 19:45:00,"{'w': 0.9054671748956195, 'd': 0.07180767268846322, 'l': 0.022723152835509842}",w
5087,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '2'}","{'h': '1.55031', 'a': '1.09733'}",2014-10-19 19:45:00,"{'w': 0.47772063501742096, 'd': 0.253321073929219, 'l': 0.2689582909232945}",d
5095,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '6', 'a': '2'}","{'h': '4.61346', 'a': '0.796178'}",2014-10-26 17:00:00,"{'w': 0.935289324714578, 'd': 0.043794515106204544, 'l': 0.020819724538243954}",w
5104,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '1'}","{'h': '0.756052', 'a': '2.55253'}",2014-10-29 19:45:00,"{'w': 0.08846933226344006, 'd': 0.1494392056887512, 'l': 0.7620913720746699}",d
5030,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '2', 'a': '0'}","{'h': '2.64717', 'a': '0.670975'}",2014-11-01 14:00:00,"{'w': 0.7937846464311182, 'd': 0.13543068244832537, 'l': 0.07078452883355688}",w
