id,isResult,side,h,a,goals,xG,datetime,forecast,result
556,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '1'}","{'h': '2.16827', 'a': '1.15002'}",2015-08-23 22:45:00,"{'w': 0.6055361070951322, 'd': 0.20109985313575302, 'l': 0.1933640286452856}",w
561,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '1'}","{'h': '0.153057', 'a': '0.760634'}",2015-08-29 20:00:00,"{'w': 0.07016409425699288, 'd': 0.44910721590818026, 'l': 0.4807286898348203}",w
576,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '2'}","{'h': '1.26217', 'a': '1.32444'}",2015-09-13 17:00:00,"{'w': 0.35310192180015987, 'd': 0.2645575353585359, 'l': 0.3823405428185835}",d
585,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '2'}","{'h': '1.67014', 'a': '0.913148'}",2015-09-20 17:00:00,"{'w': 0.5521535819868348, 'd': 0.24281966522764944, 'l': 0.20502675243306054}",d
593,True,a,"{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '1'}","{'h': '0.458442', 'a': '0.731694'}",2015-09-23 22:45:00,"{'w': 0.20583918358406, 'd': 0.4150960009820597, 'l': 0.37906481543387655}",w
605,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '1', 'a': '1'}","{'h': '0.822599', 'a': '0.595795'}",2015-09-27 17:00:00,"{'w': 0.37964115406403454, 'd': 0.37611163144120974, 'l': 0.2442472144947367}",d
613,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '0'}","{'h': '0.835463', 'a': '0.298038'}",2015-10-04 14:30:00,"{'w': 0.46727138743435004, 'd': 0.40718817488269077, 'l': 0.12554043768293568}",l
627,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '1'}","{'h': '1.78618', 'a': '0.719194'}",2015-10-18 17:00:00,"{'w': 0.6291394029853375, 'd': 0.2254245490453879, 'l': 0.14543604710297228}",w
636,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '1'}","{'h': '1.94453', 'a': '0.104562'}",2015-10-25 18:00:00,"{'w': 0.8279175413545978, 'd': 0.15641268887025672, 'l': 0.015669767101999976}",l
648,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '0'}","{'h': '0.326576', 'a': '0.552665'}",2015-10-28 23:45:00,"{'w': 0.174403987152426, 'd': 0.49346674843006444, 'l': 0.33212926441750945}",w
