id,isResult,side,h,a,goals,xG,datetime,forecast,result
939,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '1'}","{'h': '0.934821', 'a': '1.04646'}",2016-08-21 22:45:00,"{'w': 0.3158728975830865, 'd': 0.30959012788806195, 'l': 0.3745369745281675}",l
947,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '0'}","{'h': '0.912097', 'a': '1.18302'}",2016-08-28 22:45:00,"{'w': 0.28251710080620546, 'd': 0.29625211836187487, 'l': 0.4212307808286916}",l
959,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'h': '2', 'a': '1'}","{'h': '0.636904', 'a': '0.521587'}",2016-09-12 22:45:00,"{'w': 0.3233982833967176, 'd': 0.4272456209305038, 'l': 0.24935609567277803}",w
965,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '0'}","{'h': '0.718392', 'a': '0.184549'}",2016-09-18 17:00:00,"{'w': 0.4515175281618207, 'd': 0.4609275947714464, 'l': 0.08755487706673021}",d
973,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '2'}","{'h': '0.437207', 'a': '1.89478'}",2016-09-21 22:45:00,"{'w': 0.07661202952689668, 'd': 0.19581854620811828, 'l': 0.7275694223670426}",l
986,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '0'}","{'h': '1.91368', 'a': '1.03563'}",2016-09-25 17:00:00,"{'w': 0.5785504279070444, 'd': 0.22045363331486473, 'l': 0.2009959366133619}",l
992,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '3'}","{'h': '0.310516', 'a': '4.15533'}",2016-10-02 14:30:00,"{'w': 0.00734316888396157, 'd': 0.031855469159344, 'l': 0.9607707663665606}",l
1004,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '0'}","{'h': '0.287766', 'a': '0.0947143'}",2016-10-16 17:00:00,"{'w': 0.23042994012847887, 'd': 0.7008872528117045, 'l': 0.06868280705981672}",d
1016,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '0', 'a': '0'}","{'h': '0.445783', 'a': '1.014'}",2016-10-23 17:00:00,"{'w': 0.15983723526553517, 'd': 0.3497644406324147, 'l': 0.49039832410168543}",d
3284,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '0'}","{'h': '3.89995', 'a': '0.29497'}",2016-10-26 22:45:00,"{'w': 0.9533223391558393, 'd': 0.03808194469962862, 'l': 0.008580769661546472}",l
3296,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '0'}","{'h': '0.326558', 'a': '1.44104'}",2016-10-30 18:00:00,"{'w': 0.08177370664002058, 'd': 0.26105295891747615, 'l': 0.6571733343947997}",d
2748,True,a,"{'id': '114', 'title': 'Pescara', 'short_title': 'PES'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '4'}","{'h': '2.53565', 'a': '2.50908'}",2016-11-06 15:30:00,"{'w': 0.41326698843159204, 'd': 0.18266037343005065, 'l': 0.4040724829979548}",w
2762,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '0', 'a': '4'}","{'h': '0.773104', 'a': '3.89131'}",2016-11-20 18:00:00,"{'w': 0.03404995173264921, 'd': 0.06774649241104042, 'l': 0.8981889829247811}",l
2767,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '4'}","{'h': '1.52699', 'a': '0.781264'}",2016-11-26 23:45:00,"{'w': 0.5500868000195851, 'd': 0.25849414313189695, 'l': 0.1914190567435149}",l
3072,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '3', 'a': '0'}","{'h': '2.75094', 'a': '1.20881'}",2016-12-04 18:00:00,"{'w': 0.697462688643716, 'd': 0.15930537483842322, 'l': 0.14323170643003255}",l
3082,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '0'}","{'h': '1.3582', 'a': '0.0997513'}",2016-12-11 18:00:00,"{'w': 0.7086013697538417, 'd': 0.2653250531807316, 'l': 0.026073577044223056}",d
3087,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '0'}","{'h': '0.784596', 'a': '1.43479'}",2016-12-17 18:00:00,"{'w': 0.20508236948639072, 'd': 0.27006954776347314, 'l': 0.5248480827051729}",w
3097,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '1'}","{'h': '3.38037', 'a': '0.108162'}",2016-12-20 23:45:00,"{'w': 0.9530653085708625, 'd': 0.042777321686746354, 'l': 0.004154543282050441}",l
3520,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'h': '1', 'a': '0'}","{'h': '0.901728', 'a': '0.516544'}",2017-01-07 21:00:00,"{'w': 0.4299684605735364, 'd': 0.36874551254606186, 'l': 0.20128602688033206}",w
3533,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '0'}","{'h': '1.14331', 'a': '1.32527'}",2017-01-15 18:00:00,"{'w': 0.32112359181096356, 'd': 0.2706754448108946, 'l': 0.4082009633610546}",d
3547,True,h,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '0'}","{'h': '0.315683', 'a': '0.938473'}",2017-01-22 17:00:00,"{'w': 0.1215042054015978, 'd': 0.37631492955271933, 'l': 0.5021808650455606}",w
