id,isResult,side,h,a,goals,xG,datetime,forecast,result
938,True,a,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '0'}","{'h': '0.778083', 'a': '1.01715'}",2016-08-21 22:45:00,"{'w': 0.2718133046770418, 'd': 0.3259474081582937, 'l': 0.40223928716427465}",l
943,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'h': '1', 'a': '1'}","{'h': '1.94441', 'a': '0.544244'}",2016-08-28 20:00:00,"{'w': 0.708704279174031, 'd': 0.1970426271492298, 'l': 0.0942530910057689}",d
958,True,a,"{'id': '114', 'title': 'Pescara', 'short_title': 'PES'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '1.52585', 'a': '1.70313'}",2016-09-11 22:45:00,"{'w': 0.34625359654470544, 'd': 0.23214639335500775, 'l': 0.42160000953812243}",w
968,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '2', 'a': '1'}","{'h': '0.746577', 'a': '1.24154'}",2016-09-18 20:00:00,"{'w': 0.2233513357953434, 'd': 0.29652320648200825, 'l': 0.4801254577164973}",w
973,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '2'}","{'h': '0.437207', 'a': '1.89478'}",2016-09-21 22:45:00,"{'w': 0.07661202952689668, 'd': 0.19581854620811828, 'l': 0.7275694223670426}",w
985,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '1'}","{'h': '1.37159', 'a': '0.551483'}",2016-09-25 17:00:00,"{'w': 0.5713195798446201, 'd': 0.2794604238942865, 'l': 0.14921999623683344}",d
999,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '1'}","{'h': '2.39527', 'a': '1.17527'}",2016-10-02 22:45:00,"{'w': 0.6435924000449496, 'd': 0.18399159809001625, 'l': 0.1724159617537683}",l
1005,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '1', 'a': '2'}","{'h': '2.61615', 'a': '1.4579'}",2016-10-16 17:00:00,"{'w': 0.6237660286055217, 'd': 0.17726138084775173, 'l': 0.19897246778435465}",l
1017,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '1'}","{'h': '2.3909', 'a': '0.235632'}",2016-10-23 17:00:00,"{'w': 0.855890719742557, 'd': 0.11918823922231227, 'l': 0.024921001851839417}",l
3281,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '1'}","{'h': '2.39829', 'a': '0.547634'}",2016-10-26 22:45:00,"{'w': 0.7856547821660427, 'd': 0.14783346289379745, 'l': 0.06651171418090443}",w
3297,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '0'}","{'h': '0.821852', 'a': '2.47165'}",2016-10-30 23:45:00,"{'w': 0.10426610842836288, 'd': 0.16066504197515458, 'l': 0.735068789763657}",l
2753,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'h': '3', 'a': '0'}","{'h': '2.49682', 'a': '0.248518'}",2016-11-06 21:00:00,"{'w': 0.865211731517821, 'd': 0.1107048988318213, 'l': 0.02408330160452729}",w
2765,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '2'}","{'h': '0.652106', 'a': '1.59912'}",2016-11-20 23:45:00,"{'w': 0.14986562761924518, 'd': 0.24720484169533963, 'l': 0.6029295304892356}",d
2775,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '4', 'a': '2'}","{'h': '3.58331', 'a': '0.819314'}",2016-11-29 00:00:00,"{'w': 0.8683702937675968, 'd': 0.08496944882156755, 'l': 0.04665463808038101}",w
3066,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '3', 'a': '0'}","{'h': '1.76933', 'a': '1.12104'}",2016-12-02 23:45:00,"{'w': 0.5255248135111873, 'd': 0.23405251466556565, 'l': 0.24042267105839205}",l
3083,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '0'}","{'h': '0.848838', 'a': '1.01464'}",2016-12-11 23:45:00,"{'w': 0.29516500430992704, 'd': 0.32041684585487634, 'l': 0.3844181498347995}",w
3090,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '0.574257', 'a': '2.31308'}",2016-12-18 15:30:00,"{'w': 0.07530380378438696, 'd': 0.1582686322015091, 'l': 0.7664275383742631}",w
3098,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '0'}","{'h': '1.03142', 'a': '0.557926'}",2016-12-21 19:45:00,"{'w': 0.4644472655564926, 'd': 0.33949945920387364, 'l': 0.1960532752391701}",w
3522,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '1.33028', 'a': '1.26519'}",2017-01-08 15:30:00,"{'w': 0.38325045476871533, 'd': 0.26401579247376805, 'l': 0.35273375273360025}",w
3531,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '1'}","{'h': '2.95782', 'a': '0.339844'}",2017-01-14 23:45:00,"{'w': 0.8921067487449051, 'd': 0.08458093864518008, 'l': 0.023311748924679503}",w
3543,True,a,"{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '0.292892', 'a': '1.83761'}",2017-01-22 14:00:00,"{'w': 0.05171313638614726, 'd': 0.1918403511379589, 'l': 0.7564465112117316}",w
3551,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '114', 'title': 'Pescara', 'short_title': 'PES'}","{'h': '3', 'a': '0'}","{'h': '3.12652', 'a': '0.53762'}",2017-01-28 22:45:00,"{'w': 0.8729434629995123, 'd': 0.09056231041058649, 'l': 0.036493118460346925}",w
3568,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '0'}","{'h': '1.07568', 'a': '0.75887'}",2017-02-05 19:45:00,"{'w': 0.4258997137853454, 'd': 0.3191781561274696, 'l': 0.25492213008634396}",l
3577,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '0'}","{'h': '3.08595', 'a': '0.435897'}",2017-02-12 14:00:00,"{'w': 0.8865318342070374, 'd': 0.08482701449789226, 'l': 0.028640205488228907}",w
3585,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '0.773628', 'a': '2.14631'}",2017-02-19 11:30:00,"{'w': 0.12205244234386627, 'd': 0.18829400495600698, 'l': 0.6896535429565132}",w
3598,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '1', 'a': '3'}","{'h': '1.34431', 'a': '1.53335'}",2017-02-26 19:45:00,"{'w': 0.33389752837459374, 'd': 0.24762245845717976, 'l': 0.418480013038728}",l
3605,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '5'}","{'h': '0.953042', 'a': '2.29417'}",2017-03-05 14:00:00,"{'w': 0.1418448034710147, 'd': 0.18334167448910593, 'l': 0.6748134989687806}",w
3612,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '7', 'a': '1'}","{'h': '2.83767', 'a': '0.82197'}",2017-03-12 14:00:00,"{'w': 0.7883363288842302, 'd': 0.13132412982103603, 'l': 0.08033920307144667}",w
3625,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '2'}","{'h': '1.12122', 'a': '1.75154'}",2017-03-18 17:00:00,"{'w': 0.2431147897493627, 'd': 0.2355798756954565, 'l': 0.5213053338867397}",d
3640,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '1', 'a': '2'}","{'h': '1.85477', 'a': '2.38881'}",2017-04-03 19:45:00,"{'w': 0.3033362201054514, 'd': 0.19464271838875538, 'l': 0.5020210213277819}",l
3645,True,a,"{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '1'}","{'h': '2.01501', 'a': '1.90585'}",2017-04-09 14:00:00,"{'w': 0.41674086997039284, 'd': 0.20900193398923908, 'l': 0.3742571897196749}",l
3659,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '2'}","{'h': '1.51555', 'a': '1.64887'}",2017-04-15 11:30:00,"{'w': 0.3537903704529367, 'd': 0.23520875809762837, 'l': 0.4110008710580795}",d
3667,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '5', 'a': '4'}","{'h': '2.33379', 'a': '1.58463'}",2017-04-22 19:45:00,"{'w': 0.5448805941333467, 'd': 0.19674596119550622, 'l': 0.25837341574812916}",l
3677,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '1'}","{'h': '0.380576', 'a': '1.58536'}",2017-04-30 19:45:00,"{'w': 0.08504821379521094, 'd': 0.23813934808027307, 'l': 0.6768124379499656}",l
3687,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '0'}","{'h': '1.25833', 'a': '1.33836'}",2017-05-07 14:00:00,"{'w': 0.3493160141429157, 'd': 0.26385798216857353, 'l': 0.3868260036637881}",l
3700,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '2'}","{'h': '1.17353', 'a': '2.16401'}",2017-05-14 11:30:00,"{'w': 0.19861971990557512, 'd': 0.20202166374982264, 'l': 0.5993586055005481}",l
3707,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '3'}","{'h': '1.14821', 'a': '1.58862'}",2017-05-21 19:45:00,"{'w': 0.27538354140711585, 'd': 0.24907151039378114, 'l': 0.47554494801755987}",w
3721,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '5', 'a': '2'}","{'h': '3.44437', 'a': '2.68963'}",2017-05-28 19:45:00,"{'w': 0.538534754506084, 'd': 0.1578634942253505, 'l': 0.3035980477268038}",w
