id,isResult,side,h,a,goals,xG,datetime,forecast,result
936,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '4'}","{'h': '1.54669', 'a': '1.80658'}",2016-08-21 22:45:00,"{'w': 0.33263765628664804, 'd': 0.226281895576943, 'l': 0.44108044700360627}",w
941,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '1'}","{'h': '0.16672', 'a': '0.614088'}",2016-08-27 20:00:00,"{'w': 0.08730427937196404, 'd': 0.5061438184032818, 'l': 0.40655190222475346}",l
954,True,a,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '1'}","{'h': '2.00749', 'a': '0.74614'}",2016-09-11 17:00:00,"{'w': 0.6694000802431249, 'd': 0.20136971203883286, 'l': 0.1292302036519646}",d
961,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '114', 'title': 'Pescara', 'short_title': 'PES'}","{'h': '3', 'a': '0'}","{'h': '3.04807', 'a': '1.21293'}",2016-09-17 20:00:00,"{'w': 0.7410170255382675, 'd': 0.1396087375951847, 'l': 0.1193734229781046}",w
970,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '0'}","{'h': '2.62568', 'a': '0.701969'}",2016-09-20 22:45:00,"{'w': 0.784282607907566, 'd': 0.13948991682242834, 'l': 0.07622734682496456}",l
986,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '0'}","{'h': '1.91368', 'a': '1.03563'}",2016-09-25 17:00:00,"{'w': 0.5785504279070444, 'd': 0.22045363331486473, 'l': 0.2009959366133619}",w
991,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '3'}","{'h': '1.05481', 'a': '1.29748'}",2016-10-01 22:45:00,"{'w': 0.3021293725475949, 'd': 0.2773178382246889, 'l': 0.4205527892157823}",w
1006,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '1'}","{'h': '2.91842', 'a': '1.04123'}",2016-10-16 17:00:00,"{'w': 0.7560273109572058, 'd': 0.13910115299549589, 'l': 0.10487105794788396}",d
1013,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '2'}","{'h': '1.66152', 'a': '1.31796'}",2016-10-23 17:00:00,"{'w': 0.45540226745756446, 'd': 0.24006873097895243, 'l': 0.30452900122077803}",d
3283,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '4', 'a': '1'}","{'h': '3.41279', 'a': '1.28037'}",2016-10-26 22:45:00,"{'w': 0.7762699794309051, 'd': 0.12105474855700689, 'l': 0.10267210666944283}",w
3293,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '1'}","{'h': '1.78915', 'a': '1.2589'}",2016-10-30 18:00:00,"{'w': 0.49858701229103014, 'd': 0.23189566247117177, 'l': 0.26951732434464254}",w
2747,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '1'}","{'h': '0.713297', 'a': '0.414383'}",2016-11-05 23:45:00,"{'w': 0.3829717424704468, 'd': 0.42679546418218217, 'l': 0.19023279334736853}",d
2760,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '3', 'a': '1'}","{'h': '1.79807', 'a': '0.644182'}",2016-11-20 18:00:00,"{'w': 0.6516006547237668, 'd': 0.22090191121250186, 'l': 0.1274974331173139}",w
2768,True,a,"{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '1'}","{'h': '0.704882', 'a': '1.51663'}",2016-11-27 15:30:00,"{'w': 0.1729862879234764, 'd': 0.2592990854982762, 'l': 0.5677146264825238}",w
3069,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '2'}","{'h': '0.575784', 'a': '0.995438'}",2016-12-04 18:00:00,"{'w': 0.20769401748420652, 'd': 0.3450800449728364, 'l': 0.44722593754267537}",l
3077,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '2'}","{'h': '0.524617', 'a': '2.12265'}",2016-12-10 23:45:00,"{'w': 0.07853318570659593, 'd': 0.17461365902218262, 'l': 0.7468531468367517}",w
3095,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '3', 'a': '1'}","{'h': '1.83592', 'a': '1.55704'}",2016-12-18 23:45:00,"{'w': 0.44558712753442015, 'd': 0.22453103944345015, 'l': 0.329881831636573}",w
3098,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '0'}","{'h': '1.03142', 'a': '0.557926'}",2016-12-21 19:45:00,"{'w': 0.4644472655564926, 'd': 0.33949945920387364, 'l': 0.1960532752391701}",l
3525,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'h': '1', 'a': '0'}","{'h': '2.08654', 'a': '0.484413'}",2017-01-08 18:00:00,"{'w': 0.7507035771371597, 'd': 0.17561326857957923, 'l': 0.07368314754017992}",w
3537,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '1'}","{'h': '2.00872', 'a': '0.372432'}",2017-01-15 18:00:00,"{'w': 0.7661026049075181, 'd': 0.1756639978531216, 'l': 0.05823339314044682}",w
