id,isResult,side,h,a,goals,xG,datetime,forecast,result
9585,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '0', 'a': '1'}","{'h': '0.906945', 'a': '0.526925'}",2018-08-19 21:30:00,"{'w': 0.4290556835938608, 'd': 0.36666200073125943, 'l': 0.20428231567480373}",l
9593,True,a,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '0', 'a': '0'}","{'h': '1.77944', 'a': '0.924593'}",2018-08-26 21:30:00,"{'w': 0.5752222884735847, 'd': 0.23154710524117963, 'l': 0.19323060546144524}",d
9598,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '3'}","{'h': '0.494365', 'a': '2.45978'}",2018-09-01 16:00:00,"{'w': 0.05592156916022042, 'd': 0.13758689000087007, 'l': 0.8064914845578839}",l
9610,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '0'}","{'h': '0.488376', 'a': '0.667504'}",2018-09-16 13:00:00,"{'w': 0.22948164938026325, 'd': 0.42606880936426605, 'l': 0.3444495412554698}",l
9617,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '2', 'a': '0'}","{'h': '0.885381', 'a': '3.20497'}",2018-09-23 13:00:00,"{'w': 0.06857037771531521, 'd': 0.11063654240149542, 'l': 0.8207915852711133}",w
9632,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '0'}","{'h': '0.851257', 'a': '0.325971'}",2018-09-26 19:00:00,"{'w': 0.4652041245908011, 'd': 0.3997511111121632, 'l': 0.1350447642970049}",l
9640,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '1'}","{'h': '1.36167', 'a': '0.997014'}",2018-09-30 10:30:00,"{'w': 0.4517666638398472, 'd': 0.27362251222825157, 'l': 0.2746108239096541}",w
9648,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '0'}","{'h': '1.90878', 'a': '0.381595'}",2018-10-06 13:00:00,"{'w': 0.7453996343290636, 'd': 0.18952535881499835, 'l': 0.06507500476383515}",l
9657,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '2'}","{'h': '1.49515', 'a': '0.697863'}",2018-10-21 13:00:00,"{'w': 0.5640093613298415, 'd': 0.2621335266979256, 'l': 0.17385711189338546}",d
9673,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '2'}","{'h': '1.93718', 'a': '1.50755'}",2018-10-28 10:30:00,"{'w': 0.4782902415872918, 'd': 0.2197793417323249, 'l': 0.30193041404930915}",d
