id,isResult,side,h,a,goals,xG,datetime,forecast,result
13094,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '3'}","{'h': '0.627446', 'a': '1.54375'}",2019-08-25 19:45:00,"{'w': 0.14987087881426245, 'd': 0.25431275695343186, 'l': 0.5958163641105483}",l
13107,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '4', 'a': '1'}","{'h': '2.66279', 'a': '1.24293'}",2019-09-01 19:45:00,"{'w': 0.6760685767778416, 'd': 0.16692430149997842, 'l': 0.15700696853565277}",l
13114,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '2', 'a': '0'}","{'h': '1.72924', 'a': '1.69786'}",2019-09-14 16:00:00,"{'w': 0.3937964766662701, 'd': 0.22540295892641907, 'l': 0.3808005634058702}",l
13126,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '0'}","{'h': '1.8371', 'a': '0.216688'}",2019-09-22 13:00:00,"{'w': 0.778003357579895, 'd': 0.18461203669191842, 'l': 0.03738460446867891}",w
13130,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '2', 'a': '1'}","{'h': '1.94827', 'a': '0.642879'}",2019-09-25 19:00:00,"{'w': 0.6837326550198228, 'd': 0.20260372910207383, 'l': 0.11366361313634397}",l
13146,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '3'}","{'h': '1.31073', 'a': '2.16553'}",2019-09-28 16:00:00,"{'w': 0.2263294877485075, 'd': 0.20453523123662312, 'l': 0.5691352700613059}",l
13154,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '2', 'a': '0'}","{'h': '0.667382', 'a': '0.727876'}",2019-10-05 17:00:00,"{'w': 0.2900065370434186, 'd': 0.38355834499155067, 'l': 0.32643511796502617}",l
13166,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '0'}","{'h': '0.628013', 'a': '0.443611'}",2019-10-20 14:00:00,"{'w': 0.33829189765368767, 'd': 0.4447108988903692, 'l': 0.21699720345594262}",d
13170,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '2', 'a': '1'}","{'h': '2.25191', 'a': '0.507876'}",2019-10-27 11:30:00,"{'w': 0.7725426702938696, 'd': 0.15923591287354796, 'l': 0.06822139867776976}",l
13186,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '1', 'a': '1'}","{'h': '1.64236', 'a': '1.06001'}",2019-10-30 20:00:00,"{'w': 0.509497648124027, 'd': 0.24554387017743817, 'l': 0.24495848141668514}",d
