goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,4,0.38227468729019165,80,DMC,Lazio,Bologna,3,3,2019-05-20,9941,2018,334471,0.014551161788403988,0,1,1,0.38227468729019165,0.3968258500099182,0.019535668194293976
0,3,0.09890887886285782,88,DMC,AC Milan,Bologna,2,1,2019-05-06,9924,2018,331332,0,0,0,0,0.09890887886285782,0.11715827137231827,0.018249396234750748
0,0,0,10,Sub,Bologna,Empoli,3,1,2019-04-27,9913,2018,328753,0,0,0,0,0,0,0
0,0,0,13,Sub,Bologna,Sampdoria,3,0,2019-04-20,9897,2018,325822,0,0,0,0,0,0,0
0,1,0.030361445620656013,78,DMC,Fiorentina,Bologna,0,0,2019-04-14,9889,2018,324804,0,0,0,0,0.030361445620656013,0.030361445620656013,0
0,0,0,1,Sub,Bologna,Chievo,3,0,2019-04-08,9877,2018,323640,0,0,0,0,0,0,0
0,0,0,7,Sub,Atalanta,Bologna,4,1,2019-04-04,9867,2018,322238,0,0,0,0,0,0,0
0,1,0.03794020041823387,68,DMC,Bologna,Sassuolo,2,1,2019-03-31,9857,2018,318697,0.023835740983486176,0,1,0,0.03794020041823387,0.06177594140172005,0
1,1,0.33786752820014954,69,Sub,Torino,Bologna,2,3,2019-03-16,9855,2018,316722,0,0,0,1,0.33786752820014954,0.33786752820014954,0
0,1,0.06931831687688828,67,DMC,Udinese,Bologna,2,1,2019-03-03,9829,2018,307314,0,0,0,0,0.06931831687688828,0.6863771080970764,0.6863771080970764
0,0,0,79,DMC,Bologna,Juventus,0,1,2019-02-24,9817,2018,306994,0.039698537439107895,0,1,0,0,0.0669073611497879,0.027208825573325157
0,3,0.14137648046016693,73,MC,Roma,Bologna,2,1,2019-02-18,9814,2018,306868,0.021241890266537666,0,1,0,0.14137648046016693,0.20543646812438965,0.0812935158610344
0,2,0.11013160645961761,77,MC,Bologna,Genoa,1,1,2019-02-10,9798,2018,306437,0.4155310392379761,1,1,0,0.11013160645961761,0.0675327479839325,0.04685911163687706
0,3,0.1912430077791214,90,MC,Inter,Bologna,0,1,2019-02-03,9793,2018,306229,0,0,0,0,0.1912430077791214,0.4922240972518921,0.3009810745716095
0,1,0.014908808283507824,49,MC,Bologna,Frosinone,0,4,2019-01-27,9783,2018,305937,0.22505684196949005,0,3,0,0.014908808283507824,0.2587873637676239,0.018821699544787407
0,0,0,80,MC,SPAL 2013,Bologna,1,1,2019-01-20,9775,2018,305646,0,0,0,0,0,0,0
0,2,0.1221710667014122,82,MC,Napoli,Bologna,3,2,2018-12-29,9763,2018,291498,0,0,0,0,0.1221710667014122,0.1221710667014122,0
0,2,0.06663770228624344,83,MC,Bologna,Lazio,0,2,2018-12-26,9748,2018,282241,0.025593610480427742,0,1,0,0.06663770228624344,0.11363682150840759,0.046999119222164154
0,0,0,82,MC,Bologna,AC Milan,0,0,2018-12-18,9729,2018,281745,0,0,0,0,0,0,0
1,1,0.6993964910507202,72,MC,Empoli,Bologna,2,1,2018-12-09,9725,2018,281459,0,0,0,1,0.6993964910507202,1.0503253936767578,0.35092893242836
1,1,0.5956984162330627,84,MC,Sampdoria,Bologna,4,1,2018-12-01,9712,2018,281072,0,0,0,1,0.5956984162330627,0.08570876717567444,0.08570876717567444
0,1,0.05140158534049988,90,MC,Bologna,Fiorentina,0,0,2018-11-25,9697,2018,280840,0,0,0,0,0.05140158534049988,0.1427757889032364,0.09137421101331711
0,1,0.011076045222580433,44,Sub,Chievo,Bologna,2,2,2018-11-11,9688,2018,280612,0,0,0,0,0.011076045222580433,0.011076045222580433,0
0,0,0,25,Sub,Bologna,Atalanta,1,2,2018-11-04,9677,2018,280403,0.09028306603431702,0,1,0,0,0.10194050520658493,0.01165743637830019
0,1,0.08268868923187256,90,MC,Sassuolo,Bologna,2,2,2018-10-28,9673,2018,282063,0,0,0,0,0.08268868923187256,0.16959503293037415,0.08690633624792099
0,0,0,90,MC,Bologna,Torino,2,2,2018-10-21,9657,2018,279728,0,0,0,0,0,0,0
0,1,0.08870521187782288,69,MC,Genoa,Bologna,1,0,2018-09-16,9610,2018,249403,0,0,0,0,0.08870521187782288,0.12691351771354675,0.03820829838514328
0,0,0,76,MC,Bologna,Inter,0,3,2018-09-01,9598,2018,246938,0,0,0,0,0,0.06254695355892181,0.06254695355892181
0,1,0.10378121584653854,71,MC,Frosinone,Bologna,0,0,2018-08-26,9593,2018,246030,0.02889631688594818,0,1,0,0.10378121584653854,0.13267754018306732,0
0,0,0,78,MC,Bologna,SPAL 2013,0,1,2018-08-19,9585,2018,243544,0.07813895493745804,0,3,0,0,0.07813895493745804,0
