,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
53,2014,5150,1167,Alberto Aquilani,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,2014,5114,1167,Alberto Aquilani,h,MC,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0112457703799009,-0.5,-0.488754229620099,-0.5
774,2014,5126,1167,Alberto Aquilani,a,MC,107.0,0.0,0.0,3.0,1.0,0.0,0.1552810668945312,0.0756756048649549,-0.5,0.041518805548548754,0.0
871,2014,5130,1167,Alberto Aquilani,h,MC,197.0,0.0,0.0,5.0,2.0,0.0,0.25636515766382206,0.2178689669817685,-1.0,-0.013035560026764745,-0.5
1227,2014,5142,1167,Alberto Aquilani,a,Sub,287.0,0.0,0.0,7.0,2.0,0.0,0.29791883006691916,0.2520962599664925,-1.0,0.14585275016725074,0.0
1627,2014,5077,1167,Alberto Aquilani,h,MC,308.0,0.0,0.0,8.0,2.0,0.0,0.34566348418593384,0.2520962599664925,-1.0,0.28908671252429496,0.0
1739,2014,5081,1167,Alberto Aquilani,h,MC,398.0,0.0,0.0,10.0,2.0,0.0,0.41363932564854594,0.2690735589712856,-1.0,0.5099915359169246,0.0
2224,2014,5098,1167,Alberto Aquilani,a,MC,478.0,0.0,0.0,12.0,2.0,0.0,0.49287724867463084,0.3612559493631122,-1.0,0.8398876953870058,0.0
2440,2014,5106,1167,Alberto Aquilani,h,Sub,568.0,0.0,0.0,14.0,2.0,0.0,0.5156886465847489,0.37733311951160403,-1.0,0.9243990592658519,0.0
2616,2014,5033,1167,Alberto Aquilani,a,MC,595.0,0.0,0.0,16.0,2.0,0.0,0.5558618232607838,0.37733311951160403,-1.0,1.0449185892939565,0.0
2989,2014,5047,1167,Alberto Aquilani,h,MC,685.0,0.0,0.0,17.0,2.0,0.0,0.6943893656134602,0.4196882508695122,-1.0,1.502856347709894,0.0
3511,2014,5065,1167,Alberto Aquilani,a,Sub,751.0,0.0,0.0,18.0,2.0,0.0,0.7017929395660754,0.4389569759368892,-1.0,1.5443357946351168,0.0
3638,2014,5000,1167,Alberto Aquilani,h,Sub,771.0,0.0,0.0,19.0,2.0,0.0,0.7450454710051413,0.4389569759368892,-1.0,1.6740933889523146,0.0
4091,2014,5016,1167,Alberto Aquilani,a,MC,782.0,0.0,0.0,19.0,2.0,0.0,0.7450454710051413,0.4389569759368892,-1.0,1.6740933889523146,0.0
4362,2014,5026,1167,Alberto Aquilani,h,Sub,872.0,0.0,0.0,22.0,2.0,0.0,0.853644060902297,0.4389569759368892,-1.0,1.999889158643782,0.0
4597,2014,4961,1167,Alberto Aquilani,a,Sub,894.0,0.0,0.0,22.0,3.0,0.0,0.853644060902297,0.4389569759368892,-1.5,1.499889158643782,-0.5
6148,2014,4937,1167,Alberto Aquilani,a,Sub,924.0,0.0,0.0,22.0,3.0,0.0,0.853644060902297,0.4680751543492074,-1.5,1.5290073370561001,0.0
6546,2014,4952,1167,Alberto Aquilani,h,MC,946.0,0.0,0.0,22.0,3.0,0.0,0.853644060902297,0.4680751543492074,-1.5,1.5290073370561001,0.0
6840,2014,4886,1167,Alberto Aquilani,a,MC,1036.0,0.0,0.0,23.0,3.0,0.0,0.936883131973445,0.4680751543492074,-1.5,1.778724550269544,0.0
7412,2014,4907,1167,Alberto Aquilani,h,MC,1118.0,0.0,0.0,23.0,4.0,0.0,0.936883131973445,0.4992223400622601,-2.0,1.3098717359825967,-0.5
7971,2014,4837,1167,Alberto Aquilani,h,MC,1164.0,0.0,0.0,24.0,4.0,0.0,0.9524183543398972,0.5136881424114101,-2.0,1.3709432054311035,0.0
8611,2014,4860,1167,Alberto Aquilani,h,MC,1248.0,0.0,0.0,28.0,4.0,0.0,1.6414200337603684,0.601627769879996,-2.0,3.5258878711611032,0.0
9098,2014,4877,1167,Alberto Aquilani,a,MC,1338.0,0.0,0.0,32.0,4.0,0.0,1.7364577250555153,0.6092277788557104,-2.0,3.8186009540222585,0.0
9681,2014,4796,1167,Alberto Aquilani,a,MC,1428.0,0.0,0.0,34.0,5.0,0.0,1.8187388824298973,0.6806730576790861,-2.5,3.6368897049687803,-0.5
9976,2014,4807,1167,Alberto Aquilani,h,MC,1518.0,0.0,0.0,36.0,5.0,0.0,1.8873148905113335,0.6806730576790861,-2.5,3.8426177292130888,0.0
