,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
883,2014,5130,1827,Alessandro Longhi,a,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1589,2014,5075,1827,Alessandro Longhi,a,Sub,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1711,2014,5080,1827,Alessandro Longhi,h,ML,82.0,0.0,0.0,1.0,0.0,0.0,0.2595168054103851,0.0,0.0,0.7785504162311554,0.0
3922,2014,5010,1827,Alessandro Longhi,a,DL,172.0,0.0,1.0,2.0,0.0,0.0,0.31282968819141377,0.5368842482566833,1.0,1.475373312830925,1.0
4741,2014,4967,1827,Alessandro Longhi,h,DL,262.0,0.0,1.0,2.0,0.0,0.0,0.31282968819141377,0.5368842482566833,1.0,1.475373312830925,0.0
5144,2014,4981,1827,Alessandro Longhi,a,DL,352.0,0.0,1.0,3.0,0.0,0.0,0.32553018908947684,0.5368842482566833,1.0,1.5134748155251145,0.0
5630,2014,4919,1827,Alessandro Longhi,h,DL,442.0,0.0,1.0,3.0,0.0,0.0,0.32553018908947684,0.6416757926344872,1.0,1.6182663599029183,0.0
6002,2014,4932,1827,Alessandro Longhi,a,DL,503.0,0.0,1.0,3.0,0.0,0.0,0.32553018908947684,0.6416757926344872,1.0,1.6182663599029183,0.0
6127,2014,4937,1827,Alessandro Longhi,h,DL,570.0,0.0,1.0,3.0,0.0,0.0,0.32553018908947684,0.6416757926344872,1.0,1.6182663599029183,0.0
6799,2014,4885,1827,Alessandro Longhi,h,ML,650.0,0.0,1.0,3.0,1.0,0.0,0.32553018908947684,0.7480596378445624,0.5,1.2246502051129937,-0.5
7172,2014,4898,1827,Alessandro Longhi,a,DL,740.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,-0.5
7270,2014,4902,1827,Alessandro Longhi,h,DL,830.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,0.0
7535,2014,4911,1827,Alessandro Longhi,a,DL,920.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,0.0
7949,2014,4836,1827,Alessandro Longhi,h,Sub,1005.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,0.0
8289,2014,4848,1827,Alessandro Longhi,a,DL,1032.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,0.0
8417,2014,4853,1827,Alessandro Longhi,h,ML,1122.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,0.0
8848,2014,4868,1827,Alessandro Longhi,a,ML,1212.0,0.0,1.0,3.0,2.0,0.0,0.32553018908947684,0.7480596378445624,0.0,0.7246502051129937,0.0
8943,2014,4872,1827,Alessandro Longhi,h,DML,1273.0,0.0,1.0,6.0,2.0,0.0,0.44322903733700486,0.7686457689851521,0.0,1.0983328809961677,0.0
9220,2014,4780,1827,Alessandro Longhi,h,DL,1363.0,0.0,1.0,6.0,2.0,0.0,0.44322903733700486,0.8619979079812763,0.0,1.191685019992292,0.0
