,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
259,2014,5158,1888,Antonio Di Natale,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,2014,5110,1888,Antonio Di Natale,a,FW,85.0,2.0,0.0,3.0,0.0,0.0,0.881287157535553,0.131882905960083,6.0,2.775744378566742,6.0
736,2014,5125,1888,Antonio Di Natale,h,FW,175.0,2.0,0.0,4.0,0.0,0.0,0.9061616901308298,0.1938574574887752,6.0,2.9123425278812647,0.0
1114,2014,5138,1888,Antonio Di Natale,a,Sub,257.0,2.0,0.0,6.0,0.0,0.0,0.9659615959972143,0.1938574574887752,6.0,3.091742245480418,0.0
1349,2014,5147,1888,Antonio Di Natale,h,FW,278.0,2.0,0.0,6.0,0.0,0.0,0.9659615959972143,0.1938574574887752,6.0,3.091742245480418,0.0
1546,2014,5074,1888,Antonio Di Natale,h,FW,353.0,4.0,0.0,8.0,0.0,0.0,1.4298188593238592,0.297935914248228,12.0,4.587392492219806,6.0
1896,2014,5086,1888,Antonio Di Natale,a,FW,442.0,4.0,1.0,12.0,0.0,0.0,1.8337438609451056,0.5361029617488383,13.0,6.037334544584155,1.0
2049,2014,5092,1888,Antonio Di Natale,h,FW,532.0,4.0,1.0,14.0,0.0,0.0,1.9304613377898932,0.8376928977668284,13.0,6.629076911136508,0.0
2453,2014,5106,1888,Antonio Di Natale,a,FW,619.0,5.0,2.0,18.0,0.0,0.0,2.140566935762763,1.1907992772758005,17.0,7.61250008456409,4.0
2661,2014,5035,1888,Antonio Di Natale,h,FW,709.0,5.0,2.0,20.0,0.0,0.0,2.246924987062812,1.1907992772758005,17.0,7.931574238464236,0.0
3162,2014,5053,1888,Antonio Di Natale,h,FW,799.0,6.0,3.0,25.0,0.0,0.0,2.8196715023368597,1.4071506820619104,21.0,9.86616518907249,4.0
3452,2014,5063,1888,Antonio Di Natale,a,FW,889.0,7.0,3.0,29.0,1.0,0.0,2.970856612548232,1.5206011198461054,23.5,9.933170957490802,2.5
3845,2014,5007,1888,Antonio Di Natale,a,FW,957.0,7.0,3.0,29.0,1.0,0.0,2.970856612548232,1.5854553170502184,23.5,9.998025154694915,0.0
4053,2014,5015,1888,Antonio Di Natale,h,FW,1021.0,7.0,3.0,33.0,1.0,0.0,3.2061025854200125,1.6234867386519907,23.5,10.741794494912028,0.0
4347,2014,5025,1888,Antonio Di Natale,a,Sub,1111.0,8.0,3.0,38.0,2.0,0.0,3.743838584050536,1.7318950854241846,26.0,11.963410837575793,2.5
4498,2014,4958,1888,Antonio Di Natale,h,FW,1112.0,8.0,3.0,39.0,2.0,0.0,3.8491163086146116,1.7318950854241846,26.0,12.27924401126802,0.0
5247,2014,4985,1888,Antonio Di Natale,h,FW,1182.0,8.0,3.0,40.0,3.0,0.0,3.964751159772277,2.25276904925704,25.5,12.64702252857387,-0.5
5538,2014,4995,1888,Antonio Di Natale,a,FW,1271.0,8.0,4.0,42.0,3.0,0.0,4.1000810619443655,2.7674080692231655,26.5,13.567651255056262,1.0
5664,2014,4920,1888,Antonio Di Natale,h,FW,1341.0,9.0,4.0,43.0,3.0,0.0,4.437887197360396,2.822569355368614,29.5,14.636230947449803,3.0
6329,2014,4944,1888,Antonio Di Natale,h,FW,1431.0,9.0,4.0,46.0,4.0,0.0,4.521509451791644,2.994038626551628,29.0,14.55856698192656,-0.5
6788,2014,4884,1888,Antonio Di Natale,a,FW,1521.0,9.0,4.0,49.0,4.0,0.0,4.708776174113154,3.2220257967710495,29.0,15.348354319110513,0.0
7081,2014,4895,1888,Antonio Di Natale,h,FW,1611.0,9.0,4.0,52.0,4.0,0.0,4.875950215384364,3.29474338889122,29.0,15.922594035044312,0.0
7318,2014,4903,1888,Antonio Di Natale,a,FW,1701.0,10.0,5.0,55.0,4.0,0.0,5.118357760831714,3.8632690608501434,33.0,17.218342343345284,4.0
7666,2014,4916,1888,Antonio Di Natale,h,FW,1771.0,10.0,5.0,56.0,4.0,0.0,5.169803539291024,3.8632690608501434,33.0,17.372679678723216,0.0
7905,2014,4834,1888,Antonio Di Natale,a,Sub,1852.0,10.0,6.0,56.0,4.0,0.0,5.169803539291024,4.458249181509018,34.0,17.96765979938209,1.0
8044,2014,4839,1888,Antonio Di Natale,a,FW,1867.0,10.0,6.0,56.0,4.0,0.0,5.169803539291024,4.458249181509018,34.0,17.96765979938209,0.0
8224,2014,4846,1888,Antonio Di Natale,h,FW,1957.0,10.0,6.0,56.0,4.0,0.0,5.169803539291024,4.474726619198918,34.0,17.98413723707199,0.0
8465,2014,4854,1888,Antonio Di Natale,a,Sub,2047.0,11.0,6.0,59.0,4.0,0.0,5.3447398487478495,4.590589905157685,37.0,18.624809451401234,3.0
8642,2014,4861,1888,Antonio Di Natale,h,FW,2074.0,11.0,6.0,60.0,4.0,0.0,5.392606718465686,4.650757314637303,37.0,18.82857747003436,0.0
8920,2014,4871,1888,Antonio Di Natale,h,FW,2164.0,11.0,7.0,66.0,4.0,0.0,5.6708814930170774,5.000851662829518,38.0,20.01349614188075,1.0
9327,2014,4783,1888,Antonio Di Natale,a,Sub,2227.0,12.0,7.0,67.0,4.0,0.0,5.988006008788943,5.041489640250802,41.0,21.005507666617632,3.0
9559,2014,4792,1888,Antonio Di Natale,h,FW,2258.0,13.0,7.0,69.0,4.0,0.0,6.647804571315646,5.5645844135433435,44.0,23.507998127490282,3.0
10233,2014,4816,1888,Antonio Di Natale,h,Sub,2348.0,14.0,7.0,73.0,4.0,0.0,7.842539383098483,5.721801662817597,47.0,27.249419812113047,3.0
