,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1282,2014,5072,1096,Armando Izzo,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2975,2014,5066,1096,Armando Izzo,a,DC,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3172,2014,5005,1096,Armando Izzo,h,DC,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3726,2014,5028,1096,Armando Izzo,a,Sub,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4044,2014,4969,1096,Armando Izzo,a,DC,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4311,2014,4981,1096,Armando Izzo,h,DC,320.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.0,3.0,2.317832887172699,3.0
5118,2014,4935,1096,Armando Izzo,a,DC,410.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.0,3.0,2.317832887172699,0.0
5248,2014,4941,1096,Armando Izzo,h,DC,500.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.0968677178025245,3.0,2.4147006049752235,0.0
5915,2014,4893,1096,Armando Izzo,a,Sub,590.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.0968677178025245,3.0,2.4147006049752235,0.0
7146,2014,4856,1096,Armando Izzo,a,DC,608.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.0968677178025245,3.0,2.4147006049752235,0.0
7662,2014,4878,1096,Armando Izzo,a,DC,698.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.2268890812993049,3.0,2.544721968472004,0.0
7785,2014,4781,1096,Armando Izzo,a,DC,788.0,1.0,0.0,1.0,0.0,0.0,0.7726109623908997,0.25379691272974003,3.0,2.571629799902439,0.0
8313,2014,4803,1096,Armando Izzo,a,DC,878.0,1.0,0.0,1.0,1.0,0.0,0.7726109623908997,0.25379691272974003,3.0,2.071629799902439,0.0
8820,2014,4825,1096,Armando Izzo,a,DC,968.0,1.0,0.0,1.0,2.0,0.0,0.7726109623908997,0.25379691272974003,3.0,1.5716297999024391,0.0
