,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
22,2014,5149,222,Arturo Vidal,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,2014,5120,222,Arturo Vidal,a,Sub,87.0,0.0,0.0,3.0,1.0,0.0,0.7608150839805603,0.1555615067481994,-0.5,1.9380067586898804,-0.5
955,2014,5133,222,Arturo Vidal,h,MC,98.0,0.0,0.0,4.0,1.0,0.0,0.8970782160758972,0.1555615067481994,-0.5,2.346796154975891,0.0
1166,2014,5140,222,Arturo Vidal,a,MC,178.0,2.0,0.0,8.0,1.0,0.0,1.8460894227027893,0.1555615067481994,5.5,5.193829774856567,6.0
1604,2014,5076,222,Arturo Vidal,h,Sub,250.0,2.0,0.0,10.0,1.0,0.0,1.9066851288080215,0.2139462381601333,5.5,5.434001624584198,0.0
2076,2014,5093,222,Arturo Vidal,h,MC,258.0,2.0,0.0,10.0,1.0,0.0,1.9066851288080215,0.3200605809688567,5.5,5.5401159673929214,0.0
2478,2014,5107,222,Arturo Vidal,a,MC,348.0,3.0,0.0,13.0,2.0,0.0,2.229748621582985,0.7066965103149413,8.0,6.395942375063896,2.5
2561,2014,5031,222,Arturo Vidal,a,MC,427.0,3.0,0.0,13.0,3.0,0.0,2.229748621582985,0.7066965103149413,7.5,5.895942375063896,-0.5
3122,2014,5051,222,Arturo Vidal,a,Sub,517.0,3.0,0.0,15.0,4.0,0.0,2.317079283297062,0.8206345811486243,7.0,5.77187243103981,-0.5
3549,2014,5067,222,Arturo Vidal,h,AMC,530.0,3.0,0.0,15.0,4.0,0.0,2.317079283297062,0.8206345811486243,7.0,5.77187243103981,0.0
3646,2014,5000,222,Arturo Vidal,a,MC,620.0,4.0,1.0,18.0,4.0,0.0,3.5644944682717323,0.9459332749247549,11.0,9.639416679739952,4.0
3966,2014,5012,222,Arturo Vidal,h,MC,710.0,4.0,1.0,19.0,4.0,0.0,3.574636318720877,0.9459332749247549,11.0,9.669842231087387,0.0
4201,2014,5020,222,Arturo Vidal,a,MC,800.0,4.0,1.0,22.0,5.0,0.0,3.738773130811751,1.0892865136265752,10.5,9.805605906061828,-0.5
4718,2014,4966,222,Arturo Vidal,h,AMC,890.0,5.0,1.0,24.0,5.0,0.0,3.7979683177545667,1.411725468933582,13.5,10.305630422197282,3.0
5008,2014,4976,222,Arturo Vidal,a,AMC,968.0,5.0,2.0,27.0,5.0,0.0,3.9150752099230886,2.1882929876446724,14.5,11.433518617413938,1.0
5437,2014,4992,222,Arturo Vidal,h,MC,1058.0,6.0,2.0,28.0,5.0,0.0,3.98233197350055,2.1882929876446724,17.5,11.635288908146322,3.0
5883,2014,4928,222,Arturo Vidal,h,AMC,1125.0,6.0,2.0,31.0,6.0,0.0,4.154376191087067,2.298758164048195,17.0,11.761886737309396,-0.5
6395,2014,4946,222,Arturo Vidal,a,AMC,1215.0,6.0,2.0,32.0,6.0,0.0,4.1965763764455914,2.442541256546974,17.0,12.032270385883749,0.0
6898,2014,4888,222,Arturo Vidal,a,MC,1303.0,6.0,2.0,33.0,6.0,0.0,4.957875211723149,2.6061729192733765,17.0,14.479798554442823,0.0
7161,2014,4898,222,Arturo Vidal,h,MC,1393.0,6.0,2.0,35.0,7.0,0.0,5.091049273498356,2.7638431042432785,16.5,14.536990924738348,-0.5
7209,2014,4899,222,Arturo Vidal,a,Sub,1483.0,6.0,2.0,37.0,7.0,0.0,5.218239297159016,2.7638431042432785,16.5,14.918560995720327,0.0
7552,2014,4912,222,Arturo Vidal,h,MC,1526.0,6.0,2.0,38.0,7.0,0.0,5.294294212944806,2.7638431042432785,16.5,15.146725743077695,0.0
8000,2014,4838,222,Arturo Vidal,h,MC,1615.0,6.0,2.0,40.0,7.0,0.0,5.382410642690957,2.7638431042432785,16.5,15.411075032316148,0.0
8095,2014,4841,222,Arturo Vidal,a,MC,1701.0,6.0,3.0,42.0,7.0,0.0,5.49656926561147,3.4821266382932663,17.5,16.471834435127676,1.0
8390,2014,4852,222,Arturo Vidal,h,MC,1791.0,6.0,3.0,46.0,7.0,0.0,5.690867860801518,3.551034703850746,17.5,17.1236382862553,0.0
8763,2014,4865,222,Arturo Vidal,a,MC,1880.0,6.0,4.0,47.0,7.0,0.0,5.728659284301102,3.6284754872322083,18.5,17.314453340135515,1.0
9090,2014,4877,222,Arturo Vidal,h,Sub,1970.0,6.0,4.0,51.0,7.0,0.0,5.95221031922847,3.6284754872322083,18.5,17.98510644491762,0.0
9208,2014,4779,222,Arturo Vidal,a,MC,2004.0,6.0,4.0,51.0,7.0,0.0,5.95221031922847,3.6284754872322083,18.5,17.98510644491762,0.0
