,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
567,2014,5122,3823,Cristian Ledesma,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
929,2014,5138,3823,Cristian Ledesma,h,MC,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
3313,2014,5011,3823,Cristian Ledesma,h,MC,108.0,0.0,0.0,1.0,1.0,0.0,0.013301845639944,0.0949132293462753,0.0,-0.3651812337338925,0.0
3746,2014,5029,3823,Cristian Ledesma,a,MC,198.0,0.0,0.0,1.0,1.0,0.0,0.013301845639944,0.12336412630975241,0.0,-0.3367303367704154,0.0
4268,2014,4979,3823,Cristian Ledesma,h,MC,281.0,0.0,0.0,1.0,1.0,0.0,0.013301845639944,0.13822438195347772,0.0,-0.32187008112669013,0.0
4793,2014,4921,3823,Cristian Ledesma,a,MC,329.0,0.0,0.0,1.0,2.0,0.0,0.013301845639944,0.18172996118664722,0.0,-0.7783645018935206,0.0
5465,2014,4950,3823,Cristian Ledesma,h,Sub,390.0,0.0,0.0,2.0,2.0,0.0,0.022432086989283402,0.20610208250582193,0.0,-0.7266016565263274,0.0
7398,2014,4867,3823,Cristian Ledesma,h,DMC,420.0,0.0,0.0,2.0,2.0,0.0,0.022432086989283402,0.22338630445301502,0.0,-0.7093174345791342,0.0
8246,2014,4800,3823,Cristian Ledesma,a,MC,510.0,0.0,0.0,3.0,3.0,0.0,0.08831161074340321,0.29544107057154145,0.0,-0.9396240971982481,0.0
8809,2014,4824,3823,Cristian Ledesma,a,Sub,600.0,0.0,1.0,3.0,3.0,0.0,0.08831161074340321,0.8219028506428,1.0,-0.4131623171269896,1.0
