,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
542,2014,5121,3890,Daniele Galloppa,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1165,2014,5147,3890,Daniele Galloppa,a,Sub,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0888281166553497,1.0,-0.4111718833446502,1.0
1269,2014,5072,3890,Daniele Galloppa,h,Sub,47.0,0.0,1.0,1.0,1.0,0.0,0.0239740088582038,0.1155961509793996,1.0,-0.3124818224459886,0.0
2714,2014,5055,3890,Daniele Galloppa,h,MC,62.0,0.0,1.0,1.0,1.0,0.0,0.0239740088582038,0.1155961509793996,1.0,-0.3124818224459886,0.0
2931,2014,5064,3890,Daniele Galloppa,a,MC,121.0,0.0,1.0,1.0,2.0,0.0,0.0239740088582038,0.1155961509793996,1.0,-0.8124818224459887,0.0
3151,2014,5004,3890,Daniele Galloppa,h,MC,201.0,0.0,1.0,1.0,2.0,0.0,0.0239740088582038,0.1155961509793996,1.0,-0.8124818224459887,0.0
3385,2014,5014,3890,Daniele Galloppa,h,MC,273.0,0.0,1.0,2.0,2.0,0.0,0.0497811157256363,0.1684569362550973,1.0,-0.6821997165679932,0.0
3559,2014,5021,3890,Daniele Galloppa,a,MC,320.0,0.0,1.0,2.0,2.0,0.0,0.0497811157256363,0.1912967860698699,1.0,-0.6593598667532206,0.0
4554,2014,4991,3890,Daniele Galloppa,h,Sub,378.0,0.0,1.0,2.0,3.0,0.0,0.0497811157256363,0.1912967860698699,1.0,-1.1593598667532206,0.0
4913,2014,4926,3890,Daniele Galloppa,a,MC,405.0,0.0,1.0,2.0,3.0,0.0,0.0497811157256363,0.1912967860698699,1.0,-1.1593598667532206,0.0
5134,2014,4936,3890,Daniele Galloppa,h,MC,495.0,0.0,1.0,5.0,3.0,0.0,0.1079073157161472,0.2034467291086911,1.0,-0.9728313237428665,0.0
5927,2014,4894,3890,Daniele Galloppa,h,Sub,524.0,0.0,1.0,6.0,3.0,1.0,0.1426879931241271,0.2034467291086911,1.0,-1.3684892915189266,0.0
6121,2014,4902,3890,Daniele Galloppa,a,DMC,544.0,0.0,1.0,8.0,3.0,1.0,0.2006745543330904,0.3264348339289425,1.0,-1.071541503071785,0.0
6489,2014,4918,3890,Daniele Galloppa,h,Sub,634.0,0.0,1.0,8.0,4.0,1.0,0.2006745543330904,0.3264348339289425,1.0,-1.571541503071785,0.0
8512,2014,4812,3890,Daniele Galloppa,h,Sub,656.0,0.0,1.0,8.0,4.0,1.0,0.2006745543330904,0.3779307026416061,1.0,-1.5200456343591213,0.0
