,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4459,2014,4987,2340,Duje Cop,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4849,2014,4923,2340,Duje Cop,a,Sub,27.0,1.0,0.0,2.0,0.0,0.0,0.4569042325019836,0.1421510428190231,3.0,1.512863740324974,3.0
5022,2014,4931,2340,Duje Cop,h,FW,45.0,1.0,0.0,4.0,0.0,0.0,0.8576745390892028,0.1421510428190231,3.0,2.7151746600866318,0.0
5243,2014,4940,2340,Duje Cop,a,FW,129.0,1.0,0.0,9.0,0.0,0.0,1.6993888020515442,0.1713472437113523,3.0,5.269513649865985,0.0
5555,2014,4954,2340,Duje Cop,h,FW,195.0,1.0,0.0,9.0,0.0,0.0,1.6993888020515442,0.1836687242612242,3.0,5.281835130415857,0.0
5625,2014,4881,2340,Duje Cop,h,Sub,251.0,1.0,0.0,10.0,1.0,0.0,2.254784345626831,0.1836687242612242,3.0,6.448021761141717,0.0
6065,2014,4900,2340,Duje Cop,h,Sub,278.0,1.0,0.0,10.0,1.0,0.0,2.254784345626831,0.28931258525699366,3.0,6.553665622137487,0.0
7459,2014,4869,2340,Duje Cop,a,FW,294.0,1.0,0.0,10.0,1.0,0.0,2.254784345626831,0.28931258525699366,3.0,6.553665622137487,0.0
7624,2014,4876,2340,Duje Cop,a,FW,365.0,3.0,0.0,14.0,1.0,0.0,3.872070074081421,0.426850645802915,9.0,11.543060868047178,6.0
7921,2014,4787,2340,Duje Cop,h,FWR,437.0,3.0,0.0,15.0,1.0,0.0,3.9852973371744156,0.4893232760950922,9.0,11.945215287618339,0.0
7984,2014,4789,2340,Duje Cop,a,FW,527.0,4.0,0.0,17.0,1.0,0.0,4.416590824723244,0.4893232760950922,12.0,13.239095750264823,3.0
8284,2014,4802,2340,Duje Cop,h,FW,604.0,4.0,0.0,19.0,1.0,0.0,4.51321642100811,0.4893232760950922,12.0,13.528972539119422,0.0
8545,2014,4813,2340,Duje Cop,a,FW,694.0,4.0,0.0,24.0,1.0,0.0,4.798868909478188,0.8606860814616083,12.0,14.757292809896171,0.0
8726,2014,4821,2340,Duje Cop,h,Sub,756.0,4.0,0.0,24.0,1.0,0.0,4.798868909478188,0.9494249103590845,12.0,14.846031638793647,0.0
