,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
112,2014,5153,1842,Eros Pisano,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,2014,5118,1842,Eros Pisano,a,DMR,90.0,0.0,0.0,1.0,0.0,0.0,0.0444749779999256,0.0,0.0,0.1334249339997768,0.0
2086,2014,5093,1842,Eros Pisano,a,DMR,177.0,0.0,0.0,2.0,0.0,0.0,0.114238541573286,0.1113508269190788,0.0,0.4540664516389369,0.0
2961,2014,5046,1842,Eros Pisano,h,DMR,267.0,0.0,0.0,2.0,0.0,0.0,0.114238541573286,0.1113508269190788,0.0,0.4540664516389369,0.0
5851,2014,4927,1842,Eros Pisano,h,DMR,345.0,0.0,0.0,2.0,0.0,0.0,0.114238541573286,0.45104118436574925,0.0,0.7937568090856073,0.0
6250,2014,4941,1842,Eros Pisano,a,DR,418.0,0.0,0.0,2.0,0.0,0.0,0.114238541573286,0.45104118436574925,0.0,0.7937568090856073,0.0
6514,2014,4951,1842,Eros Pisano,h,DR,508.0,0.0,0.0,2.0,1.0,0.0,0.114238541573286,0.45104118436574925,-0.5,0.2937568090856073,-0.5
6696,2014,4881,1842,Eros Pisano,a,DR,598.0,0.0,0.0,2.0,1.0,0.0,0.114238541573286,0.45104118436574925,-0.5,0.2937568090856073,0.0
6949,2014,4890,1842,Eros Pisano,a,DL,688.0,0.0,0.0,2.0,2.0,0.0,0.114238541573286,0.45104118436574925,-1.0,-0.2062431909143927,-0.5
7326,2014,4904,1842,Eros Pisano,h,DL,778.0,0.0,0.0,2.0,2.0,0.0,0.114238541573286,0.47557755932211865,-1.0,-0.1817068159580233,0.0
7591,2014,4913,1842,Eros Pisano,a,DL,868.0,0.0,0.0,2.0,2.0,0.0,0.114238541573286,0.49481782130897023,-1.0,-0.16246655397117168,0.0
7909,2014,4835,1842,Eros Pisano,h,DR,958.0,0.0,0.0,3.0,2.0,0.0,0.14387305825948699,0.49481782130897023,-1.0,-0.07356300391256848,0.0
8107,2014,4842,1842,Eros Pisano,h,DL,1048.0,0.0,0.0,3.0,2.0,0.0,0.14387305825948699,0.8167898934334514,-1.0,0.24840906821191272,0.0
8619,2014,4860,1842,Eros Pisano,a,DR,1138.0,0.0,0.0,3.0,2.0,0.0,0.14387305825948699,0.8167898934334514,-1.0,0.24840906821191272,0.0
8828,2014,4868,1842,Eros Pisano,h,DR,1228.0,0.0,0.0,3.0,3.0,0.0,0.14387305825948699,0.9663234036415812,-1.5,-0.1020574215799574,-0.5
9150,2014,4879,1842,Eros Pisano,a,DMR,1318.0,0.0,0.0,3.0,3.0,0.0,0.14387305825948699,0.9663234036415812,-1.5,-0.1020574215799574,0.0
9304,2014,4783,1842,Eros Pisano,h,DL,1408.0,0.0,0.0,4.0,3.0,0.0,0.18812214955687498,1.0803225394338365,-1.5,0.1446889881044622,0.0
9537,2014,4791,1842,Eros Pisano,a,DR,1498.0,0.0,0.0,6.0,3.0,0.0,0.3154770247638223,1.0803225394338365,-1.5,0.5267536137253042,0.0
9887,2014,4804,1842,Eros Pisano,h,DR,1588.0,0.0,0.0,6.0,3.0,0.0,0.3154770247638223,1.5993676539510484,-1.5,1.045798728242516,0.0
