,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2193,2014,5097,3851,Federico Agliardi,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2359,2014,5103,3851,Federico Agliardi,a,GK,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2734,2014,5038,3851,Federico Agliardi,h,GK,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8368,2014,4851,3851,Federico Agliardi,a,GK,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8785,2014,4866,3851,Federico Agliardi,a,GK,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9021,2014,4875,3851,Federico Agliardi,h,GK,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9370,2014,4785,3851,Federico Agliardi,a,GK,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9606,2014,4794,3851,Federico Agliardi,h,GK,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,2014,4808,3851,Federico Agliardi,a,GK,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10138,2014,4813,3851,Federico Agliardi,h,GK,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
