,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
104,2014,5153,2002,Francesco Bolzoni,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,2014,5118,2002,Francesco Bolzoni,a,MC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722520768642425,0.0,0.3722520768642425,0.0
694,2014,5128,2002,Francesco Bolzoni,h,MC,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4358438327908515,0.0,0.4358438327908515,0.0
1250,2014,5071,2002,Francesco Bolzoni,a,MC,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4358438327908515,0.0,0.4358438327908515,0.0
1503,2014,5082,2002,Francesco Bolzoni,h,MC,290.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5514967441558837,0.0,0.05149674415588368,0.0
1776,2014,5093,2002,Francesco Bolzoni,a,MC,380.0,0.0,0.0,1.0,1.0,0.0,0.1050639301538467,0.5514967441558837,0.0,0.3666885346174239,0.0
2311,2014,5037,2002,Francesco Bolzoni,a,AMC,470.0,0.0,0.0,1.0,1.0,0.0,0.1050639301538467,0.5685227699577807,0.0,0.3837145604193209,0.0
2510,2014,5046,2002,Francesco Bolzoni,h,MC,560.0,0.0,0.0,1.0,1.0,0.0,0.1050639301538467,0.5931137446314095,0.0,0.4083055350929497,0.0
3835,2014,4960,2002,Francesco Bolzoni,h,Sub,624.0,0.0,0.0,2.0,1.0,0.0,0.1247544363141059,0.5931137446314095,0.0,0.4673770535737274,0.0
4513,2014,4989,2002,Francesco Bolzoni,a,MC,647.0,0.0,0.0,3.0,1.0,0.0,0.15737834572792042,0.6407279577106235,0.0,0.6128629948943851,0.0
4855,2014,4924,2002,Francesco Bolzoni,h,MC,737.0,0.0,0.0,4.0,2.0,0.0,0.24036624282598482,0.6407279577106235,0.0,0.36182668618857844,0.0
5181,2014,4938,2002,Francesco Bolzoni,h,MC,827.0,0.0,0.0,4.0,2.0,0.0,0.24036624282598482,0.6407279577106235,0.0,0.36182668618857844,0.0
6921,2014,4846,2002,Francesco Bolzoni,a,Sub,917.0,0.0,0.0,5.0,3.0,0.0,0.3181541934609411,0.6407279577106235,0.0,0.09519053809344752,0.0
7143,2014,4856,2002,Francesco Bolzoni,h,Sub,940.0,0.0,0.0,5.0,3.0,0.0,0.3181541934609411,0.6407279577106235,0.0,0.09519053809344752,0.0
7340,2014,4864,2002,Francesco Bolzoni,a,MC,972.0,0.0,0.0,5.0,3.0,0.0,0.3181541934609411,0.6407279577106235,0.0,0.09519053809344752,0.0
