,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
145,2014,5155,1630,Giovanni Marchese,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,2014,5131,1630,Giovanni Marchese,a,DC,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.086270548403263,1.0,-0.4137294515967369,1.0
1643,2014,5088,1630,Giovanni Marchese,h,DL,180.0,0.0,2.0,0.0,1.0,0.0,0.0,0.1275240518152712,2.0,-0.37247594818472873,1.0
2079,2014,5107,1630,Giovanni Marchese,h,DC,270.0,0.0,2.0,0.0,1.0,0.0,0.0,0.1275240518152712,2.0,-0.37247594818472873,0.0
2255,2014,5035,1630,Giovanni Marchese,a,DC,360.0,0.0,2.0,1.0,1.0,0.0,0.0100654810667037,0.1275240518152712,2.0,-0.34227950498461746,0.0
2418,2014,5042,1630,Giovanni Marchese,a,DC,450.0,1.0,2.0,3.0,1.0,0.0,0.15224640071392048,0.1653241887688635,5.0,0.12206339091062524,3.0
2801,2014,5059,1630,Giovanni Marchese,h,DC,503.0,1.0,2.0,3.0,1.0,0.0,0.15224640071392048,0.1653241887688635,5.0,0.12206339091062524,0.0
3180,2014,5005,1630,Giovanni Marchese,h,Sub,593.0,1.0,2.0,3.0,1.0,0.0,0.15224640071392048,0.1653241887688635,5.0,0.12206339091062524,0.0
3716,2014,5028,1630,Giovanni Marchese,a,DC,612.0,1.0,2.0,3.0,1.0,0.0,0.15224640071392048,0.1653241887688635,5.0,0.12206339091062524,0.0
6767,2014,4840,1630,Giovanni Marchese,h,ML,674.0,1.0,2.0,3.0,2.0,0.0,0.15224640071392048,0.1653241887688635,5.0,-0.37793660908937476,0.0
7376,2014,4866,1630,Giovanni Marchese,h,ML,764.0,1.0,2.0,4.0,2.0,0.0,0.23059001564979537,0.22156218066811542,5.0,-0.08666777238249807,0.0
