,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
217,2014,5158,1889,Giovanni Pasquale,h,DML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,2014,5110,1889,Giovanni Pasquale,a,DML,90.0,0.0,0.0,2.0,1.0,0.0,0.061541698873043,0.0,0.0,-0.3153749033808708,0.0
1608,2014,5086,1889,Giovanni Pasquale,a,DL,180.0,0.0,0.0,2.0,2.0,0.0,0.061541698873043,0.0,0.0,-0.8153749033808708,0.0
2523,2014,5046,1889,Giovanni Pasquale,a,Sub,270.0,0.0,0.0,2.0,2.0,0.0,0.061541698873043,0.0399451442062854,0.0,-0.7754297591745855,0.0
2913,2014,5063,1889,Giovanni Pasquale,a,Sub,348.0,0.0,0.0,2.0,2.0,0.0,0.061541698873043,0.0399451442062854,0.0,-0.7754297591745855,0.0
3232,2014,5007,1889,Giovanni Pasquale,a,DML,370.0,0.0,0.0,2.0,2.0,0.0,0.061541698873043,0.0399451442062854,0.0,-0.7754297591745855,0.0
3409,2014,5015,1889,Giovanni Pasquale,h,DML,460.0,0.0,0.0,3.0,2.0,0.0,0.07095841318368899,0.39454143121838564,0.0,-0.39258332923054706,0.0
3651,2014,5025,1889,Giovanni Pasquale,a,DML,533.0,0.0,0.0,4.0,2.0,0.0,0.0876138638705014,0.39454143121838564,0.0,-0.34261697717010986,0.0
3788,2014,4958,1889,Giovanni Pasquale,h,Sub,609.0,0.0,0.0,4.0,3.0,0.0,0.0876138638705014,0.807694960385561,0.0,-0.42946344800293457,0.0
4655,2014,4995,1889,Giovanni Pasquale,a,DML,629.0,0.0,0.0,4.0,3.0,0.0,0.0876138638705014,0.807694960385561,0.0,-0.42946344800293457,0.0
4765,2014,4920,1889,Giovanni Pasquale,h,Sub,719.0,0.0,0.0,4.0,3.0,0.0,0.0876138638705014,0.807694960385561,0.0,-0.42946344800293457,0.0
5075,2014,4933,1889,Giovanni Pasquale,a,DML,743.0,0.0,0.0,5.0,3.0,0.0,0.1029753237962721,0.807694960385561,0.0,-0.38337906822562234,0.0
5700,2014,4884,1889,Giovanni Pasquale,a,DML,833.0,0.0,0.0,5.0,4.0,0.0,0.1029753237962721,0.8742969445884227,0.0,-0.8167770840227606,0.0
5946,2014,4895,1889,Giovanni Pasquale,h,ML,923.0,0.0,0.0,5.0,4.0,0.0,0.1029753237962721,0.8742969445884227,0.0,-0.8167770840227606,0.0
6145,2014,4903,1889,Giovanni Pasquale,a,DML,970.0,0.0,0.0,6.0,5.0,0.0,0.1582132615149019,0.8742969445884227,0.0,-1.151063270866871,0.0
6755,2014,4839,1889,Giovanni Pasquale,a,ML,1060.0,0.0,0.0,8.0,6.0,0.0,0.1992727629840371,0.8742969445884227,0.0,-1.5278847664594652,0.0
7104,2014,4854,1889,Giovanni Pasquale,a,ML,1150.0,0.0,0.0,8.0,6.0,0.0,0.1992727629840371,0.8742969445884227,0.0,-1.5278847664594652,0.0
7496,2014,4871,1889,Giovanni Pasquale,h,Sub,1240.0,0.0,0.0,8.0,6.0,0.0,0.1992727629840371,0.896486287936568,0.0,-1.5056954231113198,0.0
8732,2014,4821,1889,Giovanni Pasquale,a,DL,1285.0,0.0,0.0,9.0,6.0,0.0,0.2542781457304951,0.896486287936568,0.0,-1.3406792748719456,0.0
