,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
126,2014,5154,3855,Giuseppe De Feudis,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,2014,5112,3855,Giuseppe De Feudis,a,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0295323245227336,0.0,0.0,0.088596973568201,0.0
1057,2014,5143,3855,Giuseppe De Feudis,h,Sub,138.0,0.0,0.0,1.0,0.0,0.0,0.0295323245227336,0.0,0.0,0.088596973568201,0.0
1325,2014,5074,3855,Giuseppe De Feudis,a,MC,182.0,0.0,0.0,2.0,1.0,0.0,0.0434707114472984,0.0,0.0,-0.3695878656581045,0.0
1514,2014,5082,3855,Giuseppe De Feudis,a,MC,267.0,0.0,0.0,3.0,1.0,0.0,0.1033991100266574,0.0,0.0,-0.18980266992002737,0.0
1857,2014,5097,3855,Giuseppe De Feudis,h,DMC,357.0,0.0,0.0,3.0,2.0,0.0,0.1033991100266574,0.0267817769199609,0.0,-0.6630208930000664,0.0
2005,2014,5103,3855,Giuseppe De Feudis,a,MC,447.0,0.0,0.0,3.0,2.0,0.0,0.1033991100266574,0.0267817769199609,0.0,-0.6630208930000664,0.0
2322,2014,5038,3855,Giuseppe De Feudis,h,MC,537.0,0.0,0.0,3.0,2.0,0.0,0.1033991100266574,0.0267817769199609,0.0,-0.6630208930000664,0.0
2448,2014,5043,3855,Giuseppe De Feudis,a,MC,627.0,0.0,0.0,4.0,2.0,0.0,0.17001079488545628,0.0267817769199609,0.0,-0.4631858384236695,0.0
3210,2014,5006,3855,Giuseppe De Feudis,a,DMC,717.0,0.0,0.0,4.0,2.0,0.0,0.17001079488545628,0.0267817769199609,0.0,-0.4631858384236695,0.0
4357,2014,4983,3855,Giuseppe De Feudis,h,DMC,807.0,0.0,0.0,4.0,3.0,0.0,0.17001079488545628,0.0267817769199609,0.0,-0.9631858384236696,0.0
4784,2014,4921,3855,Giuseppe De Feudis,h,MC,897.0,0.0,0.0,5.0,4.0,0.0,0.2289496036246416,0.0267817769199609,0.0,-1.2863694122061136,0.0
5007,2014,4930,3855,Giuseppe De Feudis,a,MC,987.0,0.0,0.0,5.0,4.0,0.0,0.2289496036246416,0.0267817769199609,0.0,-1.2863694122061136,0.0
5366,2014,4946,3855,Giuseppe De Feudis,h,MC,1071.0,0.0,0.0,6.0,5.0,0.0,0.2390763126313683,0.0267817769199609,0.0,-1.7559892851859333,0.0
5422,2014,4948,3855,Giuseppe De Feudis,a,MC,1161.0,0.0,0.0,6.0,5.0,0.0,0.2390763126313683,0.0267817769199609,0.0,-1.7559892851859333,0.0
5690,2014,4884,3855,Giuseppe De Feudis,h,MC,1238.0,0.0,0.0,10.0,5.0,0.0,0.4230810813605782,0.0267817769199609,0.0,-1.2039749789983036,0.0
5850,2014,4891,3855,Giuseppe De Feudis,h,MC,1317.0,0.0,0.0,11.0,5.0,0.0,0.4628780074417587,0.10441322065889819,0.0,-1.0069527570158245,0.0
6195,2014,4905,3855,Giuseppe De Feudis,a,MC,1407.0,0.0,0.0,11.0,5.0,0.0,0.4628780074417587,0.10441322065889819,0.0,-1.0069527570158245,0.0
6416,2014,4915,3855,Giuseppe De Feudis,h,MC,1482.0,0.0,0.0,11.0,5.0,0.0,0.4628780074417587,0.12288334779441339,0.0,-0.9884826298803093,0.0
6659,2014,4835,3855,Giuseppe De Feudis,a,MC,1551.0,0.0,0.0,11.0,5.0,0.0,0.4628780074417587,0.12288334779441339,0.0,-0.9884826298803093,0.0
8090,2014,4794,3855,Giuseppe De Feudis,h,MC,1587.0,0.0,0.0,13.0,5.0,0.0,0.5047847218811508,0.12288334779441339,0.0,-0.8627624865621332,0.0
8427,2014,4808,3855,Giuseppe De Feudis,a,DMC,1656.0,0.0,0.0,13.0,5.0,0.0,0.5047847218811508,0.12288334779441339,0.0,-0.8627624865621332,0.0
8530,2014,4813,3855,Giuseppe De Feudis,h,DMC,1741.0,0.0,0.0,13.0,5.0,0.0,0.5047847218811508,0.12288334779441339,0.0,-0.8627624865621332,0.0
8870,2014,4827,3855,Giuseppe De Feudis,a,DMC,1831.0,0.0,0.0,13.0,6.0,0.0,0.5047847218811508,0.14252887666225408,0.0,-1.3431169576942923,0.0
