,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
37,2014,5150,1418,Gonzalo Rodríguez,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,2014,5114,1418,Gonzalo Rodríguez,h,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
653,2014,5126,1418,Gonzalo Rodríguez,a,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.0376555062830448,0.0,0.0,-0.3870334811508656,0.0
737,2014,5130,1418,Gonzalo Rodríguez,h,DC,270.0,0.0,0.0,1.0,2.0,0.0,0.0376555062830448,0.3830488920211792,0.0,-0.5039845891296864,0.0
1035,2014,5142,1418,Gonzalo Rodríguez,a,DC,360.0,0.0,0.0,3.0,3.0,0.0,0.0912628062069415,0.3830488920211792,0.0,-0.843162689357996,0.0
1379,2014,5077,1418,Gonzalo Rodríguez,h,DC,450.0,0.0,0.0,3.0,3.0,0.0,0.0912628062069415,0.408535361289978,0.0,-0.8176762200891972,0.0
1475,2014,5081,1418,Gonzalo Rodríguez,h,DC,540.0,0.0,0.0,4.0,3.0,0.0,0.10480991192162019,0.408535361289978,0.0,-0.777034902945161,0.0
1889,2014,5098,1418,Gonzalo Rodríguez,a,DC,630.0,0.0,0.0,4.0,3.0,0.0,0.10480991192162019,0.408535361289978,0.0,-0.777034902945161,0.0
2208,2014,5033,1418,Gonzalo Rodríguez,a,DC,720.0,0.0,0.0,4.0,4.0,0.0,0.10480991192162019,0.408535361289978,0.0,-1.2770349029451609,0.0
2526,2014,5047,1418,Gonzalo Rodríguez,h,DC,810.0,0.0,0.0,5.0,5.0,0.0,0.8661087471991775,0.408535361289978,0.0,0.506861602887511,0.0
2768,2014,5057,1418,Gonzalo Rodríguez,a,DC,900.0,0.0,0.0,5.0,5.0,0.0,0.8661087471991775,0.408535361289978,0.0,0.506861602887511,0.0
2951,2014,5065,1418,Gonzalo Rodríguez,a,DC,990.0,1.0,0.0,7.0,5.0,0.0,1.72058835811913,0.5708821415901183,3.0,3.232647215947509,3.0
3055,2014,5000,1418,Gonzalo Rodríguez,h,DC,1080.0,1.0,0.0,7.0,5.0,0.0,1.72058835811913,0.5708821415901183,3.0,3.232647215947509,0.0
3442,2014,5016,1418,Gonzalo Rodríguez,a,DC,1170.0,1.0,0.0,7.0,5.0,0.0,1.72058835811913,0.6252271160483359,3.0,3.2869921904057264,0.0
3659,2014,5026,1418,Gonzalo Rodríguez,h,DC,1260.0,2.0,0.0,9.0,5.0,0.0,1.9147742111235855,0.6252271160483359,6.0,3.869549749419093,3.0
3860,2014,4961,1418,Gonzalo Rodríguez,a,DC,1350.0,2.0,0.0,10.0,5.0,0.0,2.053785996511578,0.6252271160483359,6.0,4.286585105583072,0.0
4342,2014,4982,1418,Gonzalo Rodríguez,a,DC,1430.0,2.0,0.0,10.0,5.0,1.0,2.053785996511578,0.6252271160483359,6.0,3.7865851055830717,0.0
4615,2014,4994,1418,Gonzalo Rodríguez,h,DC,1520.0,3.0,0.0,11.0,5.0,1.0,2.9647606182843442,0.6252271160483359,9.0,6.51950897090137,3.0
4699,2014,4997,1418,Gonzalo Rodríguez,a,DC,1610.0,3.0,0.0,11.0,5.0,1.0,2.9647606182843442,0.6252271160483359,9.0,6.51950897090137,0.0
5166,2014,4937,1418,Gonzalo Rodríguez,a,DC,1698.0,4.0,0.0,13.0,5.0,1.0,3.086860673502087,0.6252271160483359,12.0,6.885809136554599,3.0
5503,2014,4952,1418,Gonzalo Rodríguez,h,DC,1788.0,4.0,0.0,13.0,5.0,1.0,3.086860673502087,0.6252271160483359,12.0,6.885809136554599,0.0
5743,2014,4886,1418,Gonzalo Rodríguez,a,DC,1878.0,4.0,0.0,13.0,5.0,1.0,3.086860673502087,0.6252271160483359,12.0,6.885809136554599,0.0
6224,2014,4907,1418,Gonzalo Rodríguez,h,DC,1968.0,4.0,0.0,13.0,5.0,1.0,3.086860673502087,0.6252271160483359,12.0,6.885809136554599,0.0
6445,2014,4916,1418,Gonzalo Rodríguez,a,DC,2058.0,5.0,0.0,14.0,6.0,1.0,3.5239010322839017,0.6252271160483359,15.0,7.6969302129000425,3.0
6692,2014,4837,1418,Gonzalo Rodríguez,h,DC,2148.0,5.0,0.0,14.0,6.0,1.0,3.5239010322839017,0.6252271160483359,15.0,7.6969302129000425,0.0
7642,2014,4877,1418,Gonzalo Rodríguez,a,DC,2238.0,5.0,0.0,15.0,7.0,1.0,3.547031799331307,0.6455851979553698,15.0,7.286680595949292,0.0
8146,2014,4796,1418,Gonzalo Rodríguez,a,DC,2328.0,6.0,0.0,17.0,8.0,1.0,5.069629469886422,0.6455851979553698,18.0,11.354473607614636,3.0
8392,2014,4807,1418,Gonzalo Rodríguez,h,DC,2418.0,6.0,0.0,17.0,8.0,1.0,5.069629469886422,0.6455851979553698,18.0,11.354473607614636,0.0
8562,2014,4814,1418,Gonzalo Rodríguez,a,DC,2505.0,7.0,0.0,19.0,8.0,1.0,5.198059925809503,0.6455851979553698,21.0,11.739764975383878,3.0
8878,2014,4828,1418,Gonzalo Rodríguez,h,DC,2595.0,7.0,0.0,19.0,9.0,1.0,5.198059925809503,0.6455851979553698,21.0,11.239764975383878,0.0
