,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1005,2014,5135,2030,Henrique,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,2014,5095,2030,Henrique,h,Sub,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3011,2014,5047,2030,Henrique,a,Sub,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3182,2014,5054,2030,Henrique,h,DC,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
3711,2014,5003,2030,Henrique,h,DC,189.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
4212,2014,5021,2030,Henrique,h,DC,279.0,0.0,0.0,1.0,1.0,0.0,0.0276070982217788,0.0820809230208396,-0.5,-0.3350977823138237,0.0
4698,2014,4965,2030,Henrique,a,DC,369.0,0.0,0.0,2.0,1.0,0.0,0.1014101952314376,0.0820809230208396,-0.5,-0.11368849128484729,0.0
7100,2014,4896,2030,Henrique,h,DR,459.0,0.0,0.0,2.0,2.0,0.0,0.1014101952314376,0.0820809230208396,-1.0,-0.6136884912848473,-0.5
7686,2014,4917,2030,Henrique,h,DC,546.0,0.0,1.0,3.0,2.0,1.0,0.1170531678944825,0.44403251260519017,-0.5,-0.7048079837113619,0.5
8884,2014,4870,2030,Henrique,h,DR,636.0,0.0,1.0,4.0,2.0,1.0,0.2080202940851448,0.44403251260519017,-0.5,-0.4319066051393748,0.0
9649,2014,4795,2030,Henrique,a,DR,726.0,0.0,1.0,4.0,2.0,1.0,0.2080202940851448,0.44403251260519017,-0.5,-0.4319066051393748,0.0
