,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
210,2014,5157,1291,Hernanes,a,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,2014,5116,1291,Hernanes,h,MC,90.0,0.0,0.0,4.0,1.0,0.0,0.0815139263868331,0.4351875782012939,0.0,0.1797293573617935,0.0
710,2014,5128,1291,Hernanes,a,Sub,180.0,0.0,1.0,5.0,1.0,0.0,0.0981000252068041,0.567823052406311,1.0,0.36212312802672375,1.0
794,2014,5132,1291,Hernanes,h,Sub,205.0,0.0,1.0,7.0,1.0,0.0,0.12692356109619118,0.5875631682574748,1.0,0.46833385154604895,0.0
1102,2014,5145,1291,Hernanes,h,MC,226.0,1.0,1.0,11.0,1.0,0.0,0.3402197360992429,0.5875631682574748,4.0,1.1082223765552042,3.0
1401,2014,5077,1291,Hernanes,a,Sub,316.0,1.0,1.0,12.0,1.0,0.0,0.3640568833798167,0.7554151080548762,4.0,1.3475857581943271,0.0
1622,2014,5087,1291,Hernanes,h,MC,347.0,1.0,1.0,14.0,1.0,0.0,0.47043585591018156,0.7554151080548762,4.0,1.666722675785422,0.0
1871,2014,5097,1291,Hernanes,a,MC,437.0,2.0,1.0,20.0,2.0,0.0,0.6621777396649118,1.0362936221063137,7.0,2.02282684110105,3.0
1949,2014,5101,1291,Hernanes,h,MC,527.0,2.0,1.0,26.0,2.0,0.0,0.8929985892027612,1.5149112604558468,7.0,3.1939070280641313,0.0
2194,2014,5032,1291,Hernanes,a,Sub,580.0,2.0,1.0,27.0,2.0,0.0,0.9172039013355965,1.8273987136781216,7.0,3.5790104176849122,0.0
2798,2014,5058,1291,Hernanes,a,Sub,616.0,2.0,1.0,28.0,2.0,0.0,0.942327164113521,1.9037168733775616,7.0,3.730698365718126,0.0
3982,2014,4966,1291,Hernanes,a,AMC,634.0,2.0,1.0,28.0,2.0,0.0,0.942327164113521,1.9037168733775616,7.0,3.730698365718126,0.0
4038,2014,4969,1291,Hernanes,h,AMR,719.0,2.0,1.0,31.0,2.0,0.0,1.0197335481643672,1.9175784979015589,7.0,3.9767791423946615,0.0
4237,2014,4977,1291,Hernanes,a,AMR,794.0,2.0,2.0,32.0,2.0,0.0,1.0790309198200698,1.9912025351077318,8.0,4.228295294567943,1.0
5985,2014,4896,1291,Hernanes,a,Sub,884.0,2.0,2.0,34.0,2.0,0.0,1.135548952966928,2.347405644133687,8.0,4.7540525030344725,0.0
6824,2014,4842,1291,Hernanes,a,AMC,909.0,2.0,2.0,35.0,2.0,0.0,1.1720353476703163,2.3990928512066603,8.0,4.91519889421761,0.0
7214,2014,4859,1291,Hernanes,h,AMC,998.0,2.0,2.0,37.0,2.0,0.0,1.2405907623469825,2.720317391678691,8.0,5.44208967871964,0.0
7284,2014,4862,1291,Hernanes,h,AMC,1088.0,2.0,2.0,40.0,3.0,0.0,1.4112080745398994,2.8181361462920904,8.0,5.55176036991179,0.0
7505,2014,4871,1291,Hernanes,a,AMC,1178.0,3.0,2.0,42.0,3.0,0.0,1.8199943713843818,2.8181361462920904,11.0,6.778119260445237,3.0
7803,2014,4782,1291,Hernanes,h,AMC,1268.0,3.0,2.0,47.0,3.0,0.0,2.627466302365064,2.9059736039489508,11.0,9.288372511044145,0.0
8177,2014,4797,1291,Hernanes,a,AMC,1333.0,3.0,2.0,51.0,3.0,0.0,2.751315157860517,2.9722844790667295,11.0,9.726229952648282,0.0
8476,2014,4810,1291,Hernanes,a,AMC,1423.0,5.0,2.0,55.0,4.0,0.0,3.433013062924146,3.359407676383853,17.0,11.658446865156293,6.0
8839,2014,4826,1291,Hernanes,h,AMC,1513.0,5.0,3.0,59.0,5.0,0.0,3.612985800951719,3.9217159282416105,18.0,12.260673331096768,1.0
