,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
52,2014,5150,2148,Joaquín,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,2014,5130,2148,Joaquín,h,FWR,26.0,0.0,0.0,1.0,0.0,0.0,0.0471780784428119,0.0,0.0,0.1415342353284359,0.0
2442,2014,5106,2148,Joaquín,h,Sub,95.0,0.0,0.0,3.0,0.0,0.0,0.1221743412315844,0.1963006407022476,0.0,0.5628236643970013,0.0
3280,2014,5057,2148,Joaquín,a,DMR,99.0,0.0,0.0,3.0,0.0,0.0,0.1221743412315844,0.1963006407022476,0.0,0.5628236643970013,0.0
3503,2014,5065,2148,Joaquín,a,DMR,179.0,0.0,0.0,4.0,0.0,0.0,0.1564938537776468,0.49042852222919464,0.0,0.9599100835621357,0.0
3630,2014,5000,2148,Joaquín,h,MR,269.0,0.0,1.0,6.0,0.0,0.0,0.3940748535096643,1.5677927285432816,1.0,2.750017289072275,1.0
4089,2014,5016,2148,Joaquín,a,DMR,348.0,0.0,1.0,6.0,0.0,0.0,0.3940748535096643,1.5842251982539892,1.0,2.766449758782983,0.0
4353,2014,5026,2148,Joaquín,h,DMR,438.0,0.0,1.0,6.0,0.0,0.0,0.3940748535096643,1.5842251982539892,1.0,2.766449758782983,0.0
4590,2014,4961,2148,Joaquín,a,DMR,506.0,0.0,1.0,7.0,0.0,0.0,0.4537456668913362,1.7450750824064016,1.0,3.106312083080411,0.0
4878,2014,4972,2148,Joaquín,h,DMR,588.0,0.0,1.0,7.0,0.0,0.0,0.4537456668913362,2.401671504601836,1.0,3.7629085052758455,0.0
5171,2014,4982,2148,Joaquín,a,DMR,678.0,1.0,1.0,9.0,1.0,0.0,0.5177221633493897,2.401671504601836,3.5,3.4548379946500063,2.5
5491,2014,4994,2148,Joaquín,h,DMR,768.0,1.0,2.0,10.0,1.0,0.0,0.5480101890861984,2.6903714891523123,4.5,3.8344020564109087,1.0
5588,2014,4997,2148,Joaquín,a,DMR,858.0,1.0,2.0,11.0,1.0,0.0,0.5891145952045913,3.0215029772371054,4.5,4.288846762850881,0.0
5906,2014,4929,2148,Joaquín,h,DMR,948.0,1.0,2.0,11.0,1.0,0.0,0.5891145952045913,3.0215029772371054,4.5,4.288846762850881,0.0
6553,2014,4952,2148,Joaquín,h,Sub,1014.0,1.0,2.0,11.0,1.0,0.0,0.5891145952045913,3.0215029772371054,4.5,4.288846762850881,0.0
6847,2014,4886,2148,Joaquín,a,Sub,1047.0,1.0,2.0,11.0,1.0,0.0,0.5891145952045913,3.0380637757480145,4.5,4.30540756136179,0.0
7152,2014,4897,2148,Joaquín,a,Sub,1064.0,1.0,2.0,11.0,1.0,0.0,0.5891145952045913,3.0380637757480145,4.5,4.30540756136179,0.0
7418,2014,4907,2148,Joaquín,h,Sub,1077.0,1.0,2.0,11.0,1.0,0.0,0.5891145952045913,3.0380637757480145,4.5,4.30540756136179,0.0
7674,2014,4916,2148,Joaquín,a,DMR,1121.0,2.0,3.0,14.0,1.0,0.0,0.9883025474846359,3.5109889321029186,8.5,5.9758965745568275,4.0
8212,2014,4845,2148,Joaquín,a,Sub,1207.0,2.0,3.0,14.0,1.0,0.0,0.9883025474846359,3.564534779638052,8.5,6.029442422091961,0.0
8866,2014,4869,2148,Joaquín,h,Sub,1238.0,2.0,3.0,14.0,1.0,0.0,0.9883025474846359,3.564534779638052,8.5,6.029442422091961,0.0
9095,2014,4877,2148,Joaquín,a,DMR,1269.0,2.0,3.0,14.0,1.0,0.0,0.9883025474846359,4.208975847810507,8.5,6.673883490264416,0.0
10192,2014,4814,2148,Joaquín,a,Sub,1359.0,2.0,3.0,14.0,1.0,0.0,0.9883025474846359,4.231035698205233,8.5,6.6959433406591415,0.0
