,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
267,2014,5158,1394,Lorenzo Tonelli,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,2014,5109,1394,Lorenzo Tonelli,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,2014,5129,1394,Lorenzo Tonelli,h,DC,180.0,0.0,0.0,1.0,0.0,0.0,0.047998484224081,0.0,0.0,0.1439954526722431,0.0
1273,2014,5144,1394,Lorenzo Tonelli,a,DC,270.0,1.0,0.0,2.0,0.0,0.0,0.5316800139844418,0.0,3.0,1.5950400419533253,3.0
1455,2014,5071,1394,Lorenzo Tonelli,h,DC,360.0,1.0,0.0,2.0,0.0,0.0,0.5316800139844418,0.0,3.0,1.5950400419533253,0.0
1945,2014,5088,1394,Lorenzo Tonelli,a,DC,450.0,2.0,0.0,4.0,0.0,0.0,0.6247373931109904,0.0,6.0,1.8742121793329716,3.0
1958,2014,5089,1394,Lorenzo Tonelli,h,DC,540.0,3.0,0.0,5.0,0.0,0.0,1.5227320902049541,0.0,9.0,4.568196270614862,3.0
2250,2014,5099,1394,Lorenzo Tonelli,a,DC,630.0,3.0,0.0,5.0,0.0,0.0,1.5227320902049541,0.0,9.0,4.568196270614862,0.0
2543,2014,5031,1394,Lorenzo Tonelli,h,DC,720.0,3.0,0.0,6.0,1.0,0.0,1.833918672055006,0.0,8.5,5.001756016165018,-0.5
3224,2014,5055,1394,Lorenzo Tonelli,a,DC,810.0,3.0,0.0,6.0,2.0,1.0,1.833918672055006,0.0,7.5,4.001756016165018,-1.0
3404,2014,5062,1394,Lorenzo Tonelli,h,DC,900.0,3.0,0.0,6.0,2.0,1.0,1.833918672055006,0.0,7.5,4.001756016165018,0.0
3726,2014,5003,1394,Lorenzo Tonelli,a,DC,990.0,3.0,0.0,7.0,2.0,1.0,1.9343932531774044,0.0160760730504989,7.5,4.319255832582712,0.0
4130,2014,5018,1394,Lorenzo Tonelli,h,DC,1080.0,3.0,0.0,7.0,2.0,1.0,1.9343932531774044,0.0160760730504989,7.5,4.319255832582712,0.0
4366,2014,5026,1394,Lorenzo Tonelli,a,DC,1170.0,3.0,0.0,7.0,2.0,1.0,1.9343932531774044,0.0160760730504989,7.5,4.319255832582712,0.0
4603,2014,4962,1394,Lorenzo Tonelli,h,DC,1260.0,4.0,0.0,8.0,2.0,1.0,2.04151177033782,0.0160760730504989,10.5,4.640611384063959,3.0
5016,2014,4977,1394,Lorenzo Tonelli,h,DC,1327.0,4.0,0.0,9.0,2.0,2.0,2.1737375371158123,0.1189599037170409,10.0,4.640172515064478,-0.5
5517,2014,4995,1394,Lorenzo Tonelli,h,DC,1417.0,4.0,0.0,9.0,2.0,2.0,2.1737375371158123,0.1189599037170409,10.0,4.640172515064478,0.0
5933,2014,4930,1394,Lorenzo Tonelli,h,DC,1460.0,4.0,0.0,9.0,2.0,2.0,2.1737375371158123,0.1189599037170409,10.0,4.640172515064478,0.0
6195,2014,4939,1394,Lorenzo Tonelli,a,DC,1550.0,4.0,0.0,9.0,2.0,2.0,2.1737375371158123,0.1189599037170409,10.0,4.640172515064478,0.0
6460,2014,4949,1394,Lorenzo Tonelli,h,DC,1640.0,4.0,0.0,9.0,3.0,2.0,2.1737375371158123,0.1189599037170409,9.5,4.140172515064478,-0.5
6725,2014,4882,1394,Lorenzo Tonelli,a,DC,1730.0,4.0,0.0,10.0,3.0,2.0,2.224270533770323,0.1189599037170409,9.5,4.291771505028009,0.0
7018,2014,4893,1394,Lorenzo Tonelli,h,DC,1820.0,4.0,0.0,10.0,3.0,2.0,2.224270533770323,0.1189599037170409,9.5,4.291771505028009,0.0
8175,2014,4844,1394,Lorenzo Tonelli,a,DC,1827.0,4.0,0.0,10.0,3.0,2.0,2.224270533770323,0.1189599037170409,9.5,4.291771505028009,0.0
8469,2014,4855,1394,Lorenzo Tonelli,h,DC,1917.0,4.0,0.0,11.0,3.0,2.0,2.2416271828114986,0.1189599037170409,9.5,4.343841452151537,0.0
8704,2014,4863,1394,Lorenzo Tonelli,a,DC,2007.0,5.0,0.0,13.0,3.0,2.0,2.4072500728070736,0.1189599037170409,12.5,4.840710122138262,3.0
9162,2014,4880,1394,Lorenzo Tonelli,h,DC,2097.0,5.0,0.0,13.0,3.0,2.0,2.4072500728070736,0.1189599037170409,12.5,4.840710122138262,0.0
9664,2014,4796,1394,Lorenzo Tonelli,h,DC,2187.0,5.0,0.0,14.0,4.0,2.0,2.5469793789088726,0.1189599037170409,12.0,4.759898040443659,-0.5
10529,2014,4826,1394,Lorenzo Tonelli,a,Sub,2277.0,5.0,0.0,14.0,4.0,2.0,2.5469793789088726,0.1189599037170409,12.0,4.759898040443659,0.0
