,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
221,2014,5158,1229,Luis Muriel,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,2014,5110,1229,Luis Muriel,a,FW,70.0,0.0,1.0,1.0,0.0,0.0,0.013829618692398,0.9095107316970824,1.0,0.9509995877742768,1.0
945,2014,5138,1229,Luis Muriel,a,AMC,116.0,0.0,1.0,2.0,0.0,0.0,0.0346684306859969,0.9095107316970824,1.0,1.0135160237550735,0.0
1152,2014,5147,1229,Luis Muriel,h,Sub,144.0,0.0,1.0,5.0,0.0,0.0,0.426395758986473,0.9095107316970824,1.0,2.1886980086565018,0.0
1745,2014,5092,1229,Luis Muriel,h,Sub,159.0,0.0,1.0,6.0,0.0,0.0,0.5589942783117292,0.9370273947715758,1.0,2.614010229706764,0.0
2075,2014,5106,1229,Luis Muriel,a,FW,174.0,0.0,1.0,6.0,0.0,0.0,0.5589942783117292,1.0803176164627075,1.0,2.757300451397896,0.0
2521,2014,5046,1229,Luis Muriel,a,FW,253.0,0.0,1.0,7.0,0.0,0.0,0.6151649467647073,1.0803176164627075,1.0,2.92581245675683,0.0
5359,2014,4945,1229,Luis Muriel,a,Sub,329.0,0.0,1.0,9.0,0.0,0.0,0.7881760559976099,1.3332610428333282,1.0,3.6977892108261585,0.0
5580,2014,4955,1229,Luis Muriel,h,Sub,372.0,1.0,1.0,11.0,0.0,0.0,1.082296874374151,1.3434812556952238,4.0,4.5903718788176775,3.0
5682,2014,4883,1229,Luis Muriel,a,FWR,390.0,1.0,1.0,11.0,0.0,0.0,1.082296874374151,1.3434812556952238,4.0,4.5903718788176775,0.0
5806,2014,4889,1229,Luis Muriel,h,FWR,469.0,2.0,1.0,18.0,0.0,0.0,1.5348061583936212,1.7878581415861845,7.0,6.39227661676705,3.0
6396,2014,4914,1229,Luis Muriel,h,FW,530.0,2.0,2.0,19.0,0.0,0.0,1.5825029537081716,1.8678180556744337,8.0,6.61532691679895,1.0
6709,2014,4837,1229,Luis Muriel,a,FW,597.0,2.0,2.0,22.0,0.0,0.0,2.035563252866268,1.8678180556744337,8.0,7.974507814273239,0.0
6989,2014,4849,1229,Luis Muriel,a,Sub,687.0,2.0,2.0,25.0,0.0,0.0,2.2507665678858757,1.925082365050912,8.0,8.677382068708539,0.0
7021,2014,4851,1229,Luis Muriel,h,AMR,702.0,2.0,2.0,26.0,0.0,0.0,2.2766645159572363,1.925082365050912,8.0,8.75507591292262,0.0
7485,2014,4870,1229,Luis Muriel,a,Sub,770.0,2.0,2.0,28.0,0.0,0.0,2.775867035612464,2.0592102352529764,8.0,10.386811342090368,0.0
7682,2014,4879,1229,Luis Muriel,h,FW,816.0,3.0,2.0,30.0,1.0,0.0,2.805365653708577,2.232191050425172,11.0,10.148288011550903,3.0
7730,2014,4779,1229,Luis Muriel,h,FW,889.0,3.0,3.0,33.0,1.0,0.0,2.9544471967965364,2.8802884463220835,12.0,11.243630036711693,1.0
8057,2014,4792,1229,Luis Muriel,a,FW,979.0,3.0,3.0,35.0,1.0,0.0,3.0358602572232485,3.163346314802766,12.0,11.770927086472511,0.0
8237,2014,4800,1229,Luis Muriel,h,FW,1069.0,3.0,4.0,39.0,1.0,0.0,3.717612164095044,3.7080690506845713,13.0,14.360905542969704,1.0
8499,2014,4811,1229,Luis Muriel,a,FW,1159.0,3.0,4.0,39.0,1.0,0.0,3.717612164095044,3.8278130311518908,13.0,14.480649523437023,0.0
8749,2014,4822,1229,Luis Muriel,h,FW,1249.0,3.0,5.0,44.0,2.0,0.0,4.000631170347333,3.892631122842431,14.0,14.89452463388443,1.0
