,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
45,2014,5150,1621,Marcos Alonso,a,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,2014,5114,1621,Marcos Alonso,h,DL,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0259105116128921,-0.5,-0.4740894883871078,-0.5
769,2014,5126,1621,Marcos Alonso,a,DC,180.0,0.0,0.0,3.0,1.0,0.0,0.1455574929714203,0.0259105116128921,-0.5,-0.037417009472846985,0.0
869,2014,5130,1621,Marcos Alonso,h,DL,270.0,0.0,0.0,5.0,1.0,0.0,0.5400848984718323,0.0259105116128921,-0.5,1.146165207028389,0.0
1624,2014,5077,1621,Marcos Alonso,h,DL,360.0,0.0,0.0,6.0,1.0,0.0,0.5578385535627602,0.048001118004321996,-0.5,1.2215167786926031,0.0
1736,2014,5081,1621,Marcos Alonso,h,DL,450.0,0.0,0.0,6.0,1.0,0.0,0.5578385535627602,0.139579840004444,-0.5,1.3130955006927252,0.0
2223,2014,5098,1621,Marcos Alonso,a,DL,540.0,0.0,0.0,8.0,1.0,0.0,0.666945034638047,0.18246122449636443,-0.5,1.6832963284105062,0.0
2431,2014,5106,1621,Marcos Alonso,h,DC,630.0,0.0,0.0,8.0,1.0,0.0,0.666945034638047,0.18246122449636443,-0.5,1.6832963284105062,0.0
2614,2014,5033,1621,Marcos Alonso,a,DL,720.0,0.0,0.0,10.0,2.0,0.0,0.695697797462344,0.3649094626307485,-1.0,1.4520028550177813,-0.5
2988,2014,5047,1621,Marcos Alonso,h,DL,810.0,0.0,0.0,14.0,2.0,0.0,0.8307366799563166,0.38614880479872205,-1.0,1.878358844667673,0.0
3281,2014,5057,1621,Marcos Alonso,a,DML,894.0,0.0,0.0,14.0,2.0,0.0,0.8307366799563166,0.39355237875133725,-1.0,1.8857624186202884,0.0
3504,2014,5065,1621,Marcos Alonso,a,DML,960.0,0.0,2.0,18.0,2.0,0.0,1.2721956800669427,1.7724873581901188,1.0,4.589074398390949,2.0
3633,2014,5000,1621,Marcos Alonso,h,ML,1050.0,0.0,2.0,20.0,3.0,0.0,1.5785240959376092,1.7724873581901188,0.5,5.008059646002948,-0.5
4090,2014,5016,1621,Marcos Alonso,a,DML,1140.0,0.0,2.0,21.0,3.0,0.0,1.595228143036365,1.7724873581901188,0.5,5.058171787299216,0.0
4361,2014,5026,1621,Marcos Alonso,h,Sub,1228.0,0.0,2.0,22.0,3.0,0.0,1.6050668740645047,1.852023907937109,0.5,5.167224530130625,0.0
4591,2014,4961,1621,Marcos Alonso,a,DML,1235.0,0.0,2.0,22.0,3.0,0.0,1.6050668740645047,1.852023907937109,0.5,5.167224530130625,0.0
4877,2014,4972,1621,Marcos Alonso,h,DC,1302.0,0.0,2.0,24.0,3.0,0.0,1.6834320956841107,2.386062451638281,0.5,5.936358738690615,0.0
5499,2014,4994,1621,Marcos Alonso,h,Sub,1378.0,0.0,3.0,25.0,3.0,0.0,1.736427252180874,2.4142032256349917,1.5,6.123484982177615,1.0
6141,2014,4937,1621,Marcos Alonso,a,DL,1396.0,0.0,3.0,25.0,3.0,0.0,1.736427252180874,2.4142032256349917,1.5,6.123484982177615,0.0
7968,2014,4837,1621,Marcos Alonso,h,DL,1486.0,0.0,3.0,26.0,4.0,0.0,1.7686733277514572,2.4657625174149866,1.0,5.77178250066936,-0.5
9096,2014,4877,1621,Marcos Alonso,a,DML,1576.0,0.0,3.0,27.0,4.0,0.0,1.7947199298068877,2.878676525317132,1.0,6.262836314737797,0.0
10193,2014,4814,1621,Marcos Alonso,a,Sub,1666.0,0.0,3.0,27.0,4.0,0.0,1.7947199298068877,2.878676525317132,1.0,6.262836314737797,0.0
