,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
228,2014,5157,557,Matteo Darmian,h,DML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,2014,5111,557,Matteo Darmian,a,Sub,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585090480744838,0.0,0.0585090480744838,0.0
785,2014,5127,557,Matteo Darmian,h,DMR,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585090480744838,0.0,0.0585090480744838,0.0
995,2014,5134,557,Matteo Darmian,a,DML,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443802140653132,0.0,0.5443802140653132,0.0
1207,2014,5142,557,Matteo Darmian,h,ML,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6889786832034586,0.0,0.6889786832034586,0.0
1669,2014,5078,557,Matteo Darmian,a,ML,390.0,0.0,0.0,2.0,0.0,0.0,0.3230279684066772,0.766796577721834,0.0,1.7358804829418657,0.0
2171,2014,5096,557,Matteo Darmian,a,DML,480.0,0.0,0.0,2.0,0.0,0.0,0.3230279684066772,0.8302748762071129,0.0,1.7993587814271448,0.0
2266,2014,5100,557,Matteo Darmian,h,DML,570.0,0.0,0.0,4.0,0.0,0.0,0.3955426439642905,0.8408043021336195,0.0,2.027432234026491,0.0
2629,2014,5034,557,Matteo Darmian,h,DML,660.0,1.0,0.0,5.0,0.0,0.0,0.4229833055287598,0.877706476487219,3.0,2.1466563930734988,3.0
3059,2014,5049,557,Matteo Darmian,a,DML,750.0,1.0,0.0,7.0,0.0,0.0,0.4625983517616985,0.877706476487219,3.0,2.265501531772315,0.0
3131,2014,5052,557,Matteo Darmian,h,ML,840.0,1.0,0.0,7.0,0.0,0.0,0.4625983517616985,1.0190811092033978,3.0,2.406876164488494,0.0
3560,2014,5067,557,Matteo Darmian,a,DML,930.0,1.0,0.0,8.0,0.0,0.0,0.528452409431338,1.0912067750468846,3.0,2.6765640033408995,0.0
3686,2014,5002,557,Matteo Darmian,h,DML,1020.0,1.0,0.0,8.0,0.0,0.0,0.528452409431338,1.1156971743330355,3.0,2.7010544026270504,0.0
4145,2014,5018,557,Matteo Darmian,a,DMR,1110.0,1.0,0.0,10.0,0.0,0.0,0.5723853986710306,1.2319120606407519,3.0,2.949068256653845,0.0
4409,2014,5028,557,Matteo Darmian,h,DMR,1200.0,1.0,0.0,12.0,0.0,0.0,0.6248342860490078,1.3322831830009814,3.0,3.2067860411480065,0.0
4673,2014,4964,557,Matteo Darmian,a,DMR,1290.0,1.0,0.0,12.0,0.0,0.0,0.6248342860490078,1.3322831830009814,3.0,3.2067860411480065,0.0
4768,2014,4968,557,Matteo Darmian,h,DML,1380.0,1.0,0.0,13.0,0.0,0.0,0.6530954204499715,1.3322831830009814,3.0,3.291569444350898,0.0
5200,2014,4983,557,Matteo Darmian,a,DML,1466.0,1.0,0.0,16.0,0.0,0.0,1.0384219549596303,1.3528047529980536,3.0,4.468070617876947,0.0
5477,2014,4993,557,Matteo Darmian,a,DMR,1515.0,1.0,0.0,16.0,0.0,0.0,1.0384219549596303,1.3528047529980536,3.0,4.468070617876947,0.0
5796,2014,4925,557,Matteo Darmian,h,DML,1605.0,1.0,0.0,17.0,1.0,0.0,1.0588786676526063,1.4354775575920935,2.5,4.112113560549915,-0.5
6212,2014,4940,557,Matteo Darmian,h,DML,1695.0,1.0,0.0,18.0,1.0,0.0,1.0713596269488328,1.579537394456565,2.5,4.293616275303066,0.0
6853,2014,4887,557,Matteo Darmian,h,DML,1785.0,1.0,0.0,19.0,1.0,0.0,1.439384333789348,1.6434589577838774,2.5,5.461611959151924,0.0
7389,2014,4906,557,Matteo Darmian,h,Sub,1875.0,1.0,0.0,19.0,1.0,0.0,1.439384333789348,1.6975263981148596,2.5,5.515679399482906,0.0
7737,2014,4918,557,Matteo Darmian,a,Sub,1902.0,1.0,0.0,20.0,1.0,0.0,1.4593084026128047,1.6975263981148596,2.5,5.575451605953276,0.0
7878,2014,4833,557,Matteo Darmian,a,Sub,1924.0,1.0,0.0,20.0,1.0,0.0,1.4593084026128047,1.6975263981148596,2.5,5.575451605953276,0.0
8248,2014,4847,557,Matteo Darmian,h,DML,1952.0,1.0,0.0,20.0,2.0,0.0,1.4593084026128047,1.6975263981148596,2.0,5.075451605953276,-0.5
8428,2014,4853,557,Matteo Darmian,a,DMR,2042.0,1.0,0.0,21.0,2.0,0.0,1.494056643918156,1.7222686996683474,2.0,5.204438631422818,0.0
8748,2014,4865,557,Matteo Darmian,h,DML,2132.0,1.0,0.0,22.0,2.0,0.0,1.5099717658013099,1.7222686996683474,2.0,5.2521839970722795,0.0
9018,2014,4874,557,Matteo Darmian,a,Sub,2214.0,2.0,1.0,24.0,2.0,0.0,2.05188295058906,2.3804693808779116,6.0,7.536118232645094,4.0
9442,2014,4788,557,Matteo Darmian,h,DMR,2224.0,2.0,1.0,24.0,2.0,0.0,2.05188295058906,2.3804693808779116,6.0,7.536118232645094,0.0
9918,2014,4805,557,Matteo Darmian,h,DMR,2314.0,2.0,1.0,26.0,2.0,0.0,2.089244844391941,2.4602475976571436,6.0,7.72798213083297,0.0
10266,2014,4817,557,Matteo Darmian,a,DC,2404.0,2.0,1.0,28.0,2.0,0.0,2.1375628095120183,2.6348105734214182,6.0,8.047499001957476,0.0
10534,2014,4827,557,Matteo Darmian,h,DMR,2494.0,2.0,1.0,28.0,2.0,0.0,2.1375628095120183,2.6793761244043703,6.0,8.092064552940428,0.0
