,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
138,2014,5153,1222,Matías Silvestre,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,2014,5111,1222,Matías Silvestre,h,DC,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408881232142448,0.0,0.0408881232142448,0.0
714,2014,5124,1222,Matías Silvestre,a,DC,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408881232142448,0.0,0.0408881232142448,0.0
1328,2014,5146,1222,Matías Silvestre,a,DC,227.0,0.0,0.0,1.0,0.0,0.0,0.13872030377388,0.0543794557452201,0.0,0.4705403670668601,0.0
1510,2014,5073,1222,Matías Silvestre,h,DC,317.0,0.0,0.0,2.0,1.0,0.0,0.1588377468287944,0.0543794557452201,-0.5,0.03089269623160351,-0.5
1860,2014,5085,1222,Matías Silvestre,a,DC,407.0,0.0,0.0,2.0,1.0,0.0,0.1588377468287944,0.0543794557452201,-0.5,0.03089269623160351,0.0
2820,2014,5041,1222,Matías Silvestre,h,DC,497.0,0.0,0.0,2.0,2.0,0.0,0.1588377468287944,0.0543794557452201,-1.0,-0.4691073037683965,-0.5
3251,2014,5056,1222,Matías Silvestre,a,DC,581.0,0.0,0.0,2.0,2.0,0.0,0.1588377468287944,0.0543794557452201,-1.0,-0.4691073037683965,0.0
3599,2014,4999,1222,Matías Silvestre,h,DC,671.0,0.0,0.0,2.0,2.0,0.0,0.1588377468287944,0.0543794557452201,-1.0,-0.4691073037683965,0.0
3892,2014,5009,1222,Matías Silvestre,a,DC,761.0,0.0,1.0,3.0,2.0,0.0,0.2084201090037821,0.0879109799861907,0.0,-0.2868286930024625,1.0
4960,2014,4975,1222,Matías Silvestre,h,DC,800.0,0.0,1.0,4.0,3.0,0.0,0.5319336168467996,0.0879109799861907,-0.5,0.18371183052659018,-0.5
5225,2014,4984,1222,Matías Silvestre,a,DC,890.0,0.0,1.0,4.0,3.0,0.0,0.5319336168467996,0.0879109799861907,-0.5,0.18371183052659018,0.0
5350,2014,4989,1222,Matías Silvestre,h,DC,980.0,0.0,1.0,4.0,3.0,0.0,0.5319336168467996,0.0879109799861907,-0.5,0.18371183052659018,0.0
5807,2014,4925,1222,Matías Silvestre,a,DC,1070.0,0.0,1.0,6.0,3.0,0.0,0.9392478875815866,0.0879109799861907,-0.5,1.405654642730951,0.0
6363,2014,4945,1222,Matías Silvestre,a,DC,1160.0,0.0,1.0,6.0,4.0,0.0,0.9392478875815866,0.0879109799861907,-1.0,0.9056546427309511,-0.5
6627,2014,4955,1222,Matías Silvestre,h,DC,1250.0,0.0,1.0,6.0,4.0,0.0,0.9392478875815866,0.0879109799861907,-1.0,0.9056546427309511,0.0
6753,2014,4883,1222,Matías Silvestre,a,DC,1340.0,0.0,1.0,7.0,4.0,0.0,0.9512653639540073,0.0879109799861907,-1.0,0.9417070718482133,0.0
6905,2014,4889,1222,Matías Silvestre,h,DC,1430.0,0.0,1.0,7.0,4.0,0.0,0.9512653639540073,0.0879109799861907,-1.0,0.9417070718482133,0.0
7450,2014,4908,1222,Matías Silvestre,a,DC,1520.0,0.0,2.0,8.0,4.0,0.0,1.0061789965257044,0.15399125218391402,0.0,1.1725282417610283,1.0
7604,2014,4914,1222,Matías Silvestre,h,DC,1610.0,0.0,2.0,8.0,5.0,0.0,1.0061789965257044,0.15399125218391402,-0.5,0.6725282417610283,-0.5
7980,2014,4837,1222,Matías Silvestre,a,DC,1700.0,0.0,2.0,8.0,5.0,0.0,1.0061789965257044,0.15399125218391402,-0.5,0.6725282417610283,0.0
8315,2014,4849,1222,Matías Silvestre,a,DC,1790.0,0.0,2.0,8.0,5.0,0.0,1.0061789965257044,0.15399125218391402,-0.5,0.6725282417610283,0.0
8357,2014,4851,1222,Matías Silvestre,h,DC,1880.0,0.0,2.0,8.0,5.0,0.0,1.0061789965257044,0.15399125218391402,-0.5,0.6725282417610283,0.0
8899,2014,4870,1222,Matías Silvestre,a,DC,1970.0,0.0,2.0,8.0,6.0,0.0,1.0061789965257044,0.15399125218391402,-1.0,0.17252824176102832,-0.5
9191,2014,4779,1222,Matías Silvestre,h,DC,2060.0,0.0,2.0,8.0,6.0,0.0,1.0061789965257044,0.15399125218391402,-1.0,0.17252824176102832,0.0
9566,2014,4792,1222,Matías Silvestre,a,DC,2150.0,0.0,2.0,8.0,6.0,0.0,1.0061789965257044,0.15399125218391402,-1.0,0.17252824176102832,0.0
9777,2014,4800,1222,Matías Silvestre,h,DC,2240.0,0.0,2.0,8.0,6.0,0.0,1.0061789965257044,0.23497010022401793,-1.0,0.25350708980113223,0.0
10098,2014,4811,1222,Matías Silvestre,a,DC,2330.0,0.0,2.0,9.0,7.0,0.0,1.0567836118862028,0.23497010022401793,-1.5,-0.09467906411737248,-0.5
10393,2014,4822,1222,Matías Silvestre,h,DC,2420.0,0.0,2.0,9.0,7.0,0.0,1.0567836118862028,0.23497010022401793,-1.5,-0.09467906411737248,0.0
