,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
211,2014,5157,1513,Mauro Icardi,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,2014,5116,1513,Mauro Icardi,h,FW,90.0,0.0,0.0,3.0,0.0,0.0,0.1983550041913986,0.0,0.0,0.5950650125741959,0.0
708,2014,5128,1513,Mauro Icardi,a,FW,180.0,3.0,0.0,10.0,0.0,0.0,2.433350130915642,0.1216353923082351,9.0,7.4216857850551605,9.0
793,2014,5132,1513,Mauro Icardi,h,FW,270.0,3.0,0.0,11.0,0.0,0.0,2.454848412424326,0.1216353923082351,9.0,7.486180629581213,0.0
1106,2014,5145,1513,Mauro Icardi,h,Sub,294.0,3.0,0.0,11.0,0.0,0.0,2.454848412424326,0.1216353923082351,9.0,7.486180629581213,0.0
1398,2014,5077,1513,Mauro Icardi,a,FW,312.0,3.0,0.0,11.0,0.0,0.0,2.454848412424326,0.2055584490299224,9.0,7.5701036863029,0.0
1626,2014,5087,1513,Mauro Icardi,h,FW,402.0,3.0,0.0,13.0,0.0,0.0,2.5671056173741817,0.3366253226995467,9.0,8.037942174822092,0.0
1874,2014,5097,1513,Mauro Icardi,a,FW,492.0,3.0,1.0,20.0,0.0,0.0,3.008943881839514,1.1325219124555588,10.0,10.1593535579741,1.0
1952,2014,5101,1513,Mauro Icardi,h,FW,582.0,4.0,1.0,25.0,0.0,0.0,4.540817465633154,1.1617420949041843,13.0,14.784194491803646,3.0
2192,2014,5032,1513,Mauro Icardi,a,FW,672.0,5.0,1.0,30.0,0.0,0.0,5.623896922916174,1.1617420949041843,16.0,18.033432863652706,3.0
2557,2014,5048,1513,Mauro Icardi,h,FW,762.0,5.0,1.0,31.0,0.0,0.0,5.648338042199612,1.3065885193645954,16.0,18.25160264596343,0.0
2796,2014,5058,1513,Mauro Icardi,a,FW,852.0,7.0,1.0,37.0,0.0,0.0,7.2481289729475975,1.3725361041724682,22.0,23.11692302301526,6.0
3225,2014,5007,1513,Mauro Icardi,h,FW,941.0,7.0,1.0,41.0,0.0,0.0,7.832491360604763,1.3725361041724682,22.0,24.870010185986757,0.0
3517,2014,5019,1513,Mauro Icardi,a,FW,1008.0,8.0,1.0,42.0,0.0,0.0,8.186420641839504,1.3725361041724682,25.0,25.93179802969098,3.0
3737,2014,5029,1513,Mauro Icardi,h,FW,1085.0,8.0,1.0,45.0,0.0,0.0,8.425479523837566,1.4250091724097729,25.0,26.701447743922472,0.0
3983,2014,4966,1513,Mauro Icardi,a,FW,1175.0,8.0,1.0,47.0,0.0,0.0,8.541061758995056,1.4520241804420948,25.0,27.075209457427263,0.0
4041,2014,4969,1513,Mauro Icardi,h,FW,1265.0,9.0,1.0,52.0,1.0,0.0,9.434849083423615,1.490542184561491,28.0,29.295089434832335,3.0
4240,2014,4977,1513,Mauro Icardi,a,FW,1355.0,10.0,1.0,57.0,1.0,0.0,10.249974608421326,1.5736926533281803,31.0,31.823616478592157,3.0
4599,2014,4993,1513,Mauro Icardi,h,FW,1416.0,10.0,1.0,57.0,1.0,0.0,10.249974608421326,1.5736926533281803,31.0,31.823616478592157,0.0
4753,2014,4919,1513,Mauro Icardi,a,Sub,1506.0,10.0,1.0,59.0,2.0,0.0,10.300729412585497,1.5736926533281803,31.0,31.47588089108467,0.0
5091,2014,4934,1513,Mauro Icardi,h,FW,1540.0,11.0,1.0,62.0,3.0,0.0,10.641035843640566,1.5736926533281803,34.0,31.996800184249878,3.0
5568,2014,4954,1513,Mauro Icardi,a,FW,1630.0,13.0,1.0,68.0,3.0,0.0,10.988709975033998,1.5819890415295959,40.0,33.04811896663159,6.0
5737,2014,4886,1513,Mauro Icardi,h,FW,1720.0,14.0,1.0,71.0,3.0,0.0,11.779896426945925,1.606918673031032,43.0,35.446607953868806,3.0
5983,2014,4896,1513,Mauro Icardi,a,FW,1810.0,14.0,1.0,73.0,3.0,0.0,11.89854096993804,1.606918673031032,43.0,35.80254158284515,0.0
6184,2014,4905,1513,Mauro Icardi,h,FW,1900.0,15.0,1.0,76.0,3.0,0.0,12.739510651677847,1.606918673031032,46.0,38.32545062806457,3.0
6409,2014,4914,1513,Mauro Icardi,a,FW,1990.0,15.0,2.0,79.0,3.0,0.0,13.022096361964941,2.0265633268281817,47.0,39.592852412723005,1.0
6825,2014,4842,1513,Mauro Icardi,a,FW,2080.0,15.0,2.0,83.0,4.0,0.0,13.251259308308363,2.0579782901331782,47.0,39.81175621505827,0.0
7215,2014,4859,1513,Mauro Icardi,h,FW,2170.0,16.0,3.0,84.0,4.0,0.0,13.851405303925276,2.6848461804911494,51.0,42.23906209226698,4.0
7285,2014,4862,1513,Mauro Icardi,h,FW,2260.0,16.0,3.0,86.0,4.0,0.0,13.943244013935328,3.0508789299055934,51.0,42.880610971711576,0.0
7506,2014,4871,1513,Mauro Icardi,a,FW,2350.0,17.0,3.0,90.0,4.0,0.0,14.343279872089624,3.355363148264587,54.0,44.38520276453346,3.0
7805,2014,4782,1513,Mauro Icardi,h,FW,2440.0,18.0,3.0,94.0,4.0,0.0,15.234142515808344,3.4517164258286357,57.0,47.15414397325367,3.0
8179,2014,4797,1513,Mauro Icardi,a,FW,2530.0,18.0,3.0,97.0,4.0,0.0,15.415572736412287,3.4517164258286357,57.0,47.698434635065496,0.0
8214,2014,4799,1513,Mauro Icardi,h,FW,2620.0,18.0,3.0,100.0,4.0,0.0,16.546321604400873,3.5836931942030787,57.0,51.2226580074057,0.0
8477,2014,4810,1513,Mauro Icardi,a,FW,2710.0,19.0,3.0,107.0,4.0,0.0,17.599379871040583,3.5836931942030787,60.0,54.38183280732483,3.0
8840,2014,4826,1513,Mauro Icardi,h,FW,2800.0,20.0,4.0,111.0,4.0,0.0,18.561559531837702,3.9226663587614894,64.0,57.607344954274595,4.0
