,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
630,2014,5125,567,Miguel Britos,a,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,2014,5141,567,Miguel Britos,a,DL,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111342653632164,0.0,0.111342653632164,0.0
1631,2014,5087,567,Miguel Britos,a,DL,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273267138749361,0.0,0.1273267138749361,0.0
3046,2014,4999,567,Miguel Britos,a,DL,256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14367131330072871,0.0,-0.3563286866992712,0.0
3543,2014,5021,567,Miguel Britos,h,DC,315.0,0.0,0.0,1.0,2.0,0.0,0.0377110391855239,0.14367131330072871,0.0,-0.7431955691426992,0.0
3954,2014,4965,567,Miguel Britos,a,DL,405.0,0.0,0.0,2.0,3.0,0.0,0.5156454890966414,0.14367131330072871,0.0,0.19060778059065353,0.0
4198,2014,4976,567,Miguel Britos,h,DL,495.0,0.0,0.0,4.0,3.0,0.0,0.5687871724367141,0.14367131330072871,0.0,0.3500328306108714,0.0
4815,2014,4922,567,Miguel Britos,a,DC,585.0,1.0,0.0,6.0,4.0,0.0,0.9703384190797805,0.14367131330072871,3.0,1.0546865705400705,3.0
5061,2014,4933,567,Miguel Britos,h,DC,675.0,1.0,0.0,6.0,4.0,0.0,0.9703384190797805,0.14367131330072871,3.0,1.0546865705400705,0.0
5189,2014,4938,567,Miguel Britos,a,DC,765.0,1.0,0.0,6.0,4.0,0.0,0.9703384190797805,0.14367131330072871,3.0,1.0546865705400705,0.0
6166,2014,4904,567,Miguel Britos,a,DC,855.0,1.0,0.0,6.0,4.0,0.0,0.9703384190797805,0.14367131330072871,3.0,1.0546865705400705,0.0
6458,2014,4917,567,Miguel Britos,h,DL,945.0,1.0,0.0,6.0,5.0,0.0,0.9703384190797805,0.14367131330072871,3.0,0.5546865705400705,0.0
6517,2014,4829,567,Miguel Britos,a,DC,1035.0,1.0,0.0,7.0,6.0,0.0,1.0185305550694463,0.24914694763720022,3.0,0.30473861284554005,0.0
7465,2014,4870,567,Miguel Britos,h,DC,1125.0,1.0,0.0,8.0,6.0,0.0,1.0330259781330822,0.24914694763720022,3.0,0.34822488203644747,0.0
7711,2014,4880,567,Miguel Britos,a,DC,1215.0,1.0,0.0,9.0,7.0,0.0,1.0546199046075342,0.24914694763720022,3.0,-0.08699333854019642,0.0
7893,2014,4786,567,Miguel Britos,h,DC,1305.0,1.0,0.0,9.0,7.0,0.0,1.0546199046075342,0.24914694763720022,3.0,-0.08699333854019642,0.0
8449,2014,4809,567,Miguel Britos,a,DC,1395.0,1.0,0.0,9.0,7.0,0.0,1.0546199046075342,0.24914694763720022,3.0,-0.08699333854019642,0.0
