,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
658,2014,5126,1430,Milan Badelj,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,2014,5142,1430,Milan Badelj,a,DMC,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,2014,5033,1430,Milan Badelj,a,MC,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618279203772544,0.0,0.0618279203772544,0.0
4347,2014,4982,1430,Milan Badelj,a,MC,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618279203772544,0.0,0.0618279203772544,0.0
4704,2014,4997,1430,Milan Badelj,a,MC,265.0,0.0,0.0,3.0,1.0,0.0,0.0739860534667968,0.0926401037722825,0.0,-0.1854017358273268,0.0
4971,2014,4929,1430,Milan Badelj,h,MC,355.0,0.0,0.0,4.0,1.0,0.0,0.0902289021760224,0.0926401037722825,0.0,-0.1366731896996499,0.0
5506,2014,4952,1430,Milan Badelj,h,MC,445.0,0.0,0.0,4.0,1.0,0.0,0.0902289021760224,0.0926401037722825,0.0,-0.1366731896996499,0.0
5747,2014,4886,1430,Milan Badelj,a,MC,535.0,0.0,0.0,6.0,1.0,0.0,0.1886688787490128,0.0926401037722825,0.0,0.1586467400193213,0.0
6003,2014,4897,1430,Milan Badelj,a,MC,625.0,0.0,0.0,6.0,1.0,0.0,0.1886688787490128,0.1264216396957634,0.0,0.1924282759428022,0.0
6235,2014,4907,1430,Milan Badelj,h,Sub,702.0,0.0,0.0,7.0,1.0,0.0,0.2417629640549419,0.1385528678074477,0.0,0.36384175997227397,0.0
6450,2014,4916,1430,Milan Badelj,a,MC,746.0,0.0,0.0,11.0,1.0,0.0,0.33570848219096633,0.1385528678074477,0.0,0.6456783143803474,0.0
6696,2014,4837,1430,Milan Badelj,h,MC,836.0,0.0,0.0,11.0,1.0,0.0,0.33570848219096633,0.1738232867792246,0.0,0.6809487333521242,0.0
6891,2014,4845,1430,Milan Badelj,a,MC,926.0,0.0,1.0,11.0,1.0,0.0,0.33570848219096633,0.21109531912952628,1.0,0.718220765702426,1.0
7235,2014,4860,1430,Milan Badelj,h,MC,997.0,0.0,1.0,12.0,1.0,0.0,0.4006682988256213,0.21109531912952628,1.0,0.913100215606391,0.0
7445,2014,4869,1430,Milan Badelj,h,MC,1087.0,0.0,1.0,13.0,1.0,0.0,0.43991931341588464,0.22629210446029868,1.0,1.0460500447079535,0.0
7645,2014,4877,1430,Milan Badelj,a,MC,1177.0,0.0,1.0,13.0,1.0,0.0,0.43991931341588464,0.22629210446029868,1.0,1.0460500447079535,0.0
7872,2014,4785,1430,Milan Badelj,h,MC,1267.0,0.0,1.0,14.0,1.0,0.0,0.46753766573965516,0.33042463753372386,1.0,1.2330376347526903,0.0
8151,2014,4796,1430,Milan Badelj,a,MC,1357.0,0.0,1.0,15.0,1.0,0.0,0.486943872645497,0.33042463753372386,1.0,1.2912562554702158,0.0
8880,2014,4828,1430,Milan Badelj,h,MC,1447.0,0.0,2.0,15.0,2.0,0.0,0.486943872645497,0.38266455847769926,2.0,0.8434961764141913,1.0
