,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
202,2014,5157,3870,Nemanja Vidic,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,2014,5128,3870,Nemanja Vidic,a,DC,90.0,0.0,0.0,1.0,0.0,1.0,0.0737847164273262,0.0,0.0,-0.2786458507180214,0.0
785,2014,5132,3870,Nemanja Vidic,h,DC,180.0,0.0,0.0,1.0,0.0,1.0,0.0737847164273262,0.0,0.0,-0.2786458507180214,0.0
1097,2014,5145,3870,Nemanja Vidic,h,DC,270.0,0.0,0.0,2.0,0.0,1.0,0.1141636408865451,0.0,0.0,-0.1575090773403645,0.0
1391,2014,5077,3870,Nemanja Vidic,a,DC,360.0,0.0,0.0,5.0,0.0,1.0,0.2546780891716479,0.0,0.0,0.26403426751494397,0.0
1617,2014,5087,3870,Nemanja Vidic,h,DC,450.0,0.0,0.0,6.0,0.0,1.0,0.2866532243788241,0.0,0.0,0.3599596731364726,0.0
1944,2014,5101,3870,Nemanja Vidic,h,DC,540.0,0.0,0.0,7.0,0.0,1.0,0.31792329251766194,0.0,0.0,0.453769877552986,0.0
2185,2014,5032,3870,Nemanja Vidic,a,DC,630.0,0.0,0.0,7.0,0.0,1.0,0.31792329251766194,0.0443697907030582,0.0,0.49813966825604417,0.0
2549,2014,5048,3870,Nemanja Vidic,h,DC,720.0,0.0,0.0,7.0,0.0,1.0,0.31792329251766194,0.0443697907030582,0.0,0.49813966825604417,0.0
4034,2014,4969,3870,Nemanja Vidic,h,DC,810.0,0.0,0.0,8.0,0.0,1.0,0.4301507547497747,0.0443697907030582,0.0,0.8348220549523828,0.0
4232,2014,4977,3870,Nemanja Vidic,a,DC,900.0,1.0,0.0,9.0,0.0,1.0,0.8524900153279302,0.0443697907030582,3.0,2.1018398366868496,3.0
4592,2014,4993,3870,Nemanja Vidic,h,DC,990.0,1.0,0.0,10.0,1.0,1.0,1.3556237891316412,0.0443697907030582,3.0,3.1112411580979824,0.0
4745,2014,4919,3870,Nemanja Vidic,a,DC,1080.0,1.0,0.0,11.0,1.0,1.0,1.3803207986056802,0.0443697907030582,3.0,3.1853321865200996,0.0
5561,2014,4954,3870,Nemanja Vidic,a,DC,1150.0,1.0,0.0,12.0,2.0,1.0,1.4784314222633836,0.0443697907030582,3.0,2.97966405749321,0.0
5730,2014,4886,3870,Nemanja Vidic,h,DC,1240.0,1.0,0.0,13.0,2.0,1.0,1.4953348673880098,0.0443697907030582,3.0,3.0303743928670883,0.0
6402,2014,4914,3870,Nemanja Vidic,a,DC,1330.0,1.0,0.0,15.0,3.0,1.0,1.6649208106100557,0.0443697907030582,3.0,3.039132222533226,0.0
6819,2014,4842,3870,Nemanja Vidic,a,DC,1420.0,1.0,0.0,15.0,4.0,1.0,1.6649208106100557,0.0443697907030582,3.0,2.539132222533226,0.0
7209,2014,4859,3870,Nemanja Vidic,h,DC,1510.0,1.0,0.0,15.0,5.0,1.0,1.6649208106100557,0.0443697907030582,3.0,2.039132222533226,0.0
7279,2014,4862,3870,Nemanja Vidic,h,DC,1600.0,1.0,0.0,15.0,5.0,1.0,1.6649208106100557,0.0443697907030582,3.0,2.039132222533226,0.0
7500,2014,4871,3870,Nemanja Vidic,a,DC,1690.0,1.0,0.0,15.0,5.0,1.0,1.6649208106100557,0.0443697907030582,3.0,2.039132222533226,0.0
7798,2014,4782,3870,Nemanja Vidic,h,DC,1780.0,1.0,0.0,15.0,5.0,1.0,1.6649208106100557,0.0720870327204465,3.0,2.0668494645506144,0.0
8172,2014,4797,3870,Nemanja Vidic,a,DC,1870.0,1.0,0.0,16.0,5.0,1.0,1.7125277332961557,0.1845869626849888,3.0,2.3221701625734568,0.0
8208,2014,4799,3870,Nemanja Vidic,h,DC,1960.0,1.0,0.0,17.0,5.0,1.0,1.7302009407430885,0.1845869626849888,3.0,2.375189784914255,0.0
