,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
41,2014,5150,1297,Neto,a,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,2014,5114,1297,Neto,h,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,2014,5126,1297,Neto,a,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,2014,5130,1297,Neto,h,GK,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1214,2014,5142,1297,Neto,a,GK,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,2014,5077,1297,Neto,h,GK,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1732,2014,5081,1297,Neto,h,GK,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2219,2014,5098,1297,Neto,a,GK,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
2429,2014,5106,1297,Neto,h,GK,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2610,2014,5033,1297,Neto,a,GK,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0432203076779842,-0.5,-0.4567796923220158,0.0
2984,2014,5047,1297,Neto,h,GK,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0432203076779842,-0.5,-0.4567796923220158,0.0
3276,2014,5057,1297,Neto,a,GK,990.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0432203076779842,-0.5,-0.4567796923220158,0.0
3499,2014,5065,1297,Neto,a,GK,1080.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,-0.5
3625,2014,5000,1297,Neto,h,GK,1170.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
4085,2014,5016,1297,Neto,a,GK,1260.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
4349,2014,5026,1297,Neto,h,GK,1350.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
6834,2014,4886,1297,Neto,a,GK,1440.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
7140,2014,4897,1297,Neto,a,GK,1530.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
7406,2014,4907,1297,Neto,h,GK,1620.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
7670,2014,4916,1297,Neto,a,GK,1710.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
7964,2014,4837,1297,Neto,h,GK,1800.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
8201,2014,4845,1297,Neto,a,GK,1890.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
8604,2014,4860,1297,Neto,h,GK,1980.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
8855,2014,4869,1297,Neto,h,GK,2070.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
9091,2014,4877,1297,Neto,a,GK,2160.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0432203076779842,-1.0,-0.9567796923220158,0.0
9356,2014,4785,1297,Neto,h,GK,2250.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0432203076779842,-1.5,-1.4567796923220158,-0.5
9676,2014,4796,1297,Neto,a,GK,2340.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1455899663269519,-1.5,-1.354410033673048,0.0
9970,2014,4807,1297,Neto,h,GK,2430.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1455899663269519,-1.5,-1.354410033673048,0.0
10180,2014,4814,1297,Neto,a,GK,2520.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1455899663269519,-1.5,-1.354410033673048,0.0
