,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
88,2014,5152,1948,Nigel de Jong,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,2014,5117,1948,Nigel de Jong,a,MC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
591,2014,5120,1948,Nigel de Jong,h,MC,180.0,1.0,0.0,1.0,2.0,0.0,0.3474898934364319,0.0,2.0,0.042469680309295654,2.5
858,2014,5129,1948,Nigel de Jong,a,MC,270.0,1.0,0.0,1.0,2.0,0.0,0.3474898934364319,0.0190043542534112,2.0,0.06147403456270685,0.0
1248,2014,5143,1948,Nigel de Jong,a,DMC,360.0,1.0,0.0,1.0,2.0,0.0,0.3474898934364319,0.0190043542534112,2.0,0.06147403456270685,0.0
1430,2014,5070,1948,Nigel de Jong,h,DMC,450.0,1.0,0.0,2.0,3.0,0.0,0.36597100086510176,0.0190043542534112,1.5,-0.3830826431512834,-0.5
2211,2014,5098,1948,Nigel de Jong,h,MC,540.0,1.0,0.0,4.0,4.0,0.0,0.4713747967034578,0.0799488145858048,1.0,-0.5059267953038217,-0.5
2422,2014,5105,1948,Nigel de Jong,a,MC,630.0,2.0,0.0,5.0,5.0,0.0,0.844095991924405,0.0799488145858048,3.5,0.11223679035902012,2.5
2713,2014,5037,1948,Nigel de Jong,h,MC,720.0,2.0,0.0,7.0,5.0,0.0,0.9050477128475903,0.0799488145858048,3.5,0.2950919531285761,0.0
2837,2014,5041,1948,Nigel de Jong,a,MC,810.0,2.0,0.0,8.0,6.0,0.0,0.9422467071563004,0.0799488145858048,3.0,-0.09331106394529359,-0.5
3784,2014,5005,1948,Nigel de Jong,a,MC,900.0,2.0,0.0,8.0,7.0,0.0,0.9422467071563004,0.0799488145858048,2.5,-0.5933110639452936,-0.5
4105,2014,5017,1948,Nigel de Jong,h,MC,990.0,2.0,0.0,9.0,7.0,0.0,0.9681601412594316,0.14442629553377612,2.5,-0.4510932806879284,0.0
4285,2014,5023,1948,Nigel de Jong,a,MC,1080.0,2.0,0.0,9.0,7.0,0.0,0.9681601412594316,0.16892702877521493,2.5,-0.4265925474464896,0.0
4782,2014,4968,1948,Nigel de Jong,a,MC,1170.0,2.0,0.0,9.0,8.0,0.0,0.9681601412594316,0.16892702877521493,2.0,-0.9265925474464896,-0.5
5104,2014,4980,1948,Nigel de Jong,h,MC,1260.0,2.0,0.0,9.0,8.0,0.0,0.9681601412594316,0.16892702877521493,2.0,-0.9265925474464896,0.0
6184,2014,4939,1948,Nigel de Jong,h,DMC,1350.0,2.0,0.0,10.0,8.0,0.0,1.0593932159245012,0.18915320374071573,2.0,-0.63266714848578,0.0
6434,2014,4948,1948,Nigel de Jong,h,MC,1440.0,2.0,0.0,10.0,8.0,0.0,1.0593932159245012,0.21043751202523683,2.0,-0.6113828402012589,0.0
6674,2014,4956,1948,Nigel de Jong,a,MC,1530.0,2.0,0.0,10.0,8.0,0.0,1.0593932159245012,0.21043751202523683,2.0,-0.6113828402012589,0.0
7495,2014,4910,1948,Nigel de Jong,h,MC,1608.0,2.0,0.0,11.0,8.0,0.0,1.0756797716021536,0.21043751202523683,2.0,-0.5625231731683019,0.0
7844,2014,4832,1948,Nigel de Jong,a,MC,1698.0,2.0,0.0,11.0,9.0,0.0,1.0756797716021536,0.21043751202523683,1.5,-1.062523173168302,-0.5
8304,2014,4849,1948,Nigel de Jong,h,MC,1788.0,2.0,0.0,11.0,9.0,0.0,1.0756797716021536,0.21043751202523683,1.5,-1.062523173168302,0.0
8596,2014,4859,1948,Nigel de Jong,a,MC,1878.0,3.0,0.0,12.0,10.0,0.0,1.1656213924288747,0.21043751202523683,4.0,-1.2926983106881385,2.5
8652,2014,4861,1948,Nigel de Jong,a,MC,1968.0,3.0,0.0,13.0,11.0,0.0,1.2092862874269483,0.21043751202523683,3.5,-1.6617036256939177,-0.5
9111,2014,4878,1948,Nigel de Jong,h,MC,2058.0,3.0,0.0,13.0,11.0,0.0,1.2092862874269483,0.21043751202523683,3.5,-1.6617036256939177,0.0
9404,2014,4786,1948,Nigel de Jong,a,MC,2148.0,3.0,0.0,14.0,11.0,0.0,1.2507439367473123,0.21043751202523683,3.5,-1.5373306777328257,0.0
9500,2014,4790,1948,Nigel de Jong,h,MC,2238.0,3.0,0.0,14.0,11.0,0.0,1.2507439367473123,0.21043751202523683,3.5,-1.5373306777328257,0.0
9823,2014,4801,1948,Nigel de Jong,a,MC,2328.0,3.0,0.0,14.0,11.0,0.0,1.2507439367473123,0.21043751202523683,3.5,-1.5373306777328257,0.0
10256,2014,4817,1948,Nigel de Jong,h,MC,2418.0,3.0,0.0,14.0,11.0,0.0,1.2507439367473123,0.22992019355297064,3.5,-1.517847996205092,0.0
10353,2014,4820,1948,Nigel de Jong,a,MC,2508.0,3.0,0.0,16.0,11.0,0.0,1.3963635377585886,0.30588936060667016,3.5,-1.0050200261175637,0.0
