,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
106,2014,5153,1294,Paulo Dybala,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,2014,5118,1294,Paulo Dybala,a,FW,77.0,1.0,0.0,2.0,0.0,0.0,0.6661129593849182,0.0330371372401714,3.0,2.031376015394926,3.0
696,2014,5128,1294,Paulo Dybala,h,FW,167.0,1.0,0.0,10.0,0.0,0.0,1.0273228585720062,0.05592193454504,3.0,3.137890510261059,0.0
874,2014,5135,1294,Paulo Dybala,a,FW,257.0,1.0,0.0,11.0,0.0,0.0,1.0514946840703487,0.1358163580298422,3.0,3.2903004102408886,0.0
1174,2014,5148,1294,Paulo Dybala,h,FW,320.0,1.0,1.0,12.0,0.0,0.0,1.1059685535728931,0.5982349142432211,4.0,3.9161405749619007,1.0
1255,2014,5071,1294,Paulo Dybala,a,FW,398.0,1.0,1.0,16.0,0.0,0.0,1.2844390161335468,0.6271522752940651,4.0,4.480469323694706,0.0
1506,2014,5082,1294,Paulo Dybala,h,FW,488.0,1.0,1.0,19.0,0.0,0.0,1.441314596682787,0.6271522752940651,4.0,4.951096065342426,0.0
1780,2014,5093,1294,Paulo Dybala,a,FW,578.0,2.0,2.0,24.0,0.0,0.0,1.9462400861084461,0.8358601741492744,8.0,6.674580432474613,4.0
1974,2014,5102,1294,Paulo Dybala,h,FW,668.0,2.0,2.0,27.0,0.0,0.0,1.998808391392231,0.892987053841352,8.0,6.889412228018045,0.0
2313,2014,5037,1294,Paulo Dybala,a,FW,753.0,2.0,2.0,28.0,1.0,0.0,2.0172141287475824,1.0556453429162498,8.0,6.6072877291589975,0.0
2512,2014,5046,1294,Paulo Dybala,h,FW,842.0,3.0,2.0,30.0,1.0,0.0,3.0658816788345575,1.1133444160223003,11.0,9.810989452525973,3.0
2820,2014,5059,1294,Paulo Dybala,a,FW,932.0,4.0,2.0,37.0,1.0,0.0,4.338110635057092,1.1478469781577583,14.0,13.662178883329034,3.0
2923,2014,5064,1294,Paulo Dybala,h,FW,1022.0,5.0,2.0,42.0,1.0,0.0,5.103140780702233,1.1478469781577583,17.0,15.957269320264459,3.0
3118,2014,5002,1294,Paulo Dybala,a,FW,1112.0,6.0,2.0,45.0,1.0,0.0,5.689898142591119,1.386467587202787,20.0,17.956162014976144,3.0
3296,2014,5010,1294,Paulo Dybala,h,FW,1202.0,7.0,3.0,47.0,1.0,0.0,5.772190542891622,1.4574427567422386,24.0,18.274014385417104,4.0
3702,2014,5027,1294,Paulo Dybala,a,FW,1292.0,7.0,4.0,51.0,1.0,0.0,6.1214755196124315,1.6456902436912055,25.0,19.5101168025285,1.0
3833,2014,4960,1294,Paulo Dybala,h,FW,1382.0,7.0,6.0,55.0,1.0,0.0,6.324145736172795,2.247032146900892,27.0,20.719469355419278,2.0
4253,2014,4978,1294,Paulo Dybala,h,FW,1456.0,9.0,6.0,60.0,1.0,0.0,8.32344919629395,2.313761983066797,33.0,26.784109571948647,6.0
4516,2014,4989,1294,Paulo Dybala,a,FW,1532.0,10.0,6.0,63.0,1.0,0.0,9.214877428486943,2.313761983066797,36.0,29.458394268527627,3.0
4859,2014,4924,1294,Paulo Dybala,h,FW,1622.0,10.0,6.0,70.0,1.0,0.0,9.665014090016484,2.459877554327249,36.0,30.954919824376702,0.0
5102,2014,4934,1294,Paulo Dybala,a,FW,1712.0,11.0,6.0,72.0,1.0,0.0,9.735935995355248,2.4726107791066165,39.0,31.180418765172362,3.0
5185,2014,4938,1294,Paulo Dybala,h,FW,1802.0,11.0,6.0,75.0,1.0,0.0,10.34917832352221,2.4726107791066165,39.0,33.02014574967325,0.0
5475,2014,4950,1294,Paulo Dybala,a,FW,1892.0,11.0,7.0,76.0,1.0,0.0,10.361293675377965,2.5782186761498447,40.0,33.16209970228374,1.0
5647,2014,4882,1294,Paulo Dybala,h,FW,1982.0,12.0,7.0,80.0,1.0,0.0,11.13568097539246,2.6550847142934795,43.0,35.56212764047086,3.0
5866,2014,4891,1294,Paulo Dybala,a,FW,2072.0,12.0,7.0,87.0,2.0,0.0,11.900506677106023,2.74022077769041,43.0,37.44174080900848,0.0
6041,2014,4899,1294,Paulo Dybala,h,FW,2162.0,12.0,7.0,89.0,2.0,0.0,11.993941368535161,2.8121490627527232,43.0,37.79397316835821,0.0
6291,2014,4909,1294,Paulo Dybala,a,FW,2252.0,12.0,7.0,92.0,3.0,0.0,12.056738885119557,2.8121490627527232,43.0,37.482365718111396,0.0
6581,2014,4832,1294,Paulo Dybala,h,FW,2342.0,12.0,7.0,96.0,3.0,0.0,12.606468113139272,2.909586943686008,43.0,39.228991283103824,0.0
6920,2014,4846,1294,Paulo Dybala,a,FW,2432.0,13.0,7.0,102.0,3.0,0.0,13.658007534220815,3.5121460333466525,46.0,42.9861686360091,3.0
7142,2014,4856,1294,Paulo Dybala,h,FW,2522.0,13.0,9.0,105.0,3.0,0.0,14.285612734034657,3.9759289696812625,48.0,45.332767171785235,2.0
7344,2014,4864,1294,Paulo Dybala,a,FW,2612.0,13.0,10.0,109.0,3.0,0.0,14.603990914300084,4.359959252178669,49.0,46.67193199507892,1.0
7565,2014,4874,1294,Paulo Dybala,h,FW,2702.0,13.0,10.0,112.0,3.0,0.0,14.753195704892278,4.905364997684956,49.0,47.66495211236179,0.0
7768,2014,4780,1294,Paulo Dybala,a,FW,2792.0,13.0,10.0,113.0,3.0,0.0,15.393340649083257,5.0608411356806755,49.0,49.740863082930446,0.0
8558,2014,4814,1294,Paulo Dybala,h,FW,2882.0,13.0,10.0,117.0,3.0,0.0,16.08828896470368,5.1773108541965485,49.0,51.942177748307586,0.0
