,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
62,2014,5151,1853,Vangelis Moras,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,2014,5118,1853,Vangelis Moras,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,2014,5127,1853,Vangelis Moras,a,DC,180.0,0.0,0.0,2.0,0.0,0.0,0.1554172188043594,0.0,0.0,0.4662516564130783,0.0
761,2014,5131,1853,Vangelis Moras,h,DC,270.0,0.0,0.0,2.0,0.0,0.0,0.1554172188043594,0.0,0.0,0.4662516564130783,0.0
963,2014,5139,1853,Vangelis Moras,a,DC,360.0,0.0,0.0,3.0,0.0,0.0,0.21588854119181622,0.0,0.0,0.6476656235754489,0.0
1188,2014,5069,1853,Vangelis Moras,h,DR,450.0,0.0,0.0,3.0,0.0,0.0,0.21588854119181622,0.0,0.0,0.6476656235754489,0.0
1521,2014,5083,1853,Vangelis Moras,h,DR,540.0,0.0,0.0,3.0,0.0,0.0,0.21588854119181622,0.0220533460378646,0.0,0.6697189696133135,0.0
1821,2014,5095,1853,Vangelis Moras,a,DC,630.0,0.0,1.0,4.0,0.0,0.0,0.260754596441984,0.057028979063033905,1.0,0.8392927683889864,1.0
2101,2014,5108,1853,Vangelis Moras,h,DC,720.0,0.0,1.0,4.0,0.0,0.0,0.260754596441984,0.057028979063033905,1.0,0.8392927683889864,0.0
2329,2014,5038,1853,Vangelis Moras,a,DC,810.0,0.0,1.0,4.0,0.0,0.0,0.260754596441984,0.057028979063033905,1.0,0.8392927683889864,0.0
2561,2014,5048,1853,Vangelis Moras,a,DC,900.0,0.0,1.0,4.0,0.0,0.0,0.260754596441984,0.057028979063033905,1.0,0.8392927683889864,0.0
2756,2014,5057,1853,Vangelis Moras,h,DC,990.0,0.0,1.0,4.0,1.0,0.0,0.260754596441984,0.3543940782546995,1.0,0.636657867580652,0.0
2835,2014,5060,1853,Vangelis Moras,a,DC,1080.0,0.0,1.0,4.0,1.0,0.0,0.260754596441984,0.3637304473668334,1.0,0.6459942366927859,0.0
3263,2014,5009,1853,Vangelis Moras,h,DC,1170.0,1.0,1.0,5.0,1.0,0.0,0.29765368625521643,0.3637304473668334,4.0,0.756691506132483,3.0
3419,2014,5015,1853,Vangelis Moras,a,DC,1260.0,1.0,1.0,6.0,1.0,0.0,0.4200787134468553,0.3637304473668334,4.0,1.1239665877073999,0.0
3612,2014,5024,1853,Vangelis Moras,h,DC,1350.0,1.0,1.0,7.0,2.0,0.0,0.44182850047945954,0.3637304473668334,4.0,0.6892159488052125,0.0
3885,2014,4962,1853,Vangelis Moras,a,DC,1440.0,1.0,1.0,8.0,2.0,0.0,0.5087269060313699,0.3637304473668334,4.0,0.8899111654609437,0.0
