,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
745,2014,5125,3850,Walter Gargano,a,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,2014,5135,3850,Walter Gargano,h,DMC,90.0,0.0,0.0,1.0,0.0,0.0,0.0226731114089489,0.0310226771980524,0.0,0.0990420114248991,0.0
1192,2014,5141,3850,Walter Gargano,a,DMC,180.0,0.0,1.0,2.0,0.0,0.0,0.0420136284083128,0.7174322102218866,1.0,0.843473095446825,1.0
1654,2014,5078,3850,Walter Gargano,h,DMC,257.0,0.0,1.0,2.0,1.0,0.0,0.0420136284083128,0.7174322102218866,0.5,0.343473095446825,-0.5
2525,2014,5030,3850,Walter Gargano,h,Sub,325.0,0.0,1.0,3.0,2.0,0.0,0.056151045486330896,0.7310625175014137,0.0,-0.10048434603959316,-0.5
3185,2014,5054,3850,Walter Gargano,h,DMC,349.0,0.0,1.0,3.0,2.0,0.0,0.056151045486330896,0.7310625175014137,0.0,-0.10048434603959316,0.0
3721,2014,5003,3850,Walter Gargano,h,Sub,439.0,0.0,1.0,3.0,2.0,0.0,0.056151045486330896,0.7310625175014137,0.0,-0.10048434603959316,0.0
4124,2014,5017,3850,Walter Gargano,a,Sub,446.0,0.0,1.0,4.0,2.0,0.0,0.0703199710696934,0.8307944172993301,0.0,0.04175433050841093,0.0
4215,2014,5021,3850,Walter Gargano,h,DMC,459.0,0.0,1.0,4.0,2.0,0.0,0.0703199710696934,1.3767485851421952,0.0,0.5877084983512759,0.0
4702,2014,4965,3850,Walter Gargano,a,DMC,549.0,0.0,1.0,4.0,2.0,0.0,0.0703199710696934,1.3767485851421952,0.0,0.5877084983512759,0.0
4991,2014,4976,3850,Walter Gargano,h,DMC,617.0,0.0,1.0,4.0,3.0,0.0,0.0703199710696934,1.3767485851421952,-0.5,0.08770849835127592,-0.5
5090,2014,4979,3850,Walter Gargano,a,DMC,700.0,0.0,1.0,4.0,3.0,0.0,0.0703199710696934,1.3955082288011909,-0.5,0.10646814201027152,0.0
5732,2014,4922,3850,Walter Gargano,a,Sub,790.0,0.0,1.0,4.0,4.0,0.0,0.0703199710696934,1.3955082288011909,-1.0,-0.39353185798972845,-0.5
6017,2014,4933,3850,Walter Gargano,h,DMC,809.0,0.0,1.0,4.0,4.0,0.0,0.0703199710696934,1.6714691212400794,-1.0,-0.11757096555083996,0.0
6177,2014,4938,3850,Walter Gargano,a,Sub,893.0,0.0,1.0,4.0,4.0,0.0,0.0703199710696934,1.6714691212400794,-1.0,-0.11757096555083996,0.0
6575,2014,4953,3850,Walter Gargano,h,DMC,914.0,0.0,1.0,4.0,4.0,0.0,0.0703199710696934,1.70058651920408,-1.0,-0.08845356758683925,0.0
6868,2014,4887,3850,Walter Gargano,a,DMC,1004.0,0.0,1.0,4.0,5.0,0.0,0.0703199710696934,1.7636001473292708,-1.5,-0.5254399394616485,-0.5
8193,2014,4845,3850,Walter Gargano,h,DMC,1078.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,1.7753488589078188,-2.0,-0.9794100038707256,-0.5
8569,2014,4858,3850,Walter Gargano,a,DMC,1168.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,1.8019569609314203,-2.0,-0.9528019018471241,0.0
8894,2014,4870,3850,Walter Gargano,h,Sub,1258.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,1.815816286019981,-2.0,-0.9389425767585636,0.0
9180,2014,4880,3850,Walter Gargano,a,DMC,1271.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,1.9385548932477832,-2.0,-0.8162039695307615,0.0
9654,2014,4795,3850,Walter Gargano,a,DMC,1361.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,1.9943412942811847,-2.0,-0.7604175684973601,0.0
10010,2014,4808,3850,Walter Gargano,h,Sub,1418.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,2.0675079179927707,-2.0,-0.6872509447857741,0.0
10046,2014,4809,3850,Walter Gargano,a,DMC,1419.0,0.0,1.0,5.0,6.0,0.0,0.081747045740485,2.0675079179927707,-2.0,-0.6872509447857741,0.0
