,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
72,2015,554,1838,Achraf Lazaar,h,DML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,2015,565,1838,Achraf Lazaar,a,DML,87.0,0.0,0.0,1.0,0.0,0.0,0.0278543382883071,0.106454849243164,0.0,0.1900178641080856,0.0
568,2015,575,1838,Achraf Lazaar,h,DML,177.0,0.0,0.0,2.0,0.0,0.0,0.0503693763166665,0.106454849243164,0.0,0.2575629781931638,0.0
745,2015,582,1838,Achraf Lazaar,a,DL,267.0,0.0,1.0,3.0,0.0,0.0,0.0627863723784684,0.5639628469943999,1.0,0.7523219641298056,1.0
998,2015,593,1838,Achraf Lazaar,h,DML,357.0,0.0,1.0,5.0,1.0,0.0,0.0884077418595551,0.5639628469943999,1.0,0.32918607257306576,0.0
1324,2015,606,1838,Achraf Lazaar,a,Sub,447.0,0.0,1.0,5.0,1.0,0.0,0.0884077418595551,0.5639628469943999,1.0,0.32918607257306576,0.0
1493,2015,614,1838,Achraf Lazaar,h,DL,463.0,0.0,1.0,5.0,1.0,0.0,0.0884077418595551,0.6912326216697691,1.0,0.45645584724843496,0.0
1712,2015,623,1838,Achraf Lazaar,a,DML,553.0,0.0,1.0,6.0,1.0,0.0,0.09901444707065801,0.8006833493709562,1.0,0.5977266905829309,0.0
1931,2015,633,1838,Achraf Lazaar,h,DML,635.0,0.0,1.0,6.0,1.0,0.0,0.09901444707065801,1.1464082002639768,1.0,0.9434515414759514,0.0
2221,2015,645,1838,Achraf Lazaar,a,DML,716.0,0.0,1.0,6.0,1.0,0.0,0.09901444707065801,1.234165623784065,1.0,1.0312089649960396,0.0
2564,2015,660,1838,Achraf Lazaar,h,DML,795.0,0.0,1.0,7.0,1.0,0.0,0.1426247591152785,1.234165623784065,1.0,1.1620399011299012,0.0
2682,2015,665,1838,Achraf Lazaar,h,DL,885.0,0.0,1.0,9.0,2.0,0.0,0.1698343781754372,1.234165623784065,1.0,0.7436687583103774,0.0
2905,2015,674,1838,Achraf Lazaar,a,DL,919.0,0.0,1.0,10.0,2.0,0.0,0.1852834094315764,1.234165623784065,1.0,0.7900158520787952,0.0
3226,2015,688,1838,Achraf Lazaar,h,DL,1009.0,0.0,2.0,13.0,2.0,0.0,0.2232826594263311,1.2876230888068674,2.0,0.9574710670858619,1.0
3402,2015,695,1838,Achraf Lazaar,a,DL,1099.0,0.0,2.0,14.0,2.0,0.0,0.23571394570171791,1.2876230888068674,2.0,0.9947649259120224,0.0
3557,2015,702,1838,Achraf Lazaar,h,DL,1189.0,0.0,2.0,18.0,2.0,0.0,0.34153206832706884,1.4897758178412912,2.0,1.514372022822499,0.0
3890,2015,716,1838,Achraf Lazaar,a,DL,1279.0,0.0,2.0,18.0,2.0,0.0,0.34153206832706884,1.9980546645820139,2.0,2.022650869563222,0.0
4041,2015,723,1838,Achraf Lazaar,h,DL,1369.0,0.0,2.0,19.0,2.0,0.0,0.35507137980312065,1.9980546645820139,2.0,2.0632688039913774,0.0
4406,2015,738,1838,Achraf Lazaar,a,ML,1459.0,0.0,2.0,20.0,2.0,0.0,0.36658690031617835,2.0187429822981353,2.0,2.118503683246672,0.0
4518,2015,743,1838,Achraf Lazaar,a,DML,1549.0,0.0,2.0,20.0,2.0,0.0,0.36658690031617835,2.0187429822981353,2.0,2.118503683246672,0.0
4883,2015,759,1838,Achraf Lazaar,h,DL,1639.0,0.0,2.0,21.0,2.0,0.0,0.37575858458876565,2.0187429822981353,2.0,2.146018736064434,0.0
4940,2015,761,1838,Achraf Lazaar,a,DL,1729.0,1.0,2.0,23.0,2.0,0.0,0.40252854488789985,2.298532340675592,5.0,2.5061179753392935,3.0
5280,2015,776,1838,Achraf Lazaar,h,DL,1819.0,1.0,2.0,23.0,2.0,0.0,0.40252854488789985,2.298532340675592,5.0,2.5061179753392935,0.0
5503,2015,785,1838,Achraf Lazaar,a,DL,1909.0,1.0,2.0,24.0,2.0,0.0,0.41989877261221353,2.3372700139880176,5.0,2.5969663318246603,0.0
6814,2015,841,1838,Achraf Lazaar,a,Sub,1984.0,1.0,2.0,24.0,2.0,1.0,0.41989877261221353,2.352367481216788,5.0,2.1120637990534306,0.0
7108,2015,854,1838,Achraf Lazaar,a,DL,2027.0,1.0,2.0,24.0,2.0,1.0,0.41989877261221353,2.352367481216788,5.0,2.1120637990534306,0.0
7449,2015,869,1838,Achraf Lazaar,h,ML,2117.0,1.0,2.0,25.0,2.0,1.0,0.4340231344103807,2.3987891469150777,5.0,2.200858550146222,0.0
7621,2015,876,1838,Achraf Lazaar,a,DML,2153.0,1.0,2.0,25.0,2.0,1.0,0.4340231344103807,2.3987891469150777,5.0,2.200858550146222,0.0
7809,2015,884,1838,Achraf Lazaar,h,Sub,2243.0,1.0,2.0,27.0,2.0,1.0,0.46545508131384783,2.3987891469150777,5.0,2.2951543908566236,0.0
8882,2015,930,1838,Achraf Lazaar,h,Sub,2260.0,1.0,2.0,28.0,2.0,1.0,0.4792143143713467,2.3987891469150777,5.0,2.3364320900291204,0.0
