,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
122,2015,556,1474,Alfred Duncan,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2015,561,1474,Alfred Duncan,a,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0108792334794998,0.2466200888156891,0.0,0.2792577892541885,0.0
592,2015,576,1474,Alfred Duncan,h,MC,180.0,0.0,0.0,2.0,0.0,0.0,0.022176725789904497,0.2651965320110321,0.0,0.3317267093807458,0.0
821,2015,585,1474,Alfred Duncan,a,MC,270.0,0.0,1.0,2.0,1.0,0.0,0.022176725789904497,0.5499191880226135,1.0,0.11644936539232728,1.0
1281,2015,605,1474,Alfred Duncan,h,MC,329.0,0.0,1.0,3.0,1.0,0.0,0.0354570066556333,0.6176719442009926,1.0,0.22404296416789288,0.0
1483,2015,613,1474,Alfred Duncan,a,MC,419.0,0.0,1.0,4.0,1.0,0.0,0.1279958775267003,0.6613336019217968,1.0,0.5453212345018982,0.0
2288,2015,648,1474,Alfred Duncan,h,Sub,492.0,0.0,1.0,4.0,1.0,0.0,0.1279958775267003,0.6613336019217968,1.0,0.5453212345018982,0.0
2505,2015,657,1474,Alfred Duncan,a,MC,509.0,0.0,1.0,4.0,1.0,0.0,0.1279958775267003,0.6613336019217968,1.0,0.5453212345018982,0.0
3002,2015,678,1474,Alfred Duncan,a,MC,599.0,0.0,1.0,4.0,1.0,0.0,0.1279958775267003,0.6613336019217968,1.0,0.5453212345018982,0.0
4073,2015,724,1474,Alfred Duncan,h,Sub,662.0,0.0,1.0,4.0,1.0,0.0,0.1279958775267003,0.7079979553818702,1.0,0.5919855879619715,0.0
4290,2015,733,1474,Alfred Duncan,a,MC,692.0,0.0,2.0,4.0,1.0,0.0,0.1279958775267003,1.4275256171822548,2.0,1.311513249762356,1.0
4495,2015,742,1474,Alfred Duncan,a,MC,777.0,0.0,2.0,6.0,1.0,0.0,0.1610273486003277,2.100599266588688,2.0,2.083681312389672,0.0
4673,2015,750,1474,Alfred Duncan,h,MC,867.0,0.0,2.0,8.0,1.0,0.0,0.2271350240334865,2.100599266588688,2.0,2.2820043386891484,0.0
4810,2015,756,1474,Alfred Duncan,h,MC,957.0,0.0,2.0,9.0,1.0,0.0,0.3497798508033153,2.2934639379382133,2.0,2.8428034903481603,0.0
4967,2015,762,1474,Alfred Duncan,a,MC,1047.0,0.0,2.0,10.0,1.0,0.0,0.3723156703636046,2.2934639379382133,2.0,2.9104109490290284,0.0
5164,2015,771,1474,Alfred Duncan,h,MC,1137.0,0.0,2.0,12.0,1.0,0.0,0.4393427697941656,2.314006645232439,2.0,3.1320349546149373,0.0
5499,2015,785,1474,Alfred Duncan,h,Sub,1221.0,0.0,2.0,13.0,2.0,0.0,0.4549901159480209,2.3729945980012417,2.0,2.737964945845306,0.0
5717,2015,794,1474,Alfred Duncan,a,MC,1249.0,0.0,2.0,14.0,2.0,0.0,0.47167079430073444,2.4418527968227863,2.0,2.8568651797249913,0.0
5959,2015,805,1474,Alfred Duncan,h,MC,1339.0,0.0,3.0,19.0,2.0,0.0,0.6339459447190159,2.5225370712578297,3.0,3.4243749054148793,1.0
6296,2015,819,1474,Alfred Duncan,a,MC,1429.0,0.0,3.0,19.0,2.0,0.0,0.6339459447190159,2.6459050066769123,3.0,3.547742840833962,0.0
6426,2015,825,1474,Alfred Duncan,h,MC,1519.0,0.0,3.0,21.0,2.0,0.0,0.7834188370034092,2.6459050066769123,3.0,3.996161517687142,0.0
6575,2015,831,1474,Alfred Duncan,a,MC,1609.0,1.0,3.0,22.0,2.0,0.0,0.8251490769907825,2.780383113771677,6.0,4.255830344744027,3.0
6961,2015,848,1474,Alfred Duncan,h,MC,1699.0,1.0,3.0,23.0,3.0,0.0,0.9053358314558857,2.780383113771677,6.0,3.996390608139336,0.0
7039,2015,851,1474,Alfred Duncan,a,MC,1789.0,1.0,3.0,23.0,3.0,0.0,0.9053358314558857,2.814701873809099,6.0,4.030709368176758,0.0
7285,2015,862,1474,Alfred Duncan,h,MC,1879.0,1.0,3.0,24.0,3.0,0.0,0.9236976047977798,3.3580744452774525,6.0,4.629167259670794,0.0
7597,2015,875,1474,Alfred Duncan,a,MC,1968.0,1.0,3.0,28.0,4.0,0.0,1.0491854837164276,3.5057625509798527,6.0,4.6533190021291375,0.0
7759,2015,882,1474,Alfred Duncan,h,Sub,2058.0,1.0,3.0,29.0,4.0,0.0,1.0582627896219485,3.888651553541422,6.0,5.0634399224072695,0.0
8022,2015,893,1474,Alfred Duncan,a,MC,2112.0,1.0,3.0,29.0,4.0,0.0,1.0582627896219485,4.127287853509188,6.0,5.302076222375035,0.0
8336,2015,907,1474,Alfred Duncan,h,MC,2202.0,1.0,4.0,32.0,4.0,0.0,1.1889855805784457,4.701510954648256,7.0,6.2684676963835955,1.0
8559,2015,916,1474,Alfred Duncan,a,MC,2292.0,1.0,4.0,32.0,4.0,0.0,1.1889855805784457,5.043546576052904,7.0,6.610503317788243,0.0
8690,2015,922,1474,Alfred Duncan,h,MC,2382.0,1.0,4.0,34.0,4.0,0.0,1.2881194669753306,5.254633937031031,7.0,7.118992337957025,0.0
