,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
54,2015,552,1380,Amadou Diawara,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,2015,561,1380,Amadou Diawara,h,Sub,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833,2015,580,1380,Amadou Diawara,a,Sub,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321091189980506,0.0,0.0321091189980506,0.0
1036,2015,588,1380,Amadou Diawara,h,MC,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062549129128456,0.0,0.062549129128456,0.0
1301,2015,597,1380,Amadou Diawara,a,MC,126.0,0.0,0.0,1.0,1.0,0.0,0.0120323812589049,0.087496457621455,-0.5,-0.3764063986018301,-0.5
1567,2015,607,1380,Amadou Diawara,h,MC,216.0,0.0,0.0,1.0,2.0,0.0,0.0120323812589049,0.087496457621455,-1.0,-0.8764063986018301,-0.5
1862,2015,617,1380,Amadou Diawara,a,DMC,306.0,0.0,0.0,1.0,3.0,0.0,0.0120323812589049,0.1107096318155525,-1.5,-1.3531932244077325,-0.5
2014,2015,623,1380,Amadou Diawara,h,MC,396.0,0.0,0.0,1.0,3.0,0.0,0.0120323812589049,0.1107096318155525,-1.5,-1.3531932244077325,0.0
2278,2015,632,1380,Amadou Diawara,a,MC,486.0,0.0,0.0,2.0,3.0,0.0,0.0245614545419811,0.1464577484875915,-1.5,-1.2798578878864646,0.0
2515,2015,641,1380,Amadou Diawara,h,MC,576.0,0.0,0.0,3.0,3.0,0.0,0.0474173361435531,0.1464577484875915,-1.5,-1.2112902430817485,0.0
2906,2015,655,1380,Amadou Diawara,h,MC,666.0,0.0,0.0,4.0,3.0,0.0,0.057847497984766794,0.1464577484875915,-1.5,-1.1799997575581074,0.0
3089,2015,661,1380,Amadou Diawara,a,MC,756.0,0.0,0.0,5.0,3.0,0.0,0.0813999511301515,0.1589732263237235,-1.5,-1.096826920285821,0.0
3356,2015,671,1380,Amadou Diawara,h,MC,846.0,0.0,0.0,5.0,3.0,0.0,0.0813999511301515,0.1589732263237235,-1.5,-1.096826920285821,0.0
3647,2015,681,1380,Amadou Diawara,a,MC,936.0,0.0,0.0,6.0,3.0,0.0,0.1715924628078935,0.1589732263237235,-1.5,-0.826249385252595,0.0
3997,2015,694,1380,Amadou Diawara,h,MC,1026.0,0.0,0.0,7.0,3.0,0.0,0.1871150573715565,0.1589732263237235,-1.5,-0.7796816015616059,0.0
4203,2015,701,1380,Amadou Diawara,a,MC,1116.0,0.0,1.0,8.0,3.0,0.0,0.2034848695620891,0.4652056489139792,-0.5,-0.42433974239975214,1.0
4928,2015,727,1380,Amadou Diawara,a,MC,1206.0,0.0,1.0,9.0,3.0,1.0,0.2210563821718093,0.4652056489139792,-1.0,-0.8716252045705914,-0.5
5389,2015,744,1380,Amadou Diawara,h,MC,1285.0,0.0,1.0,11.0,4.0,1.0,0.2619257522746916,0.4652056489139792,-1.5,-1.2490170942619443,-0.5
5737,2015,756,1380,Amadou Diawara,a,MC,1375.0,0.0,1.0,11.0,4.0,1.0,0.2619257522746916,0.4652056489139792,-1.5,-1.2490170942619443,0.0
6083,2015,769,1380,Amadou Diawara,h,MC,1465.0,0.0,1.0,11.0,4.0,1.0,0.2619257522746916,0.5110381674021479,-1.5,-1.2031845757737756,0.0
6182,2015,772,1380,Amadou Diawara,a,MC,1555.0,0.0,1.0,11.0,4.0,1.0,0.2619257522746916,0.5110381674021479,-1.5,-1.2031845757737756,0.0
6418,2015,781,1380,Amadou Diawara,h,MC,1645.0,0.0,1.0,11.0,5.0,1.0,0.2619257522746916,0.6146074216812845,-2.0,-1.599615321494639,-0.5
6931,2015,799,1380,Amadou Diawara,a,MC,1735.0,0.0,1.0,12.0,6.0,1.0,0.2852770434692497,0.6301044076681133,-2.5,-2.0140644619241357,-0.5
6973,2015,801,1380,Amadou Diawara,h,MC,1825.0,0.0,1.0,14.0,6.0,1.0,0.3174479762092227,0.6301044076681133,-2.5,-1.9175516637042165,0.0
7319,2015,813,1380,Amadou Diawara,a,MC,1915.0,0.0,1.0,15.0,7.0,1.0,0.3311487594619387,0.6301044076681133,-3.0,-2.3764493139460683,-0.5
7725,2015,828,1380,Amadou Diawara,h,MC,2005.0,0.0,1.0,16.0,8.0,1.0,0.34420308377593695,0.6771954186260696,-3.5,-2.7901953300461173,-0.5
7878,2015,833,1380,Amadou Diawara,a,MC,2095.0,0.0,1.0,18.0,8.0,1.0,0.36576615925878225,0.7089879326522346,-3.5,-2.6937135895714164,0.0
8157,2015,843,1380,Amadou Diawara,a,MC,2185.0,0.0,1.0,19.0,8.0,1.0,0.3776321802288288,0.7089879326522346,-3.5,-2.658115526661277,0.0
8616,2015,860,1380,Amadou Diawara,h,MC,2275.0,0.0,1.0,19.0,8.0,1.0,0.3776321802288288,0.7516992464661593,-3.5,-2.615404212847352,0.0
8912,2015,870,1380,Amadou Diawara,a,MC,2365.0,0.0,1.0,19.0,8.0,1.0,0.3776321802288288,0.7696704603731627,-3.5,-2.5974329989403486,0.0
8925,2015,871,1380,Amadou Diawara,h,MC,2455.0,0.0,1.0,19.0,8.0,1.0,0.3776321802288288,0.7696704603731627,-3.5,-2.5974329989403486,0.0
9218,2015,881,1380,Amadou Diawara,a,MC,2545.0,0.0,1.0,20.0,8.0,1.0,0.39332317747175627,0.7877305746078485,-3.5,-2.53229989297688,0.0
9884,2015,905,1380,Amadou Diawara,a,DMC,2627.0,0.0,1.0,20.0,9.0,1.0,0.39332317747175627,0.7983817765489214,-4.0,-3.021648691035807,-0.5
10067,2015,912,1380,Amadou Diawara,h,DMC,2717.0,0.0,1.0,20.0,9.0,1.0,0.39332317747175627,0.8784406716004007,-4.0,-2.941589795984328,0.0
