,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
315,2015,562,1117,Andrea Poli,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
804,2015,579,1117,Andrea Poli,a,Sub,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875,2015,582,1117,Andrea Poli,h,Sub,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1140,2015,591,1117,Andrea Poli,a,Sub,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,2015,619,1117,Andrea Poli,h,Sub,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2015,622,1117,Andrea Poli,a,Sub,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2375,2015,636,1117,Andrea Poli,h,MC,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3011,2015,658,1117,Andrea Poli,a,Sub,123.0,0.0,0.0,1.0,0.0,0.0,0.0129166822880506,0.031683050096035,0.0,0.0704330969601869,0.0
3104,2015,662,1117,Andrea Poli,h,MC,179.0,0.0,0.0,1.0,0.0,0.0,0.0129166822880506,0.031683050096035,0.0,0.0704330969601869,0.0
3667,2015,682,1117,Andrea Poli,h,Sub,269.0,0.0,0.0,1.0,0.0,0.0,0.0129166822880506,0.0933194011449813,0.0,0.1320694480091332,0.0
4682,2015,718,1117,Andrea Poli,a,Sub,305.0,0.0,0.0,1.0,0.0,0.0,0.0129166822880506,0.0933194011449813,0.0,0.1320694480091332,0.0
6299,2015,776,1117,Andrea Poli,a,Sub,306.0,0.0,1.0,2.0,0.0,0.0,0.0867417063564061,0.456982061266899,1.0,0.7172071803361176,1.0
6839,2015,796,1117,Andrea Poli,h,Sub,312.0,0.0,1.0,2.0,0.0,0.0,0.0867417063564061,0.456982061266899,1.0,0.7172071803361176,0.0
7907,2015,834,1117,Andrea Poli,a,MC,318.0,0.0,1.0,2.0,0.0,0.0,0.0867417063564061,0.456982061266899,1.0,0.7172071803361176,0.0
8581,2015,858,1117,Andrea Poli,a,Sub,406.0,0.0,1.0,4.0,0.0,0.0,0.12078719772398461,0.4903967417776583,1.0,0.8527583349496124,0.0
9195,2015,880,1117,Andrea Poli,a,Sub,417.0,0.0,1.0,4.0,0.0,0.0,0.12078719772398461,0.4903967417776583,1.0,0.8527583349496124,0.0
9453,2015,890,1117,Andrea Poli,h,MC,451.0,0.0,1.0,4.0,1.0,0.0,0.12078719772398461,0.4903967417776583,0.5,0.3527583349496124,-0.5
10087,2015,912,1117,Andrea Poli,a,Sub,541.0,0.0,1.0,5.0,1.0,0.0,0.17146480269730072,0.5335722789168356,0.5,0.5479666870087383,0.0
