,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
243,2015,559,1125,Carlos Bacca,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,2015,562,1125,Carlos Bacca,h,FW,79.0,0.0,0.0,2.0,0.0,0.0,0.0753229707479476,0.0228922218084335,0.0,0.2488611340522766,0.0
802,2015,579,1125,Carlos Bacca,a,FW,169.0,1.0,0.0,4.0,0.0,0.0,0.6219147890806197,0.0228922218084335,3.0,1.888636589050293,3.0
872,2015,582,1125,Carlos Bacca,h,FW,232.0,1.0,0.0,4.0,0.0,0.0,0.6219147890806197,0.4554138332605361,3.0,2.3211582005023956,0.0
1138,2015,591,1125,Carlos Bacca,a,FW,322.0,3.0,0.0,8.0,0.0,0.0,1.3010941594839096,0.5281913354992864,9.0,4.4314738139510155,6.0
1475,2015,603,1125,Carlos Bacca,a,Sub,404.0,3.0,0.0,9.0,0.0,0.0,1.4257489740848541,0.5281913354992864,9.0,4.805438257753849,0.0
1908,2015,619,1125,Carlos Bacca,h,FW,411.0,3.0,0.0,9.0,0.0,0.0,1.4257489740848541,0.5281913354992864,9.0,4.805438257753849,0.0
2008,2015,622,1125,Carlos Bacca,a,Sub,501.0,3.0,0.0,10.0,0.0,0.0,1.4611296765506268,0.5600893981754778,9.0,4.943478427827358,0.0
2379,2015,636,1125,Carlos Bacca,h,FW,534.0,4.0,0.0,12.0,0.0,0.0,1.9882158748805523,0.6120943538844582,12.0,6.576741978526115,3.0
2603,2015,644,1125,Carlos Bacca,h,FW,624.0,5.0,0.0,14.0,0.0,0.0,2.811534356325865,0.668744824826717,15.0,9.103347893804312,3.0
3008,2015,658,1125,Carlos Bacca,a,FW,714.0,5.0,1.0,17.0,0.0,0.0,2.9199693985283375,0.784441120922565,16.0,9.544349316507578,1.0
3106,2015,662,1125,Carlos Bacca,h,FW,804.0,6.0,1.0,18.0,0.0,0.0,3.4815218038856983,0.784441120922565,19.0,11.22900653257966,3.0
3400,2015,672,1125,Carlos Bacca,a,FW,894.0,6.0,1.0,19.0,1.0,0.0,3.6043044216930866,0.784441120922565,18.5,11.097354386001825,-0.5
3664,2015,682,1125,Carlos Bacca,h,FW,984.0,6.0,1.0,19.0,1.0,0.0,3.6043044216930866,0.8179911635816092,18.5,11.13090442866087,0.0
4180,2015,700,1125,Carlos Bacca,a,FW,1074.0,6.0,1.0,22.0,1.0,0.0,4.175864387303591,0.8179911635816092,18.5,12.845584325492382,0.0
4276,2015,704,1125,Carlos Bacca,h,FW,1164.0,6.0,1.0,22.0,1.0,0.0,4.175864387303591,0.8493607714772219,18.5,12.876953933387995,0.0
4679,2015,718,1125,Carlos Bacca,a,FW,1254.0,7.0,1.0,23.0,1.0,0.0,4.595469880849123,1.334545768797397,21.5,14.620955411344767,3.0
4917,2015,727,1125,Carlos Bacca,h,FW,1344.0,8.0,1.0,26.0,1.0,0.0,6.0999558456242085,1.3954640664160245,24.5,19.19533160328865,3.0
5071,2015,732,1125,Carlos Bacca,a,FW,1434.0,8.0,1.0,30.0,1.0,0.0,6.691315460950136,1.4503956846892827,24.5,21.024342067539692,0.0
