,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
234,2015,561,1439,Domenico Maietta,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,2015,580,1439,Domenico Maietta,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2451,2015,655,1439,Domenico Maietta,h,Sub,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
2597,2015,661,1439,Domenico Maietta,a,DC,223.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
2822,2015,671,1439,Domenico Maietta,h,DC,313.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
3066,2015,681,1439,Domenico Maietta,a,DC,393.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
4145,2015,727,1439,Domenico Maietta,a,DC,483.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
5399,2015,781,1439,Domenico Maietta,h,DC,527.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
5826,2015,799,1439,Domenico Maietta,a,DC,617.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
5859,2015,801,1439,Domenico Maietta,h,DC,707.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
6152,2015,813,1439,Domenico Maietta,a,DC,797.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
6493,2015,828,1439,Domenico Maietta,h,DC,887.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
6617,2015,833,1439,Domenico Maietta,a,DC,977.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
6850,2015,843,1439,Domenico Maietta,a,DC,1067.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
7237,2015,860,1439,Domenico Maietta,h,DC,1157.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
7479,2015,870,1439,Domenico Maietta,a,DC,1247.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0
7491,2015,871,1439,Domenico Maietta,h,DC,1331.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0306059680879116,0.0,-1.9693940319120884,0.0
8054,2015,895,1439,Domenico Maietta,h,DC,1421.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0306059680879116,0.0,-1.9693940319120884,0.0
8296,2015,905,1439,Domenico Maietta,a,DC,1511.0,0.0,0.0,1.0,4.0,0.0,0.0444174110889434,0.0306059680879116,0.0,-1.836141798645258,0.0
