,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1536,2015,616,1141,Felipe,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775,2015,626,1141,Felipe,a,DC,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6523476243019104,1.0,0.6523476243019104,1.0
1976,2015,635,1141,Felipe,h,DC,149.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6523476243019104,1.0,0.1523476243019104,0.0
2488,2015,657,1141,Felipe,h,DC,239.0,0.0,1.0,0.0,2.0,0.0,0.0,0.6523476243019104,1.0,-0.3476523756980896,0.0
2783,2015,669,1141,Felipe,a,DC,329.0,0.0,1.0,0.0,2.0,0.0,0.0,0.6523476243019104,1.0,-0.3476523756980896,0.0
2914,2015,675,1141,Felipe,h,DC,381.0,0.0,1.0,0.0,3.0,0.0,0.0,0.6523476243019104,1.0,-0.8476523756980896,0.0
3186,2015,686,1141,Felipe,a,DC,462.0,0.0,1.0,0.0,4.0,0.0,0.0,0.6523476243019104,1.0,-1.3476523756980896,0.0
3422,2015,696,1141,Felipe,a,DC,552.0,0.0,1.0,0.0,4.0,0.0,0.0,0.6523476243019104,1.0,-1.3476523756980896,0.0
3913,2015,717,1141,Felipe,a,DC,629.0,0.0,1.0,0.0,5.0,0.0,0.0,0.6523476243019104,1.0,-1.8476523756980896,0.0
3994,2015,721,1141,Felipe,h,DC,719.0,0.0,1.0,0.0,5.0,0.0,0.0,0.6523476243019104,1.0,-1.8476523756980896,0.0
4214,2015,730,1141,Felipe,a,DC,809.0,0.0,1.0,1.0,6.0,0.0,0.0594156794250011,0.7072753459215164,1.0,-2.11447761580348,0.0
4552,2015,745,1141,Felipe,h,DC,899.0,0.0,1.0,1.0,6.0,0.0,0.0594156794250011,0.7153662843629717,1.0,-2.106386677362025,0.0
4892,2015,759,1141,Felipe,a,DC,989.0,0.0,1.0,1.0,6.0,0.0,0.0594156794250011,0.7153662843629717,1.0,-2.106386677362025,0.0
5364,2015,779,1141,Felipe,a,DC,1079.0,0.0,1.0,2.0,7.0,0.0,0.19889388605952252,0.7449252260848879,1.0,-2.158393115736544,0.0
5572,2015,788,1141,Felipe,a,DC,1169.0,0.0,1.0,2.0,7.0,0.0,0.19889388605952252,0.7449252260848879,1.0,-2.158393115736544,0.0
5813,2015,799,1141,Felipe,h,DC,1259.0,0.0,1.0,2.0,7.0,0.0,0.19889388605952252,0.7449252260848879,1.0,-2.158393115736544,0.0
5941,2015,804,1141,Felipe,a,DC,1349.0,0.0,1.0,3.0,7.0,0.0,0.28733425959944714,0.7449252260848879,1.0,-1.8930719951167703,0.0
6211,2015,816,1141,Felipe,h,DC,1439.0,0.0,1.0,3.0,7.0,0.0,0.28733425959944714,0.7449252260848879,1.0,-1.8930719951167703,0.0
6653,2015,835,1141,Felipe,h,DC,1529.0,0.0,1.0,4.0,8.0,0.0,0.32063364982604964,0.7449252260848879,1.0,-2.2931738244369626,0.0
6970,2015,848,1141,Felipe,a,DC,1619.0,0.0,1.0,5.0,8.0,0.0,0.3805287741124627,0.7449252260848879,1.0,-2.113488451577723,0.0
7071,2015,853,1141,Felipe,h,DC,1709.0,0.0,1.0,6.0,9.0,0.0,0.7584227286279198,0.7449252260848879,1.0,-1.4798065880313516,0.0
7630,2015,877,1141,Felipe,h,DC,1799.0,0.0,1.0,8.0,9.0,0.0,1.2985038124024864,0.7449252260848879,1.0,0.14043666329234838,0.0
7974,2015,891,1141,Felipe,a,DC,1876.0,0.0,1.0,8.0,9.0,1.0,1.2985038124024864,0.7449252260848879,1.0,-0.3595633367076516,0.0
8194,2015,901,1141,Felipe,h,DC,1957.0,0.0,1.0,9.0,9.0,1.0,1.3391045704483981,0.7558092297986148,1.0,-0.2268770588561893,0.0
8828,2015,928,1141,Felipe,h,DC,2047.0,1.0,1.0,11.0,10.0,1.0,1.977162398397922,0.7558092297986148,4.0,1.1872964249923825,3.0
