,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
143,2015,556,1466,Francesco Magnanelli,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,2015,561,1466,Francesco Magnanelli,a,MC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0215234216302633,-0.5,-0.4784765783697366,-0.5
701,2015,576,1466,Francesco Magnanelli,h,MC,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0404059309512376,-0.5,-0.4595940690487623,0.0
967,2015,585,1466,Francesco Magnanelli,a,MC,270.0,1.0,0.0,1.0,1.0,0.0,0.0152051635086536,0.0604281947016715,2.5,-0.39395631477236753,3.0
1189,2015,593,1466,Francesco Magnanelli,a,MC,360.0,1.0,0.0,1.0,1.0,0.0,0.0152051635086536,0.1074411645531653,2.5,-0.34694334492087375,0.0
1512,2015,605,1466,Francesco Magnanelli,h,MC,450.0,1.0,1.0,1.0,2.0,0.0,0.0152051635086536,0.18220848590135558,3.0,-0.7721760235726834,0.5
1749,2015,613,1466,Francesco Magnanelli,a,MC,540.0,1.0,1.0,2.0,3.0,0.0,0.0287235733121633,0.18220848590135558,2.5,-1.2316207941621542,-0.5
2126,2015,627,1466,Francesco Magnanelli,h,MC,630.0,1.0,1.0,2.0,3.0,0.0,0.0287235733121633,0.18220848590135558,2.5,-1.2316207941621542,0.0
2391,2015,636,1466,Francesco Magnanelli,a,MC,720.0,1.0,1.0,4.0,3.0,0.0,0.0908081550151109,0.20452216453850247,2.5,-1.0230533704161644,0.0
2710,2015,648,1466,Francesco Magnanelli,h,MC,810.0,1.0,1.0,4.0,3.0,0.0,0.0908081550151109,0.20452216453850247,2.5,-1.0230533704161644,0.0
3158,2015,664,1466,Francesco Magnanelli,h,MC,900.0,1.0,1.0,4.0,3.0,0.0,0.0908081550151109,0.22047812491655328,2.5,-1.0070974100381136,0.0
3564,2015,678,1466,Francesco Magnanelli,a,MC,990.0,1.0,1.0,5.0,3.0,0.0,0.1118295416235923,0.22047812491655328,2.5,-0.9440332502126694,0.0
3857,2015,689,1466,Francesco Magnanelli,h,MC,1080.0,1.0,1.0,5.0,3.0,0.0,0.1118295416235923,0.22047812491655328,2.5,-0.9440332502126694,0.0
4830,2015,724,1466,Francesco Magnanelli,h,MC,1170.0,1.0,1.0,7.0,3.0,0.0,0.13481382839381678,0.24578022211790057,2.5,-0.8497782927006484,0.0
