,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
145,2015,557,1510,Gary Medel,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,2015,567,1510,Gary Medel,a,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0153782395645976,0.0389164499938488,0.0,0.0850511686876416,0.0
660,2015,579,1510,Gary Medel,h,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.0153782395645976,0.0389164499938488,0.0,-0.4149488313123584,0.0
768,2015,583,1510,Gary Medel,a,DC,270.0,0.0,0.0,1.0,1.0,0.0,0.0153782395645976,0.0389164499938488,0.0,-0.4149488313123584,0.0
1112,2015,598,1510,Gary Medel,h,DC,360.0,0.0,0.0,2.0,1.0,0.0,0.0276997284963726,0.07017142698168749,0.0,-0.34672938752919436,0.0
1348,2015,608,1510,Gary Medel,h,DC,450.0,0.0,0.0,3.0,1.0,0.0,0.0809113653376697,0.10376527532935129,0.0,-0.15350062865763905,0.0
1525,2015,615,1510,Gary Medel,a,DC,540.0,0.0,0.0,3.0,2.0,0.0,0.0809113653376697,0.10376527532935129,0.0,-0.653500628657639,0.0
1863,2015,630,1510,Gary Medel,h,MC,630.0,0.0,0.0,3.0,3.0,0.0,0.0809113653376697,0.10376527532935129,0.0,-1.153500628657639,0.0
1944,2015,633,1510,Gary Medel,a,MC,720.0,0.0,0.0,3.0,3.0,0.0,0.0809113653376697,0.12039080820977668,0.0,-1.1368750957772136,0.0
2373,2015,652,1510,Gary Medel,h,MC,810.0,0.0,0.0,4.0,3.0,0.0,0.0974026666954158,0.12039080820977668,0.0,-1.0874011917039752,0.0
2650,2015,663,1510,Gary Medel,a,MC,862.0,1.0,0.0,5.0,3.0,0.0,0.11503140535205579,0.1501903943717477,3.0,-1.004715389572084,3.0
3286,2015,690,1510,Gary Medel,a,MC,952.0,1.0,0.0,5.0,4.0,0.0,0.11503140535205579,0.1501903943717477,3.0,-1.504715389572084,0.0
3347,2015,693,1510,Gary Medel,h,MC,1042.0,1.0,0.0,5.0,4.0,0.0,0.11503140535205579,0.1501903943717477,3.0,-1.504715389572084,0.0
3949,2015,719,1510,Gary Medel,h,DMC,1132.0,1.0,0.0,6.0,4.0,0.0,0.13403771538287368,0.1501903943717477,3.0,-1.44769645947963,0.0
4172,2015,728,1510,Gary Medel,a,MC,1222.0,1.0,0.0,6.0,4.0,0.0,0.13403771538287368,0.234618108719587,3.0,-1.3632687451317906,0.0
4277,2015,733,1510,Gary Medel,h,MC,1312.0,1.0,0.0,6.0,4.0,0.0,0.13403771538287368,0.26630423218011817,3.0,-1.3315826216712594,0.0
4448,2015,740,1510,Gary Medel,a,DMC,1402.0,1.0,0.0,7.0,4.0,0.0,0.14866434223949868,0.5632480755448337,3.0,-0.9907588977366686,0.0
5152,2015,770,1510,Gary Medel,a,MC,1492.0,1.0,0.0,7.0,4.0,0.0,0.14866434223949868,0.6345656812191005,3.0,-0.9194412920624018,0.0
5236,2015,774,1510,Gary Medel,h,MC,1582.0,1.0,0.0,7.0,4.0,0.0,0.14866434223949868,0.6345656812191005,3.0,-0.9194412920624018,0.0
5853,2015,800,1510,Gary Medel,a,MC,1672.0,1.0,0.0,7.0,4.0,0.0,0.14866434223949868,0.7036947906017299,3.0,-0.8503121826797724,0.0
6276,2015,818,1510,Gary Medel,a,MC,1762.0,1.0,0.0,7.0,5.0,0.0,0.14866434223949868,0.7036947906017299,3.0,-1.3503121826797724,0.0
6541,2015,830,1510,Gary Medel,h,DMC,1819.0,1.0,0.0,7.0,5.0,0.0,0.14866434223949868,0.7036947906017299,3.0,-1.3503121826797724,0.0
6610,2015,833,1510,Gary Medel,h,DMC,1908.0,1.0,0.0,8.0,6.0,0.0,0.17063280753791288,0.7036947906017299,3.0,-1.7844067867845297,0.0
6830,2015,842,1510,Gary Medel,a,DMC,1998.0,1.0,0.0,10.0,7.0,0.0,0.23695901595056007,0.7036947906017299,3.0,-2.085428161546588,0.0
7216,2015,859,1510,Gary Medel,h,DMC,2088.0,1.0,0.0,10.0,8.0,0.0,0.23695901595056007,0.7036947906017299,3.0,-2.585428161546588,0.0
7540,2015,873,1510,Gary Medel,h,DMC,2178.0,1.0,0.0,10.0,9.0,0.0,0.23695901595056007,0.7036947906017299,3.0,-3.085428161546588,0.0
7910,2015,888,1510,Gary Medel,a,DMC,2268.0,1.0,1.0,11.0,9.0,0.0,0.29528989456593935,1.0437695980072017,4.0,-2.570360718294978,1.0
8369,2015,908,1510,Gary Medel,a,DMC,2358.0,1.0,1.0,12.0,10.0,0.0,0.3889182489365334,1.0437695980072017,4.0,-2.789475655183196,0.0
