,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
69,2015,554,1534,Giancarlo Gonzalez,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,2015,565,1534,Giancarlo Gonzalez,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125770792365074,0.0,0.0125770792365074,0.0
565,2015,575,1534,Giancarlo Gonzalez,h,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125770792365074,0.0,0.0125770792365074,0.0
744,2015,582,1534,Giancarlo Gonzalez,a,DC,270.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0125770792365074,0.0,-0.4874229207634926,0.0
996,2015,593,1534,Giancarlo Gonzalez,h,DC,360.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0125770792365074,0.0,-0.9874229207634926,0.0
1315,2015,606,1534,Giancarlo Gonzalez,a,DC,450.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0125770792365074,0.0,-0.9874229207634926,0.0
1491,2015,614,1534,Giancarlo Gonzalez,h,DC,540.0,1.0,0.0,1.0,2.0,0.0,0.1052145212888717,0.0349396802484989,3.0,-0.6494167558848858,3.0
1708,2015,623,1534,Giancarlo Gonzalez,a,DC,630.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,3.0
1928,2015,633,1534,Giancarlo Gonzalez,h,DC,720.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
2217,2015,645,1534,Giancarlo Gonzalez,a,DC,810.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
2560,2015,660,1534,Giancarlo Gonzalez,h,DC,900.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
2680,2015,665,1534,Giancarlo Gonzalez,h,DC,978.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
2903,2015,674,1534,Giancarlo Gonzalez,a,DC,1068.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
3224,2015,688,1534,Giancarlo Gonzalez,h,DC,1158.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
3401,2015,695,1534,Giancarlo Gonzalez,a,DC,1248.0,2.0,0.0,2.0,2.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-0.582309065386653,0.0
3556,2015,702,1534,Giancarlo Gonzalez,h,DC,1338.0,2.0,0.0,2.0,3.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-1.082309065386653,0.0
3888,2015,716,1534,Giancarlo Gonzalez,a,DC,1428.0,2.0,0.0,2.0,4.0,0.0,0.1275837514549493,0.0349396802484989,6.0,-1.582309065386653,0.0
4401,2015,738,1534,Giancarlo Gonzalez,a,DC,1518.0,2.0,0.0,2.0,5.0,0.0,0.1275837514549493,0.043433054350316504,6.0,-2.0738156912848353,0.0
4515,2015,743,1534,Giancarlo Gonzalez,a,DC,1608.0,2.0,0.0,2.0,5.0,0.0,0.1275837514549493,0.043433054350316504,6.0,-2.0738156912848353,0.0
4882,2015,759,1534,Giancarlo Gonzalez,h,DC,1698.0,2.0,0.0,2.0,6.0,0.0,0.1275837514549493,0.043433054350316504,6.0,-2.5738156912848353,0.0
4938,2015,761,1534,Giancarlo Gonzalez,a,DC,1788.0,2.0,0.0,3.0,6.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.4112222706899047,0.0
5279,2015,776,1534,Giancarlo Gonzalez,h,DC,1878.0,2.0,0.0,3.0,7.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.9112222706899047,0.0
5501,2015,785,1534,Giancarlo Gonzalez,a,DC,1968.0,2.0,0.0,3.0,7.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.9112222706899047,0.0
5767,2015,797,1534,Giancarlo Gonzalez,h,DC,2058.0,2.0,0.0,3.0,7.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.9112222706899047,0.0
6058,2015,809,1534,Giancarlo Gonzalez,a,DC,2148.0,2.0,0.0,3.0,7.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.9112222706899047,0.0
6140,2015,813,1534,Giancarlo Gonzalez,h,DC,2238.0,2.0,0.0,3.0,7.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.9112222706899047,0.0
6550,2015,830,1534,Giancarlo Gonzalez,a,DC,2328.0,2.0,0.0,3.0,7.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-2.9112222706899047,0.0
6770,2015,840,1534,Giancarlo Gonzalez,h,DC,2418.0,2.0,0.0,3.0,8.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-3.4112222706899047,0.0
6805,2015,841,1534,Giancarlo Gonzalez,a,DC,2508.0,2.0,0.0,3.0,8.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-3.4112222706899047,0.0
7443,2015,869,1534,Giancarlo Gonzalez,h,DC,2598.0,2.0,0.0,3.0,8.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-3.4112222706899047,0.0
7619,2015,876,1534,Giancarlo Gonzalez,a,DC,2688.0,2.0,0.0,3.0,8.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-3.4112222706899047,0.0
7798,2015,884,1534,Giancarlo Gonzalez,h,DC,2778.0,2.0,0.0,3.0,9.0,0.0,0.1817815583199261,0.043433054350316504,6.0,-3.9112222706899047,0.0
7997,2015,892,1534,Giancarlo Gonzalez,a,DC,2868.0,2.0,0.0,5.0,9.0,0.0,0.3816602807492016,0.2627854188904166,6.0,-3.092233738861978,0.0
8530,2015,915,1534,Giancarlo Gonzalez,a,DC,2958.0,2.0,0.0,5.0,10.0,0.0,0.3816602807492016,0.2627854188904166,6.0,-3.592233738861978,0.0
8873,2015,930,1534,Giancarlo Gonzalez,h,DC,3048.0,2.0,0.0,5.0,11.0,0.0,0.3816602807492016,0.2627854188904166,6.0,-4.092233738861978,0.0
