,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
124,2015,556,1468,Gregoire Defrel,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,2015,561,1468,Gregoire Defrel,a,FW,82.0,0.0,0.0,4.0,0.0,0.0,0.678352415561676,0.0,0.0,2.035057246685028,0.0
594,2015,576,1468,Gregoire Defrel,h,FW,157.0,0.0,0.0,5.0,0.0,0.0,0.7186222672462463,0.0,0.0,2.155866801738739,0.0
823,2015,585,1468,Gregoire Defrel,a,FW,222.0,0.0,0.0,6.0,0.0,0.0,0.7984340265393256,0.0,0.0,2.395302079617977,0.0
1284,2015,605,1468,Gregoire Defrel,h,FW,312.0,1.0,0.0,9.0,0.0,0.0,1.3258699849247932,0.0083741871640086,3.0,3.9859841419383883,3.0
1486,2015,613,1468,Gregoire Defrel,a,FW,402.0,2.0,0.0,11.0,0.0,0.0,1.7371791675686836,0.0726457638666033,6.0,5.284183266572654,3.0
1798,2015,627,1468,Gregoire Defrel,h,Sub,492.0,2.0,0.0,12.0,0.0,0.0,1.7929540425539017,0.0726457638666033,6.0,5.451507891528308,0.0
2018,2015,636,1468,Gregoire Defrel,a,FW,510.0,2.0,0.0,13.0,0.0,0.0,1.8152677211910486,0.0726457638666033,6.0,5.518448927439749,0.0
2287,2015,648,1468,Gregoire Defrel,h,Sub,600.0,2.0,0.0,13.0,0.0,0.0,1.8152677211910486,0.0726457638666033,6.0,5.518448927439749,0.0
2509,2015,657,1468,Gregoire Defrel,a,FW,618.0,2.0,0.0,14.0,0.0,0.0,1.8618070613592863,0.0726457638666033,6.0,5.658066947944462,0.0
2665,2015,664,1468,Gregoire Defrel,h,Sub,708.0,2.0,0.0,15.0,0.0,0.0,1.9205454494804144,0.08981700334697951,6.0,5.851453351788223,0.0
3006,2015,678,1468,Gregoire Defrel,a,FW,731.0,2.0,0.0,16.0,0.0,0.0,2.333656510338187,0.08981700334697951,6.0,7.090786534361541,0.0
3255,2015,689,1468,Gregoire Defrel,h,FWR,804.0,2.0,0.0,16.0,0.0,0.0,2.333656510338187,0.08981700334697951,6.0,7.090786534361541,0.0
4070,2015,724,1468,Gregoire Defrel,h,FW,894.0,2.0,0.0,18.0,0.0,0.0,2.4114848282188177,0.17980058584362252,6.0,7.414255070500076,0.0
4294,2015,733,1468,Gregoire Defrel,a,Sub,965.0,2.0,0.0,22.0,0.0,0.0,2.590549936518073,0.2809837395325301,6.0,8.05263354908675,0.0
4677,2015,750,1468,Gregoire Defrel,h,FW,982.0,2.0,0.0,24.0,0.0,0.0,2.7247807886451483,0.2809837395325301,6.0,8.455326105467975,0.0
4968,2015,762,1468,Gregoire Defrel,a,FWR,1070.0,2.0,0.0,27.0,0.0,0.0,2.952931573614478,0.2809837395325301,6.0,9.139778460375965,0.0
5495,2015,785,1468,Gregoire Defrel,h,FWR,1144.0,2.0,0.0,27.0,1.0,0.0,2.952931573614478,0.2809837395325301,6.0,8.639778460375965,0.0
5961,2015,805,1468,Gregoire Defrel,h,FW,1234.0,3.0,0.0,30.0,1.0,0.0,3.3444096352905035,0.4715158576145766,9.0,10.004744763486087,3.0
6300,2015,819,1468,Gregoire Defrel,a,FW,1320.0,5.0,0.0,35.0,1.0,0.0,3.9887665417045355,0.4715158576145766,15.0,11.937815482728183,6.0
6429,2015,825,1468,Gregoire Defrel,h,FW,1403.0,6.0,0.0,36.0,1.0,0.0,4.219276895746589,0.4715158576145766,18.0,12.629346544854343,3.0
6964,2015,848,1468,Gregoire Defrel,h,FW,1479.0,6.0,0.0,39.0,1.0,1.0,4.3929811622947454,0.4715158576145766,18.0,12.650459344498813,0.0
7043,2015,851,1468,Gregoire Defrel,a,FW,1569.0,6.0,0.0,42.0,2.0,1.0,4.586882775649428,0.5830163070932028,18.0,12.843664634041488,0.0
7289,2015,862,1468,Gregoire Defrel,h,FW,1659.0,7.0,1.0,44.0,2.0,1.0,5.157480424270034,0.9588484475389121,22.0,14.931289720349014,4.0
7601,2015,875,1468,Gregoire Defrel,a,FW,1749.0,7.0,1.0,45.0,2.0,1.0,5.200750065967441,0.9588484475389121,22.0,15.061098645441234,0.0
7757,2015,882,1468,Gregoire Defrel,h,FW,1839.0,7.0,2.0,46.0,2.0,1.0,5.58363906852901,1.3688355395570395,23.0,16.61975274514407,1.0
8562,2015,916,1468,Gregoire Defrel,a,FW,1869.0,7.0,2.0,46.0,2.0,1.0,5.58363906852901,1.3688355395570395,23.0,16.61975274514407,0.0
8692,2015,922,1468,Gregoire Defrel,h,FW,1941.0,7.0,2.0,48.0,2.0,1.0,5.795677004382014,1.4098377684131262,23.0,17.29686878155917,0.0
