,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
83,2015,554,1633,Issa Cissokho,a,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,2015,569,1633,Issa Cissokho,h,MR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156052242964506,0.0,0.0156052242964506,0.0
482,2015,571,1633,Issa Cissokho,a,MR,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12525396607816208,0.0,0.12525396607816208,0.0
781,2015,584,1633,Issa Cissokho,h,MR,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12525396607816208,0.0,0.12525396607816208,0.0
984,2015,592,1633,Issa Cissokho,a,MR,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12525396607816208,0.0,0.12525396607816208,0.0
1551,2015,616,1633,Issa Cissokho,a,MR,417.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12525396607816208,0.0,-0.3747460339218379,0.0
1751,2015,625,1633,Issa Cissokho,h,Sub,507.0,0.0,0.0,1.0,0.0,1.0,0.0281016714870929,0.19470111094415168,0.0,-0.22099387459456932,0.0
1902,2015,631,1633,Issa Cissokho,a,Sub,539.0,0.0,0.0,1.0,0.0,1.0,0.0281016714870929,0.19470111094415168,0.0,-0.22099387459456932,0.0
2426,2015,654,1633,Issa Cissokho,h,Sub,564.0,0.0,0.0,1.0,0.0,1.0,0.0281016714870929,0.19470111094415168,0.0,-0.22099387459456932,0.0
3875,2015,715,1633,Issa Cissokho,a,Sub,580.0,0.0,0.0,1.0,0.0,1.0,0.0281016714870929,0.19470111094415168,0.0,-0.22099387459456932,0.0
