,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
162,2015,556,1382,José Callejón,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,2015,566,1382,José Callejón,h,FW,10.0,0.0,0.0,2.0,0.0,0.0,0.0872931480407714,0.0,0.0,0.2618794441223144,0.0
749,2015,577,1382,José Callejón,a,Sub,100.0,0.0,0.0,2.0,0.0,0.0,0.0872931480407714,0.0860109105706214,0.0,0.3478903546929358,0.0
1094,2015,590,1382,José Callejón,h,FWR,118.0,0.0,0.0,3.0,0.0,0.0,0.1598736941814421,0.0860109105706214,0.0,0.565631993114948,0.0
1252,2015,595,1382,José Callejón,a,Sub,208.0,0.0,0.0,4.0,0.0,0.0,0.24926199018955209,0.34652460366487486,0.0,1.0943105742335317,0.0
1430,2015,602,1382,José Callejón,h,FWR,212.0,0.0,0.0,4.0,0.0,0.0,0.24926199018955209,0.7323660925030706,0.0,1.4801520630717275,0.0
1919,2015,619,1382,José Callejón,a,FWR,302.0,0.0,0.0,5.0,1.0,0.0,0.3527894318103788,0.7500390931963918,-0.5,1.308407388627529,-0.5
2183,2015,629,1382,José Callejón,h,FWR,392.0,0.0,0.0,6.0,2.0,0.0,0.4829371124505994,0.7731906715780494,-1.0,1.2220020089298484,-0.5
2504,2015,640,1382,José Callejón,a,FWR,482.0,0.0,0.0,8.0,2.0,0.0,0.8669390827417371,0.7731906715780494,-1.0,2.3740079198032618,0.0
2630,2015,645,1382,José Callejón,h,FWR,572.0,0.0,0.0,10.0,2.0,0.0,0.9695301502943037,0.8338306453078982,-1.0,2.74242109619081,0.0
2895,2015,654,1382,José Callejón,a,FWR,649.0,0.0,0.0,11.0,2.0,0.0,1.0342167913913725,0.8338306453078982,-1.0,2.9364810194820166,0.0
3301,2015,669,1382,José Callejón,h,FWR,718.0,0.0,0.0,13.0,2.0,0.0,1.1239863559603689,1.0081607159227128,-1.0,3.3801197838038206,0.0
3426,2015,673,1382,José Callejón,a,FWR,796.0,0.0,0.0,13.0,2.0,0.0,1.1239863559603689,1.0081607159227128,-1.0,3.3801197838038206,0.0
3886,2015,690,1382,José Callejón,h,FWR,862.0,0.0,0.0,13.0,2.0,0.0,1.1239863559603689,1.1442222949117418,-1.0,3.5161813627928495,0.0
4012,2015,694,1382,José Callejón,a,FWR,951.0,0.0,1.0,14.0,3.0,0.0,1.1703323423862455,1.25598163716495,-0.5,3.2669786643236876,0.5
4359,2015,707,1382,José Callejón,h,FWR,1016.0,0.0,1.0,16.0,3.0,0.0,1.2683374881744383,1.25598163716495,-0.5,3.560994101688266,0.0
4539,2015,713,1382,José Callejón,a,FWR,1086.0,0.0,1.0,17.0,3.0,0.0,1.3789980709552763,1.25598163716495,-0.5,3.89297585003078,0.0
4971,2015,729,1382,José Callejón,h,FWR,1176.0,0.0,1.0,18.0,3.0,0.0,1.4638448283076284,1.3164361100643869,-0.5,4.207970594987273,0.0
5208,2015,737,1382,José Callejón,a,FWR,1266.0,0.0,2.0,20.0,3.0,0.0,1.8431975468993185,1.459496138617396,0.5,5.489088779315352,1.0
5334,2015,742,1382,José Callejón,h,FWR,1342.0,0.0,4.0,20.0,3.0,0.0,1.8431975468993185,1.603801010176539,2.5,5.6333936508744955,2.0
5682,2015,754,1382,José Callejón,a,FWR,1432.0,1.0,5.0,21.0,3.0,0.0,2.131548725068569,1.9515233617275949,6.5,6.846169536933303,4.0
6029,2015,767,1382,José Callejón,h,FWR,1518.0,1.0,6.0,23.0,3.0,0.0,2.260825000703335,2.229285923764109,7.5,7.511760925874114,1.0
6323,2015,777,1382,José Callejón,a,FWR,1608.0,3.0,6.0,25.0,3.0,0.0,2.9755506739020348,2.3784569632261987,13.5,9.805108984932303,6.0
6560,2015,786,1382,José Callejón,h,FWR,1698.0,4.0,6.0,27.0,3.0,0.0,3.2807015404105186,2.9176415931433435,16.5,11.2597462143749,3.0
6823,2015,795,1382,José Callejón,a,FWR,1761.0,4.0,6.0,31.0,3.0,0.0,3.7145588621497154,2.9442100320011373,16.5,12.587886618450284,0.0
7226,2015,810,1382,José Callejón,h,FWR,1851.0,4.0,6.0,31.0,4.0,0.0,3.7145588621497154,2.9843151401728387,16.0,12.127991726621985,-0.5
7517,2015,820,1382,José Callejón,a,FWR,1917.0,4.0,6.0,34.0,4.0,0.0,3.9118868336081505,3.1319854389876123,16.0,12.867645939812064,0.0
7587,2015,823,1382,José Callejón,h,FWR,1994.0,4.0,6.0,35.0,4.0,0.0,4.060645364224911,3.1319854389876123,16.0,13.313921531662345,0.0
8076,2015,840,1382,José Callejón,a,FWR,2084.0,5.0,6.0,42.0,4.0,0.0,5.3618250116705894,3.1834231484681363,19.0,17.268898183479905,3.0
8313,2015,849,1382,José Callejón,h,FWR,2150.0,5.0,6.0,42.0,4.0,0.0,5.3618250116705894,3.3257578331977125,19.0,17.41123286820948,0.0
8437,2015,853,1382,José Callejón,a,FWR,2211.0,5.0,6.0,43.0,4.0,0.0,5.43635942786932,3.3257578331977125,19.0,17.634836116805673,0.0
8786,2015,866,1382,José Callejón,h,FWR,2270.0,5.0,6.0,43.0,4.0,0.0,5.43635942786932,3.3257578331977125,19.0,17.634836116805673,0.0
8995,2015,873,1382,José Callejón,a,FWR,2360.0,6.0,6.0,50.0,4.0,0.0,6.622420094907284,4.12203255482018,22.0,21.98929283954203,3.0
9204,2015,881,1382,José Callejón,h,FWR,2450.0,6.0,6.0,52.0,4.0,0.0,6.754258759319782,4.12203255482018,22.0,22.384808832779527,0.0
9694,2015,898,1382,José Callejón,a,FWR,2528.0,6.0,6.0,52.0,4.0,0.0,6.754258759319782,4.145618686452508,22.0,22.408394964411855,0.0
10013,2015,910,1382,José Callejón,h,FWR,2618.0,6.0,6.0,53.0,4.0,0.0,6.809457916766405,4.156516065821052,22.0,22.584889816120267,0.0
10278,2015,919,1382,José Callejón,a,FWR,2698.0,6.0,7.0,54.0,4.0,0.0,6.8594237715005875,4.197124408558011,23.0,22.775395723059773,1.0
10404,2015,924,1382,José Callejón,h,FWR,2781.0,7.0,7.0,56.0,4.0,0.0,7.637995555996895,4.197124408558011,26.0,25.111111076548696,3.0
