,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
134,2015,555,1903,Kevin Lasagna,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,2015,567,1903,Kevin Lasagna,h,Sub,56.0,0.0,0.0,1.0,0.0,0.0,0.0353672392666339,0.026027038693428,0.0,0.13212875649333,0.0
1237,2015,595,1903,Kevin Lasagna,h,Sub,78.0,0.0,1.0,1.0,0.0,0.0,0.0353672392666339,0.4899870008230209,1.0,0.5960887186229229,1.0
1420,2015,601,1903,Kevin Lasagna,a,Sub,79.0,0.0,1.0,1.0,0.0,0.0,0.0353672392666339,0.4899870008230209,1.0,0.5960887186229229,0.0
1686,2015,611,1903,Kevin Lasagna,h,Sub,97.0,0.0,1.0,2.0,0.0,0.0,0.0782588832080363,0.5280457399785518,1.0,0.7628223896026611,0.0
2173,2015,628,1903,Kevin Lasagna,a,Sub,111.0,0.0,1.0,2.0,0.0,0.0,0.0782588832080363,0.5280457399785518,1.0,0.7628223896026611,0.0
2270,2015,632,1903,Kevin Lasagna,h,Sub,146.0,0.0,1.0,3.0,0.0,0.0,0.1058986186981199,0.5447915568947791,1.0,0.8624874129891396,0.0
2565,2015,642,1903,Kevin Lasagna,a,Sub,152.0,0.0,1.0,3.0,0.0,0.0,0.1058986186981199,0.5447915568947791,1.0,0.8624874129891396,0.0
2938,2015,656,1903,Kevin Lasagna,h,FW,179.0,0.0,1.0,3.0,0.0,0.0,0.1058986186981199,0.5447915568947791,1.0,0.8624874129891396,0.0
3177,2015,664,1903,Kevin Lasagna,a,FW,255.0,0.0,1.0,5.0,0.0,0.0,0.5680562853813169,0.6248742267489432,1.0,2.3290430828928947,0.0
3501,2015,676,1903,Kevin Lasagna,h,Sub,345.0,0.0,1.0,7.0,0.0,0.0,0.6265967115759847,0.6836726292967795,1.0,2.5634627640247345,0.0
3764,2015,685,1903,Kevin Lasagna,a,Sub,362.0,0.0,1.0,7.0,0.0,0.0,0.6265967115759847,0.7395348288118837,1.0,2.619324963539839,0.0
4166,2015,700,1903,Kevin Lasagna,h,AMC,375.0,0.0,1.0,8.0,0.0,0.0,0.6740990206599233,0.7395348288118837,1.0,2.7618318907916546,0.0
4347,2015,706,1903,Kevin Lasagna,a,FW,447.0,0.0,1.0,10.0,0.0,0.0,0.7241718508303162,0.8135622851550576,1.0,2.9860778376460075,0.0
4475,2015,711,1903,Kevin Lasagna,h,Sub,537.0,0.0,1.0,12.0,0.0,0.0,0.784757729619741,0.8856100775301453,1.0,3.23988326638937,0.0
4904,2015,726,1903,Kevin Lasagna,a,Sub,573.0,0.0,1.0,12.0,0.0,0.0,0.784757729619741,0.8856100775301453,1.0,3.23988326638937,0.0
5003,2015,730,1903,Kevin Lasagna,h,Sub,608.0,0.0,1.0,13.0,0.0,0.0,0.8430263251066203,0.931643463671207,1.0,3.46072243899107,0.0
5506,2015,748,1903,Kevin Lasagna,h,Sub,646.0,0.0,2.0,14.0,0.0,0.0,0.9339955151081081,1.5235749855637546,2.0,4.325561530888081,1.0
5714,2015,755,1903,Kevin Lasagna,a,Sub,674.0,0.0,2.0,16.0,0.0,0.0,1.0716631263494487,1.5235749855637546,2.0,4.7385643646121025,0.0
5867,2015,761,1903,Kevin Lasagna,h,Sub,694.0,1.0,2.0,17.0,0.0,0.0,1.1734842956066127,1.5235749855637546,5.0,5.0440278723835945,3.0
6214,2015,773,1903,Kevin Lasagna,a,Sub,736.0,1.0,2.0,18.0,0.0,0.0,1.2354011125862594,1.5235749855637546,5.0,5.229778323322535,0.0
6575,2015,786,1903,Kevin Lasagna,a,FW,762.0,2.0,2.0,19.0,0.0,0.0,1.3320538736879821,1.5235749855637546,8.0,5.519736606627703,3.0
6730,2015,792,1903,Kevin Lasagna,h,Sub,852.0,2.0,2.0,21.0,0.0,0.0,1.4058829657733436,1.5235749855637546,8.0,5.741223882883787,0.0
7159,2015,807,1903,Kevin Lasagna,a,Sub,888.0,3.0,2.0,22.0,1.0,0.0,2.103233944624662,1.572820514440536,10.5,7.382522348314524,2.5
7421,2015,817,1903,Kevin Lasagna,h,FW,927.0,3.0,2.0,23.0,1.0,0.0,2.1679987572133537,1.572820514440536,10.5,7.576816786080599,0.0
7746,2015,828,1903,Kevin Lasagna,a,Sub,997.0,3.0,2.0,24.0,1.0,0.0,2.2352874912321563,1.572820514440536,10.5,7.778682988137007,0.0
7955,2015,836,1903,Kevin Lasagna,h,Sub,1066.0,3.0,2.0,25.0,1.0,0.0,2.2781941331923004,1.5957379974424835,10.5,7.930320397019386,0.0
8192,2015,844,1903,Kevin Lasagna,a,Sub,1093.0,3.0,2.0,25.0,1.0,0.0,2.2781941331923004,1.6430341303348537,10.5,7.9776165299117565,0.0
8370,2015,851,1903,Kevin Lasagna,h,Sub,1118.0,4.0,2.0,26.0,1.0,0.0,2.32924910262227,1.674783885478973,13.5,8.162531193345785,3.0
8721,2015,863,1903,Kevin Lasagna,a,Sub,1161.0,4.0,2.0,27.0,1.0,0.0,2.338898660615086,1.674783885478973,13.5,8.191479867324233,0.0
8958,2015,872,1903,Kevin Lasagna,h,Sub,1186.0,4.0,2.0,28.0,1.0,0.0,2.376972312107682,1.674783885478973,13.5,8.30570082180202,0.0
9475,2015,890,1903,Kevin Lasagna,a,Sub,1219.0,4.0,2.0,31.0,1.0,0.0,3.0067830029875036,1.7303302511572833,13.5,10.250679260119796,0.0
9739,2015,900,1903,Kevin Lasagna,h,Sub,1252.0,4.0,2.0,32.0,1.0,0.0,3.0278722215443845,1.826273068785667,13.5,10.409889733418822,0.0
