,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
61,2015,553,1977,Manuel Iturra,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,2015,565,1977,Manuel Iturra,h,MC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,2015,578,1977,Manuel Iturra,a,MC,171.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
711,2015,581,1977,Manuel Iturra,h,MC,261.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
954,2015,591,1977,Manuel Iturra,h,MC,317.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
1341,2015,607,1977,Manuel Iturra,a,MC,403.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0
1780,2015,626,1977,Manuel Iturra,a,MC,452.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0
2248,2015,646,1977,Manuel Iturra,a,MC,508.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0
2789,2015,669,1977,Manuel Iturra,a,MC,573.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-2.5,0.0
2920,2015,675,1977,Manuel Iturra,h,MC,643.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-2.5,0.0
3193,2015,686,1977,Manuel Iturra,a,MC,733.0,0.0,0.0,1.0,6.0,0.0,0.0288169421255588,0.0,0.0,-2.9135491736233234,0.0
3428,2015,696,1977,Manuel Iturra,a,MC,799.0,0.0,1.0,2.0,7.0,0.0,0.1518287546932696,0.5019816160202026,1.0,-2.542532119899988,1.0
3581,2015,703,1977,Manuel Iturra,h,MC,859.0,0.0,1.0,2.0,8.0,0.0,0.1518287546932696,0.5268798600882292,1.0,-3.0176338758319616,0.0
4002,2015,721,1977,Manuel Iturra,h,Sub,929.0,0.0,1.0,3.0,8.0,0.0,0.46119742467999436,0.5477957874536514,1.0,-2.068611938506365,0.0
4556,2015,745,1977,Manuel Iturra,h,MC,945.0,0.0,1.0,4.0,8.0,0.0,0.5550435595214365,0.653440810739994,1.0,-1.6814285106956959,0.0
