,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
269,2015,560,1183,Marco Benassi,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,2015,564,1183,Marco Benassi,h,MC,80.0,0.0,0.0,3.0,0.0,0.0,0.1360317766666412,0.4887972474098205,0.0,0.8968925774097443,0.0
985,2015,586,1183,Marco Benassi,h,Sub,147.0,0.0,0.0,4.0,0.0,0.0,0.15781645849347112,0.4887972474098205,0.0,0.962246622890234,0.0
1279,2015,596,1183,Marco Benassi,a,Sub,153.0,0.0,0.0,5.0,0.0,0.0,0.2839654274284839,0.4887972474098205,0.0,1.3406935296952724,0.0
1541,2015,606,1183,Marco Benassi,h,MC,163.0,0.0,0.0,5.0,0.0,0.0,0.2839654274284839,0.4887972474098205,0.0,1.3406935296952724,0.0
1695,2015,611,1183,Marco Benassi,a,MC,234.0,1.0,0.0,6.0,0.0,0.0,0.3244376368820666,0.4887972474098205,3.0,1.4621101580560207,3.0
1993,2015,622,1183,Marco Benassi,h,Sub,324.0,1.0,0.0,8.0,0.0,0.0,0.41839599981904013,0.4998098257929086,3.0,1.7549978252500296,0.0
2453,2015,638,1183,Marco Benassi,a,Sub,333.0,1.0,0.0,9.0,0.0,0.0,0.438076479360461,0.4998098257929086,3.0,1.8140392638742924,0.0
2740,2015,649,1183,Marco Benassi,h,MC,361.0,1.0,0.0,9.0,1.0,0.0,0.438076479360461,0.4998098257929086,2.5,1.3140392638742924,-0.5
2816,2015,651,1183,Marco Benassi,a,Sub,451.0,1.0,0.0,11.0,2.0,0.0,0.8615253996104,0.4998098257929086,2.0,2.0843860246241093,-0.5
3132,2015,663,1183,Marco Benassi,h,MC,474.0,1.0,0.0,11.0,2.0,0.0,0.8615253996104,0.4998098257929086,2.0,2.0843860246241093,0.0
3947,2015,692,1183,Marco Benassi,h,Sub,564.0,1.0,0.0,13.0,2.0,0.0,0.9017076101154087,0.5220598150044679,2.0,2.2271826453506947,0.0
4636,2015,717,1183,Marco Benassi,h,MC,584.0,1.0,0.0,13.0,2.0,0.0,0.9017076101154087,0.5646810438483951,2.0,2.269803874194622,0.0
4989,2015,729,1183,Marco Benassi,a,Sub,648.0,1.0,0.0,14.0,2.0,0.0,0.9489048589020965,0.6144905257970092,2.0,2.4612051025032997,0.0
5166,2015,736,1183,Marco Benassi,h,MC,657.0,1.0,0.0,14.0,2.0,0.0,0.9489048589020965,0.6144905257970092,2.0,2.4612051025032997,0.0
5304,2015,741,1183,Marco Benassi,h,MC,739.0,1.0,0.0,16.0,2.0,0.0,1.029507892206311,1.1202598977833984,2.0,3.2087835744023323,0.0
5571,2015,750,1183,Marco Benassi,a,MC,829.0,2.0,0.0,20.0,2.0,0.0,1.3085186351090667,1.1202598977833984,5.0,4.0458158031105995,3.0
5658,2015,753,1183,Marco Benassi,a,Sub,909.0,2.0,1.0,20.0,3.0,0.0,1.3085186351090667,1.7203883696347473,5.5,4.145944274961948,0.5
6001,2015,766,1183,Marco Benassi,h,MC,926.0,2.0,1.0,20.0,3.0,0.0,1.3085186351090667,1.7872269991785286,5.5,4.21278290450573,0.0
6350,2015,778,1183,Marco Benassi,a,MC,1016.0,2.0,1.0,26.0,3.0,0.0,1.615972029045224,1.7872269991785286,5.5,5.135143086314201,0.0
6586,2015,787,1183,Marco Benassi,h,MC,1089.0,2.0,1.0,27.0,3.0,0.0,1.6410496234893797,1.9373108986765144,5.5,5.360459769144654,0.0
6877,2015,797,1183,Marco Benassi,a,MC,1164.0,3.0,1.0,31.0,4.0,0.0,2.0322859287261963,1.9373108986765144,8.0,6.0341686848551035,2.5
7142,2015,807,1183,Marco Benassi,h,MC,1254.0,3.0,2.0,33.0,4.0,0.0,2.2292977571487427,2.0571206156164403,9.0,6.745013887062669,1.0
7614,2015,824,1183,Marco Benassi,h,MC,1328.0,3.0,2.0,33.0,5.0,0.0,2.2292977571487427,2.1381759438663717,8.5,6.3260692153126,-0.5
8019,2015,838,1183,Marco Benassi,a,MC,1409.0,3.0,2.0,35.0,5.0,0.0,2.3850057125091553,2.266954684630036,8.5,6.921971822157502,0.0
8257,2015,847,1183,Marco Benassi,h,MC,1487.0,3.0,2.0,36.0,6.0,0.0,2.4592441990971565,2.266954684630036,8.0,6.644687281921506,-0.5
8605,2015,859,1183,Marco Benassi,a,MC,1570.0,3.0,2.0,40.0,6.0,0.0,2.639626555144787,2.802167439833283,8.0,7.721047105267644,0.0
8819,2015,867,1183,Marco Benassi,h,Sub,1652.0,3.0,2.0,41.0,6.0,0.0,2.6613296791911125,2.9869981650263067,8.0,7.970987202599645,0.0
9545,2015,893,1183,Marco Benassi,h,Sub,1696.0,3.0,2.0,41.0,6.0,0.0,2.6613296791911125,2.9869981650263067,8.0,7.970987202599645,0.0
9775,2015,901,1183,Marco Benassi,a,MC,1714.0,3.0,2.0,41.0,6.0,0.0,2.6613296791911125,2.9869981650263067,8.0,7.970987202599645,0.0
10264,2015,919,1183,Marco Benassi,h,MC,1788.0,3.0,2.0,43.0,6.0,0.0,2.753109984099865,2.9869981650263067,8.0,8.246328117325902,0.0
10451,2015,925,1183,Marco Benassi,a,Sub,1878.0,3.0,2.0,46.0,7.0,0.0,2.8825810477137566,2.9869981650263067,7.5,8.134741308167577,-0.5
