,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
24,2015,551,1250,Mohamed Salah,a,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,2015,563,1250,Mohamed Salah,h,FWR,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336249358952045,0.0,0.0336249358952045,0.0
610,2015,572,1250,Mohamed Salah,a,Sub,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15954386070370669,0.0,0.15954386070370669,0.0
954,2015,585,1250,Mohamed Salah,h,FWR,162.0,0.0,0.0,1.0,0.0,0.0,0.0364835150539875,0.15954386070370669,0.0,0.2689944058656692,0.0
1220,2015,594,1250,Mohamed Salah,a,FWR,252.0,1.0,0.0,7.0,0.0,0.0,0.6162909753620625,0.2002901509404182,3.0,2.0491630770266056,3.0
1404,2015,601,1250,Mohamed Salah,h,FWL,341.0,2.0,0.0,11.0,0.0,0.0,1.2088762409985065,0.2418517768383025,6.0,3.8684804998338223,3.0
1781,2015,614,1250,Mohamed Salah,a,AMC,431.0,3.0,0.0,14.0,0.0,0.0,2.2936183102428913,0.6733535528182982,9.0,7.554208483546972,3.0
1961,2015,621,1250,Mohamed Salah,h,FWR,507.0,3.0,0.0,14.0,0.0,0.0,2.2936183102428913,1.1110729575157166,9.0,7.9919278882443905,0.0
2478,2015,639,1250,Mohamed Salah,a,FWL,597.0,4.0,0.0,16.0,0.0,0.0,2.8617688305675983,1.1110729575157166,12.0,9.696379449218512,3.0
2839,2015,652,1250,Mohamed Salah,a,FWR,686.0,5.0,0.0,17.0,0.0,1.0,2.8910929821431637,1.1110729575157166,14.5,9.284351903945208,2.5
3216,2015,666,1250,Mohamed Salah,h,AMR,776.0,5.0,0.0,22.0,0.0,1.0,3.672752108424902,1.1733469665050507,14.5,11.691603291779757,0.0
4373,2015,707,1250,Mohamed Salah,a,AML,835.0,5.0,0.0,23.0,0.0,1.0,3.6880065826699138,1.226589284837246,14.5,11.790609032846987,0.0
4580,2015,715,1250,Mohamed Salah,h,FWR,914.0,5.0,0.0,24.0,0.0,1.0,3.751276764087379,1.226589284837246,14.5,11.980419577099383,0.0
4789,2015,722,1250,Mohamed Salah,a,FWR,997.0,5.0,0.0,25.0,0.0,1.0,3.8261068491265178,1.2778329625725746,14.5,12.256153509952128,0.0
5060,2015,732,1250,Mohamed Salah,h,Sub,1068.0,5.0,0.0,28.0,0.0,1.0,4.45943612139672,1.2778329625725746,14.5,14.156141326762736,0.0
5445,2015,746,1250,Mohamed Salah,h,AMR,1102.0,5.0,0.0,28.0,0.0,1.0,4.45943612139672,1.4294122979044914,14.5,14.307720662094653,0.0
5848,2015,760,1250,Mohamed Salah,a,AMC,1192.0,5.0,0.0,31.0,0.0,1.0,4.8934083906933665,1.525943674147129,14.5,15.706168846227229,0.0
5918,2015,763,1250,Mohamed Salah,h,AMC,1282.0,5.0,0.0,31.0,0.0,1.0,4.8934083906933665,1.525943674147129,14.5,15.706168846227229,0.0
6157,2015,771,1250,Mohamed Salah,a,FW,1365.0,5.0,0.0,32.0,0.0,1.0,4.9729140205308795,1.758137933909893,14.5,16.17687999550253,0.0
6673,2015,790,1250,Mohamed Salah,h,FW,1455.0,6.0,0.0,36.0,0.0,1.0,5.474985877983272,3.1353446170687675,17.5,19.060302251018584,3.0
6740,2015,792,1250,Mohamed Salah,a,AMR,1545.0,6.0,0.0,36.0,0.0,1.0,5.474985877983272,3.4428495094180107,17.5,19.367807143367827,0.0
7199,2015,809,1250,Mohamed Salah,h,FW,1635.0,7.0,2.0,38.0,0.0,1.0,6.230841497890651,4.305729620158672,22.5,22.498254113830626,5.0
7268,2015,811,1250,Mohamed Salah,a,FWR,1721.0,9.0,2.0,43.0,0.0,1.0,6.593322019092739,4.322121679782867,28.5,23.602087737061083,6.0
7532,2015,821,1250,Mohamed Salah,h,FW,1811.0,9.0,2.0,46.0,0.0,1.0,6.687760981731117,4.3380640503019094,28.5,23.90134699549526,0.0
7936,2015,835,1250,Mohamed Salah,a,AMR,1899.0,11.0,3.0,48.0,1.0,1.0,7.009389641694725,5.050097918137908,35.0,25.07826684322208,6.5
8118,2015,842,1250,Mohamed Salah,h,FWR,1989.0,11.0,4.0,49.0,1.0,1.0,7.1130758775398135,5.690031623467803,36.0,26.029259256087244,1.0
8493,2015,855,1250,Mohamed Salah,a,FWR,2079.0,11.0,4.0,52.0,1.0,1.0,7.244645322673023,6.153984164819121,36.0,26.88792013283819,0.0
8897,2015,870,1250,Mohamed Salah,h,AMR,2160.0,11.0,4.0,55.0,1.0,1.0,7.43344811629504,6.1893956903368235,36.0,27.489740039221942,0.0
9025,2015,874,1250,Mohamed Salah,a,FW,2250.0,12.0,4.0,61.0,1.0,1.0,8.041107933036983,6.213855719193816,39.0,29.337179518304765,3.0
9260,2015,883,1250,Mohamed Salah,h,FWR,2340.0,12.0,5.0,61.0,1.0,1.0,8.041107933036983,6.410268610343337,40.0,29.533592409454286,1.0
9679,2015,898,1250,Mohamed Salah,h,AMR,2430.0,12.0,5.0,64.0,1.0,1.0,8.228626768104732,6.532812600955367,40.0,30.218692905269563,0.0
9999,2015,909,1250,Mohamed Salah,a,FWR,2520.0,12.0,6.0,66.0,1.0,1.0,8.316371793858707,6.615052713081241,41.0,30.56416809465736,1.0
10097,2015,913,1250,Mohamed Salah,h,FWR,2608.0,13.0,6.0,67.0,1.0,1.0,8.8406644416973,6.707145323976874,44.0,32.22913864906877,3.0
10392,2015,923,1250,Mohamed Salah,a,FW,2668.0,13.0,6.0,69.0,1.0,1.0,8.868112440221012,6.807778788730502,44.0,32.41211610939354,0.0
