,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
683,2015,580,1936,Niklas Moisander,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,2015,586,1936,Niklas Moisander,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,2015,594,1936,Niklas Moisander,h,Sub,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410,2015,610,1936,Niklas Moisander,a,DC,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,2015,615,1936,Niklas Moisander,h,DC,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1731,2015,624,1936,Niklas Moisander,a,DC,422.0,0.0,0.0,1.0,0.0,0.0,0.0246467869728803,0.0,0.0,0.073940360918641,0.0
2928,2015,675,1936,Niklas Moisander,a,DC,512.0,0.0,0.0,1.0,1.0,0.0,0.0246467869728803,0.0,0.0,-0.426059639081359,0.0
3484,2015,699,1936,Niklas Moisander,h,DC,602.0,0.0,0.0,1.0,1.0,0.0,0.0246467869728803,0.0280577633529901,0.0,-0.3980018757283689,0.0
3723,2015,709,1936,Niklas Moisander,a,DC,692.0,0.0,0.0,1.0,1.0,0.0,0.0246467869728803,0.0280577633529901,0.0,-0.3980018757283689,0.0
3878,2015,716,1936,Niklas Moisander,h,DC,782.0,0.0,0.0,1.0,1.0,0.0,0.0246467869728803,0.0280577633529901,0.0,-0.3980018757283689,0.0
3982,2015,720,1936,Niklas Moisander,a,DC,872.0,0.0,0.0,2.0,1.0,0.0,0.0899000223726033,0.1346694920212029,0.0,-0.09563044086098693,0.0
4412,2015,739,1936,Niklas Moisander,h,DC,962.0,0.0,0.0,2.0,1.0,0.0,0.0899000223726033,0.1346694920212029,0.0,-0.09563044086098693,0.0
4761,2015,754,1936,Niklas Moisander,h,DC,1052.0,0.0,0.0,2.0,1.0,1.0,0.0899000223726033,0.1346694920212029,0.0,-0.5956304408609869,0.0
5127,2015,769,1936,Niklas Moisander,a,DC,1142.0,0.0,0.0,2.0,1.0,1.0,0.0899000223726033,0.1346694920212029,0.0,-0.5956304408609869,0.0
5327,2015,778,1936,Niklas Moisander,h,DC,1232.0,0.0,0.0,2.0,1.0,1.0,0.0899000223726033,0.1574745755642651,0.0,-0.5728253573179247,0.0
6163,2015,814,1936,Niklas Moisander,h,DC,1322.0,0.0,0.0,2.0,1.0,1.0,0.0899000223726033,0.1574745755642651,0.0,-0.5728253573179247,0.0
6363,2015,822,1936,Niklas Moisander,a,DC,1412.0,0.0,0.0,2.0,2.0,1.0,0.0899000223726033,0.24022459797561152,0.0,-0.9900753349065783,0.0
6596,2015,832,1936,Niklas Moisander,a,DC,1502.0,0.0,0.0,2.0,2.0,1.0,0.0899000223726033,0.24022459797561152,0.0,-0.9900753349065783,0.0
6887,2015,845,1936,Niklas Moisander,h,DC,1592.0,0.0,0.0,2.0,2.0,1.0,0.0899000223726033,0.24022459797561152,0.0,-0.9900753349065783,0.0
7419,2015,868,1936,Niklas Moisander,h,DC,1682.0,0.0,0.0,2.0,3.0,1.0,0.0899000223726033,0.24022459797561152,0.0,-1.4900753349065783,0.0
