,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1061,2015,589,1971,Simone Romagnoli,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229,2015,595,1971,Simone Romagnoli,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287054739892482,0.0,0.0287054739892482,0.0
1409,2015,601,1971,Simone Romagnoli,a,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.0501255802810192,0.0287054739892482,-0.5,-0.3209177851676941,-0.5
2259,2015,632,1971,Simone Romagnoli,h,DC,226.0,0.0,0.0,1.0,1.0,0.0,0.0501255802810192,0.0287054739892482,-0.5,-0.3209177851676941,0.0
2555,2015,642,1971,Simone Romagnoli,a,DC,316.0,0.0,0.0,1.0,1.0,0.0,0.0501255802810192,0.0287054739892482,-0.5,-0.3209177851676941,0.0
2932,2015,656,1971,Simone Romagnoli,h,DC,406.0,0.0,0.0,1.0,1.0,0.0,0.0501255802810192,0.0287054739892482,-0.5,-0.3209177851676941,0.0
3170,2015,664,1971,Simone Romagnoli,a,DC,496.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0287054739892482,-1.0,-0.8209177851676941,-0.5
3754,2015,685,1971,Simone Romagnoli,a,DC,586.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
4159,2015,700,1971,Simone Romagnoli,h,DC,676.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
4340,2015,706,1971,Simone Romagnoli,a,DC,766.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
4465,2015,711,1971,Simone Romagnoli,h,DC,839.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
4894,2015,726,1971,Simone Romagnoli,a,DC,929.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
4993,2015,730,1971,Simone Romagnoli,h,DC,1019.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
5495,2015,748,1971,Simone Romagnoli,h,DC,1109.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
5703,2015,755,1971,Simone Romagnoli,a,DC,1199.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
5856,2015,761,1971,Simone Romagnoli,h,DC,1289.0,0.0,0.0,1.0,2.0,0.0,0.0501255802810192,0.0835638120770453,-1.0,-0.766059447079897,0.0
6567,2015,786,1971,Simone Romagnoli,a,DC,1379.0,0.0,0.0,3.0,2.0,0.0,0.1686276011168956,0.0835638120770453,-1.0,-0.41055338457226764,0.0
6722,2015,792,1971,Simone Romagnoli,h,DC,1469.0,0.0,0.0,3.0,3.0,0.0,0.1686276011168956,0.0835638120770453,-1.5,-0.9105533845722676,-0.5
7150,2015,807,1971,Simone Romagnoli,a,DC,1559.0,0.0,0.0,3.0,3.0,0.0,0.1686276011168956,0.0835638120770453,-1.5,-0.9105533845722676,0.0
7414,2015,817,1971,Simone Romagnoli,h,DC,1649.0,0.0,0.0,3.0,3.0,0.0,0.1686276011168956,0.0835638120770453,-1.5,-0.9105533845722676,0.0
7734,2015,828,1971,Simone Romagnoli,a,DC,1739.0,0.0,0.0,3.0,3.0,0.0,0.1686276011168956,0.0835638120770453,-1.5,-0.9105533845722676,0.0
7944,2015,836,1971,Simone Romagnoli,h,DC,1829.0,0.0,0.0,3.0,4.0,0.0,0.1686276011168956,0.0835638120770453,-2.0,-1.4105533845722675,-0.5
8181,2015,844,1971,Simone Romagnoli,a,DC,1919.0,0.0,0.0,3.0,4.0,0.0,0.1686276011168956,0.0835638120770453,-2.0,-1.4105533845722675,0.0
8361,2015,851,1971,Simone Romagnoli,h,DC,2009.0,0.0,0.0,4.0,4.0,0.0,0.2462826557457446,0.0835638120770453,-2.0,-1.1775882206857204,0.0
8712,2015,863,1971,Simone Romagnoli,a,DC,2099.0,0.0,0.0,6.0,4.0,0.0,0.3116417415440081,0.6518260315060614,-2.0,-0.4132487438619137,0.0
8947,2015,872,1971,Simone Romagnoli,h,DC,2189.0,0.0,0.0,7.0,4.0,0.0,0.3202035715803502,0.6518260315060614,-2.0,-0.3875632537528873,0.0
9463,2015,890,1971,Simone Romagnoli,a,DC,2279.0,0.0,0.0,7.0,4.0,0.0,0.3202035715803502,0.6518260315060614,-2.0,-0.3875632537528873,0.0
9729,2015,900,1971,Simone Romagnoli,h,DC,2369.0,0.0,0.0,7.0,4.0,0.0,0.3202035715803502,0.6518260315060614,-2.0,-0.3875632537528873,0.0
9825,2015,903,1971,Simone Romagnoli,a,DC,2459.0,0.0,0.0,10.0,4.0,0.0,0.4895258536562321,0.6518260315060614,-2.0,0.12040359247475857,0.0
10231,2015,918,1971,Simone Romagnoli,h,DC,2549.0,0.0,0.0,11.0,4.0,0.0,0.5362994438037273,0.7487024515867231,-2.0,0.3576007829979061,0.0
