,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
312,2015,562,1129,Suso,h,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4724,2015,720,1129,Suso,h,Sub,56.0,0.0,0.0,2.0,0.0,0.0,0.0419981628656387,0.0,0.0,0.1259944885969162,0.0
5126,2015,734,1129,Suso,a,AMC,94.0,0.0,0.0,5.0,0.0,0.0,0.1579034179449081,0.0,0.0,0.4737102538347244,0.0
5362,2015,743,1129,Suso,h,FWR,142.0,0.0,0.0,5.0,1.0,0.0,0.1579034179449081,0.108923003077507,-0.5,0.08263325691223145,-0.5
5766,2015,757,1129,Suso,a,FWR,202.0,1.0,0.0,8.0,1.0,0.0,0.794696256518364,0.25197568535804743,2.5,2.1360644549131393,3.0
6057,2015,768,1129,Suso,h,FWR,261.0,1.0,0.0,10.0,1.0,0.0,0.911452978849411,0.25197568535804743,2.5,2.4863346219062805,0.0
6270,2015,775,1129,Suso,a,Sub,325.0,1.0,0.0,12.0,1.0,0.0,0.9681127034127712,0.25197568535804743,2.5,2.656313795596361,0.0
6448,2015,782,1129,Suso,h,AMC,359.0,1.0,0.0,12.0,1.0,0.0,0.9681127034127712,0.25197568535804743,2.5,2.656313795596361,0.0
6850,2015,796,1129,Suso,a,FWR,440.0,1.0,0.0,12.0,2.0,0.0,0.9681127034127712,0.3679231256246565,2.0,2.2722612358629704,-0.5
7060,2015,804,1129,Suso,h,FWL,487.0,1.0,0.0,13.0,2.0,0.0,0.9938938301056623,0.4089694172143934,2.0,2.3906509075313807,0.0
7378,2015,815,1129,Suso,a,AMC,556.0,1.0,0.0,16.0,3.0,0.0,1.0784354340285063,0.4089694172143934,1.5,2.1442757192999125,-0.5
7701,2015,827,1129,Suso,h,FW,614.0,1.0,0.0,17.0,3.0,0.0,1.0962124485522509,0.4572115652263162,1.5,2.245848910883069,0.0
8010,2015,838,1129,Suso,h,Sub,661.0,1.0,0.0,18.0,3.0,0.0,1.1193792503327131,0.5052057355642315,1.5,2.3633434865623713,0.0
8536,2015,857,1129,Suso,h,FW,692.0,1.0,1.0,21.0,3.0,0.0,1.2994596492499113,1.0664963573217388,2.5,3.464875305071473,1.0
8691,2015,862,1129,Suso,a,FW,782.0,4.0,1.0,26.0,3.0,0.0,1.5487462263554335,1.3939935415983196,11.5,4.54023222066462,9.0
9402,2015,888,1129,Suso,h,FWL,872.0,4.0,1.0,28.0,3.0,0.0,1.660116059705615,1.4436935558915134,11.5,4.924041735008359,0.0
9613,2015,895,1129,Suso,a,Sub,946.0,4.0,1.0,29.0,3.0,0.0,1.6985577698796988,1.5417417213320728,11.5,5.1374150309711695,0.0
9987,2015,909,1129,Suso,h,FW,990.0,4.0,1.0,30.0,3.0,0.0,1.7139753494411707,1.5417417213320728,11.5,5.183667769655585,0.0
10140,2015,914,1129,Suso,a,FW,1072.0,4.0,1.0,35.0,3.0,0.0,1.848213979974389,1.6935970410704608,11.5,5.7382389809936285,0.0
10462,2015,926,1129,Suso,h,FW,1159.0,6.0,1.0,37.0,4.0,0.0,2.400981554761529,1.847156815230846,17.0,7.050101479515433,5.5
