,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1192,2015,601,1944,William Vainqueur,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,2015,639,1944,William Vainqueur,a,Sub,70.0,0.0,0.0,1.0,0.0,0.0,0.0502850674092769,0.0356038697063922,0.0,0.1864590719342231,0.0
2708,2015,666,1944,William Vainqueur,h,DMC,124.0,0.0,0.0,1.0,0.0,0.0,0.0502850674092769,0.0356038697063922,0.0,0.1864590719342231,0.0
2841,2015,671,1944,William Vainqueur,a,Sub,198.0,0.0,0.0,2.0,1.0,0.0,0.0684051997959613,0.0356038697063922,0.0,-0.25918053090572357,0.0
3341,2015,692,1944,William Vainqueur,a,Sub,224.0,0.0,0.0,2.0,1.0,0.0,0.0684051997959613,0.0924125835299491,0.0,-0.20237181708216667,0.0
4032,2015,722,1944,William Vainqueur,a,MC,242.0,0.0,0.0,2.0,1.0,0.0,0.0684051997959613,0.0924125835299491,0.0,-0.20237181708216667,0.0
4918,2015,760,1944,William Vainqueur,a,MC,332.0,0.0,1.0,2.0,1.0,0.0,0.0684051997959613,0.1596329063177107,1.0,-0.13515149429440507,1.0
5180,2015,771,1944,William Vainqueur,a,Sub,403.0,0.0,1.0,2.0,1.0,0.0,0.0684051997959613,0.1596329063177107,1.0,-0.13515149429440507,0.0
5670,2015,792,1944,William Vainqueur,a,DMC,430.0,0.0,1.0,3.0,2.0,0.0,0.1102570518851279,0.1596329063177107,1.0,-0.5095959380269052,0.0
6334,2015,821,1944,William Vainqueur,h,Sub,520.0,0.0,1.0,4.0,2.0,0.0,0.1271982714533804,0.17354762181639652,1.0,-0.44485756382346164,0.0
