,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
98,2016,934,1460,Andrea Consigli,a,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,2016,945,1460,Andrea Consigli,h,GK,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
571,2016,951,1460,Andrea Consigli,a,GK,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
921,2016,964,1460,Andrea Consigli,h,GK,270.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
1159,2016,972,1460,Andrea Consigli,a,GK,360.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
1453,2016,983,1460,Andrea Consigli,h,GK,450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
1886,2016,998,1460,Andrea Consigli,a,GK,540.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2124,2016,1007,1460,Andrea Consigli,h,GK,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2446,2016,1018,1460,Andrea Consigli,a,GK,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2710,2016,3288,1460,Andrea Consigli,h,GK,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2864,2016,3293,1460,Andrea Consigli,a,GK,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
3212,2016,2752,1460,Andrea Consigli,h,GK,990.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
3422,2016,2759,1460,Andrea Consigli,a,GK,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
3842,2016,2774,1460,Andrea Consigli,a,GK,1170.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
4050,2016,3072,1460,Andrea Consigli,h,GK,1260.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
4399,2016,3084,1460,Andrea Consigli,a,GK,1350.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
4579,2016,3090,1460,Andrea Consigli,h,GK,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
4927,2016,3103,1460,Andrea Consigli,a,GK,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
5051,2016,3524,1460,Andrea Consigli,h,GK,1620.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
5330,2016,3534,1460,Andrea Consigli,h,GK,1710.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1627036184072494,-0.5,-0.3372963815927506,0.0
