,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
144,2016,936,1487,Andrea Conti,h,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,2016,944,1487,Andrea Conti,a,Sub,90.0,0.0,2.0,1.0,1.0,0.0,0.0123764993622899,0.0951882898807525,1.5,-0.3676822120323777,1.5
995,2016,966,1487,Andrea Conti,a,DMR,121.0,0.0,2.0,1.0,1.0,0.0,0.0123764993622899,0.0951882898807525,1.5,-0.3676822120323777,0.0
1619,2016,988,1487,Andrea Conti,a,Sub,211.0,0.0,2.0,1.0,1.0,0.0,0.0123764993622899,0.0951882898807525,1.5,-0.3676822120323777,0.0
1764,2016,994,1487,Andrea Conti,h,MR,217.0,0.0,2.0,1.0,1.0,0.0,0.0123764993622899,0.0951882898807525,1.5,-0.3676822120323777,0.0
2030,2016,1003,1487,Andrea Conti,a,MR,307.0,0.0,2.0,1.0,2.0,0.0,0.0123764993622899,0.0951882898807525,1.0,-0.8676822120323777,-0.5
2408,2016,1017,1487,Andrea Conti,h,MR,397.0,0.0,2.0,1.0,2.0,0.0,0.0123764993622899,0.0951882898807525,1.0,-0.8676822120323777,0.0
2700,2016,3287,1487,Andrea Conti,a,MR,487.0,0.0,2.0,2.0,2.0,0.0,0.4933097781613469,0.1283349581062793,1.0,0.6082642925903201,0.0
2826,2016,3292,1487,Andrea Conti,h,MR,565.0,0.0,2.0,2.0,3.0,0.0,0.4933097781613469,0.18526756763458238,0.5,0.1651969021186233,-0.5
3230,2016,2752,1487,Andrea Conti,a,MR,655.0,0.0,2.0,3.0,4.0,0.0,0.593993772752583,0.2568880170583723,0.0,0.03886933531612172,-0.5
3790,2016,2772,1487,Andrea Conti,a,MR,745.0,1.0,2.0,6.0,5.0,0.0,0.7502361135557294,0.3085030168294904,2.5,0.05921135749667891,2.5
3930,2016,3067,1487,Andrea Conti,a,MR,835.0,1.0,2.0,8.0,5.0,0.0,1.1122503774240613,0.334009267389774,2.5,1.1707603996619582,0.0
4305,2016,3081,1487,Andrea Conti,h,MR,890.0,1.0,2.0,8.0,5.0,0.0,1.1122503774240613,0.334009267389774,2.5,1.1707603996619582,0.0
4513,2016,3088,1487,Andrea Conti,a,MR,964.0,1.0,2.0,10.0,5.0,0.0,1.4691926138475537,0.43891519308090166,2.5,2.3464930346235633,0.0
4750,2016,3097,1487,Andrea Conti,h,MR,1054.0,1.0,2.0,11.0,6.0,0.0,1.5726325334981084,0.5157219991087909,2.0,2.2336195996031165,-0.5
